timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,966,720,849,981,981
10,2,-4,979,723,865,965,982
20,1,-5,982,721,851,966,976
30,1,-5,976,726,829,969,983
40,1,-5,990,717,848,983,976
50,1,-6,991,726,855,962,977
60,1,-7,980,741,853,986,986
70,1,-8,978,731,862,973,978
80,1,-9,925,752,859,976,963
90,1,-11,988,752,862,976,977
100,1,-13,974,768,858,986,979
110,1,-15,977,758,853,981,996
120,0,-17,997,762,880,977,976
130,0,-19,992,782,889,994,985
140,0,-21,978,771,880,997,977
150,0,-23,975,783,886,977,983
160,0,-24,987,784,887,990,976
170,0,-26,983,822,895,983,977
180,0,-27,971,821,904,972,977
190,0,-28,1011,831,899,989,985
200,0,-29,980,855,893,991,982
210,0,-30,994,862,906,981,980
220,0,-30,977,855,891,982,979
230,0,-29,988,855,898,981,983
240,0,-27,966,846,894,1049,988
250,0,-25,985,841,885,987,971
260,0,-23,965,859,903,993,977
270,0,-21,981,874,899,970,976
280,0,-18,983,871,920,993,978
290,0,-15,993,874,896,996,980
300,0,-13,977,881,897,976,981
310,0,-11,979,877,923,976,976
320,0,-9,993,870,905,979,981
330,1,-7,976,867,912,976,976
340,2,-5,1008,862,912,979,975
350,3,-3,977,871,882,994,979
360,4,0,1004,880,881,978,983
370,5,2,995,873,912,984,977
380,6,4,986,870,882,977,976
390,7,7,981,880,883,990,996
400,8,10,976,859,908,976,965
410,9,13,976,848,897,976,982
420,10,16,987,839,898,964,977
430,11,19,985,845,877,977,989
440,12,21,950,786,886,975,981
450,13,23,963,754,873,975,978
460,14,25,993,740,886,982,981
470,14,27,965,718,869,981,980
480,14,28,976,720,866,977,985
490,14,28,986,704,880,977,974
500,14,27,979,710,885,969,949
510,13,26,980,711,880,976,973
520,12,24,969,703,876,973,992
530,11,23,974,710,885,977,923
540,10,22,982,703,878,974,976
550,10,21,976,698,870,992,976
560,10,19,977,734,855,989,966
570,9,17,967,702,853,992,976
580,8,15,971,701,915,976,978
590,7,13,990,705,887,971,976
600,6,11,954,700,848,988,975
610,6,10,990,707,850,965,986
620,6,9,987,711,863,976,975
630,6,8,980,702,864,974,979
640,6,7,978,699,869,978,976
650,6,6,978,704,860,971,976
660,6,5,978,723,842,967,965
670,6,4,989,711,870,976,976
680,7,3,990,717,858,977,976
690,7,2,976,710,868,976,989
700,7,1,977,702,854,977,978
710,8,0,986,715,846,972,964
720,9,0,991,709,862,977,976
730,9,0,986,719,853,974,979
740,9,0,978,704,836,961,978
750,9,0,978,704,855,973,994
760,9,0,976,710,853,978,991
770,9,0,981,707,869,969,960
780,9,0,978,733,866,976,976
790,9,0,979,720,866,1007,971
800,9,0,979,720,881,981,978
810,9,0,971,734,865,975,976
820,9,0,979,720,873,978,978
830,9,0,979,718,858,997,979
840,9,0,990,707,859,976,968
850,9,0,976,731,883,976,974
860,9,0,978,726,865,977,983
870,10,0,982,714,880,975,971
880,11,0,978,721,861,987,977
890,11,0,978,723,857,978,976
900,12,0,976,721,870,970,975
910,13,0,973,750,866,969,955
920,14,0,977,727,880,976,981
930,15,0,975,733,867,983,991
940,15,0,971,731,870,974,979
950,15,0,985,725,850,959,976
960,15,0,976,720,855,972,977
970,15,0,976,723,864,983,979
980,14,0,983,751,870,989,974
990,14,0,994,721,858,967,981
