timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,995,720,880,989,978
10,0,-5,1006,725,878,968,983
20,0,-7,983,705,883,1003,981
30,0,-8,980,735,835,990,972
40,0,-9,991,723,876,992,986
50,0,-10,1009,722,877,979,988
60,0,-11,959,737,880,972,987
70,0,-12,1008,729,883,987,978
80,0,-12,988,734,897,978,971
90,0,-12,997,785,876,976,979
100,0,-12,1040,768,879,1008,982
110,0,-12,1007,784,887,991,959
120,0,-11,992,783,871,991,979
130,0,-10,976,800,869,985,979
140,0,-9,1011,839,904,957,1004
150,0,-8,1007,817,883,978,975
160,0,-7,1008,816,860,989,974
170,0,-6,987,821,886,987,977
180,0,-5,994,849,895,976,987
190,0,-5,996,848,879,987,980
200,0,-5,1006,857,896,983,976
210,0,-5,994,861,883,979,991
220,0,-5,994,850,883,992,997
230,0,-5,989,866,896,973,978
240,0,-5,1003,909,894,981,983
250,0,-5,1000,891,876,1008,973
260,0,-5,1014,880,877,976,976
270,0,-5,987,896,880,974,976
280,0,-5,1008,891,898,970,977
290,0,-5,1008,899,903,992,982
300,0,-5,999,923,883,990,983
310,0,-5,986,888,892,999,988
320,0,-5,985,887,903,985,981
330,0,-5,992,937,899,967,996
340,0,-5,1031,903,874,999,981
350,0,-4,993,905,895,980,953
360,0,-3,1008,892,907,989,980
370,0,-2,1004,907,895,981,975
380,0,-1,998,898,887,983,983
390,0,0,999,903,880,975,980
400,0,0,1007,907,907,971,991
410,0,0,995,902,896,990,977
420,0,0,976,904,882,983,975
430,0,0,999,896,889,989,991
440,0,0,994,907,891,993,990
450,0,0,1008,906,899,962,979
460,0,0,1010,887,912,978,982
470,0,0,1005,914,896,990,995
480,0,0,999,910,889,991,998
490,0,0,1007,910,906,985,977
500,0,0,986,896,899,988,981
510,0,0,1002,879,891,945,985
520,0,0,997,886,899,987,988
530,0,1,1008,921,908,919,992
540,0,2,1005,875,902,989,980
550,0,3,1003,851,893,983,982
560,0,4,992,844,911,979,985
570,0,5,1003,815,882,986,982
580,0,5,1008,784,883,976,989
590,0,5,1003,780,897,978,960
600,0,6,997,751,890,980,983
610,0,6,991,730,882,991,976
620,0,7,975,722,865,995,980
630,0,8,1004,701,889,976,982
640,0,8,1001,719,875,983,976
650,0,8,998,702,893,989,979
660,0,8,983,692,874,992,978
670,0,8,999,711,880,998,983
680,0,8,1020,688,880,996,987
690,0,8,975,686,875,983,991
700,0,8,992,690,881,979,977
710,0,8,981,704,880,994,976
720,0,8,997,683,863,981,979
730,0,7,997,702,870,985,983
740,0,6,989,697,883,985,979
750,0,5,990,726,884,982,976
760,0,4,1001,700,875,976,972
770,0,3,995,692,823,993,976
780,0,3,994,699,886,976,976
790,0,2,995,705,869,981,976
800,0,2,987,701,875,987,969
810,0,2,998,706,887,995,977
820,0,2,994,734,903,978,967
830,0,2,995,734,874,976,988
840,0,1,1005,704,881,985,978
850,0,0,1015,703,853,979,991
860,0,0,1003,703,880,979,976
870,0,0,991,704,881,981,976
880,0,0,997,725,857,976,983
890,0,0,990,706,894,978,983
900,0,0,997,714,895,960,976
910,0,0,999,715,878,990,976
920,0,0,993,707,878,986,973
930,0,0,1008,720,879,983,979
940,0,0,989,705,888,983,978
950,0,0,997,719,880,976,1008
960,0,0,989,703,880,985,985
970,0,0,986,720,857,998,990
980,0,0,1072,720,859,979,1005
990,0,0,988,763,870,977,985
