timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,993,797,867,981,977
10,0,-7,980,784,889,1001,977
20,0,-10,985,775,879,1001,983
30,0,-12,979,801,873,989,987
40,0,-14,994,788,881,976,990
50,0,-16,986,786,863,983,980
60,0,-17,944,761,883,979,976
70,0,-17,982,801,882,982,976
80,0,-17,976,783,880,983,982
90,0,-16,987,795,880,977,976
100,0,-15,975,788,882,993,985
110,0,-14,982,805,879,976,979
120,0,-13,977,801,883,990,978
130,0,-12,976,810,880,976,979
140,0,-10,982,813,890,951,985
150,0,-8,993,810,880,976,986
160,0,-7,971,789,871,979,979
170,0,-6,1008,784,880,980,983
180,0,-5,1008,798,876,976,977
190,0,-4,940,785,883,976,976
200,-1,-3,988,816,879,991,976
210,-2,-2,973,816,896,975,978
220,-3,-2,938,810,894,991,976
230,-4,-2,1003,802,877,987,978
240,-5,-2,976,796,883,986,982
250,-6,-2,981,818,891,998,987
260,-6,-2,1003,825,879,981,989
270,-6,-2,985,833,876,993,983
280,-6,-3,980,875,880,991,977
290,-6,-4,989,863,883,997,987
300,-6,-5,994,879,883,983,978
310,-6,-6,988,871,881,979,976
320,-6,-7,987,891,894,977,976
330,-6,-8,978,901,902,993,977
340,-6,-7,973,885,899,973,983
350,-7,-6,965,891,892,993,987
360,-7,-5,962,912,890,981,978
370,-8,-3,979,891,895,976,982
380,-8,-1,966,931,909,980,978
390,-8,0,969,895,905,987,986
400,-8,1,948,902,901,977,976
410,-7,2,963,903,902,974,992
420,-6,3,976,891,903,1001,989
430,-5,4,949,883,902,985,979
440,-4,5,960,896,895,983,980
450,-3,6,977,898,890,1002,982
460,-3,7,967,883,905,976,978
470,-2,9,969,907,896,983,978
480,-2,11,972,910,896,993,981
490,-1,13,976,908,907,982,978
500,0,16,973,911,896,991,983
510,0,19,1003,889,906,979,979
520,0,22,983,886,899,1041,982
530,0,24,1005,894,898,975,982
540,0,26,980,867,907,943,979
550,0,27,971,862,887,976,989
560,0,28,999,863,896,976,978
570,0,28,975,774,880,944,970
580,-1,26,985,825,891,989,978
590,-2,23,983,809,878,997,978
600,-2,20,976,813,886,987,979
610,-3,18,992,800,895,994,976
620,-3,15,977,815,880,1007,966
630,-3,12,978,784,890,970,981
640,-3,10,980,795,897,976,983
650,-3,8,981,779,883,1004,983
660,-3,7,976,762,878,995,979
670,-3,6,994,804,887,995,994
680,-3,5,992,778,888,972,978
690,-3,4,983,784,894,991,977
700,-3,3,982,791,848,983,977
710,-3,1,975,790,886,984,977
720,-3,0,963,758,883,979,978
730,-3,0,976,781,885,994,976
740,-3,0,992,795,887,989,972
750,-3,0,993,801,879,947,976
760,-3,0,983,784,896,989,993
770,-3,0,970,784,880,994,986
780,-3,0,977,791,881,989,966
790,-3,0,986,775,891,970,977
800,-3,0,973,784,862,983,1006
810,-3,0,992,784,878,1002,978
820,-3,0,998,791,896,977,981
830,-3,0,950,784,880,994,976
840,-3,0,973,785,896,981,982
850,-3,0,997,782,890,976,978
860,-3,0,982,817,898,979,981
870,-3,0,973,784,895,986,978
880,-4,0,983,794,875,993,977
890,-5,0,992,748,885,958,970
900,-5,0,981,781,891,976,981
910,-6,0,984,799,882,990,1002
920,-6,0,986,783,876,983,977
930,-6,0,991,735,911,1005,978
940,-6,0,1000,745,887,960,967
950,-6,0,979,819,897,977,981
960,-7,0,981,797,875,990,1008
970,-7,0,986,798,890,983,977
980,-7,0,991,794,875,983,981
990,-7,0,977,785,878,996,999
