timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,980,725,850,983,973
10,-1,-5,977,746,859,938,982
20,1,-8,965,731,855,964,980
30,2,-10,975,751,867,972,974
40,3,-12,960,736,873,953,980
50,4,-14,964,747,851,974,976
60,6,-16,953,784,878,979,976
70,8,-17,963,731,848,958,976
80,10,-17,981,768,859,963,986
90,12,-17,976,781,805,960,981
100,14,-17,967,779,870,965,968
110,17,-17,993,763,838,966,978
120,20,-17,973,751,854,950,979
130,23,-17,976,754,857,965,976
140,26,-16,971,765,859,981,973
150,29,-15,966,760,848,999,977
160,32,-13,970,758,847,967,976
170,35,-11,965,720,861,977,976
180,38,-9,976,749,855,985,974
190,41,-7,986,748,851,962,981
200,44,-5,979,742,848,976,976
210,46,-3,976,725,853,961,976
220,47,-1,976,743,855,976,983
230,48,0,981,722,832,976,985
240,49,0,967,720,847,983,981
250,49,0,962,704,866,969,977
260,49,0,977,733,862,966,976
270,49,0,983,717,848,976,983
280,48,0,981,727,851,967,976
290,47,0,976,735,849,967,975
300,46,-1,966,784,819,976,976
310,44,-2,960,756,852,1022,976
320,42,-4,976,774,839,961,983
330,40,-7,995,777,846,969,982
340,38,-10,975,815,853,968,979
350,37,-13,976,823,832,955,977
360,36,-17,978,837,857,982,976
370,35,-21,981,860,847,965,976
380,35,-24,966,861,856,962,976
390,34,-23,976,880,849,965,976
400,33,-22,990,871,853,976,976
410,31,-19,985,878,846,971,983
420,29,-16,976,878,852,955,977
430,27,-13,982,894,863,971,987
440,25,-10,979,887,862,969,978
450,24,-7,986,880,873,976,977
460,23,-5,979,858,853,976,976
470,22,-4,985,891,864,943,976
480,21,-4,967,875,851,959,987
490,20,-3,981,873,859,972,975
500,19,-3,978,886,865,957,976
510,18,-2,961,886,852,972,976
520,16,-1,983,896,858,960,976
530,14,0,1003,880,875,965,976
540,12,2,983,897,873,938,976
550,10,4,984,873,863,957,979
560,8,7,973,843,865,961,985
570,7,11,976,794,813,970,974
580,6,14,976,777,862,963,976
590,5,16,981,752,860,976,983
600,4,17,974,715,866,961,976
610,4,18,966,720,857,962,977
620,4,18,979,701,864,967,978
630,4,18,976,706,848,962,976
640,4,18,976,703,860,963,976
650,4,18,965,726,871,964,976
660,4,19,975,702,848,965,971
670,4,20,976,690,832,966,980
680,4,21,1004,698,858,978,977
690,4,21,971,688,852,970,977
700,4,21,974,704,847,985,983
710,4,21,970,690,855,963,983
720,4,20,977,677,853,967,981
730,4,18,976,673,857,966,974
740,4,16,981,688,854,966,980
750,4,14,983,720,863,977,976
760,4,12,973,698,859,957,976
770,4,10,944,706,851,976,983
780,3,8,970,695,857,965,983
790,3,6,971,698,850,976,983
800,3,4,1006,687,848,979,976
810,3,3,972,710,848,950,987
820,3,2,989,689,848,966,979
830,3,0,971,715,848,976,962
840,3,-1,987,717,848,976,980
850,3,-2,971,723,848,983,974
860,3,-3,973,720,860,962,985
870,3,-4,979,725,848,962,977
880,3,-5,953,721,852,953,981
890,3,-6,993,719,882,971,976
900,3,-7,979,720,859,962,972
910,3,-7,990,715,818,953,976
920,3,-7,969,751,861,972,979
930,3,-7,980,721,851,990,974
940,3,-7,1003,749,869,974,981
950,3,-7,973,722,857,979,979
960,3,-7,996,754,859,964,955
970,3,-7,979,729,861,974,974
980,3,-7,987,741,855,971,976
990,3,-7,986,750,896,973,979
