timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,995,697,855,991,986
10,1,-6,992,699,848,987,975
20,0,-8,997,697,873,974,989
30,1,-9,981,715,860,983,977
40,1,-10,994,720,852,996,981
50,1,-11,995,691,862,977,986
60,2,-11,979,690,870,997,978
70,3,-12,1005,688,862,982,975
80,4,-12,1028,707,859,976,979
90,5,-12,991,717,862,982,976
100,6,-13,994,720,850,969,976
110,7,-14,982,743,846,993,978
120,8,-15,993,743,861,988,983
130,9,-16,986,739,868,975,975
140,10,-17,993,750,882,976,981
150,11,-18,999,767,875,990,990
160,12,-19,990,786,843,993,976
170,13,-19,1002,819,882,977,976
180,14,-19,999,835,847,966,945
190,15,-19,999,833,895,994,988
200,16,-19,996,863,901,987,977
210,16,-19,1007,828,885,976,976
220,16,-19,997,879,910,980,985
230,16,-19,992,880,912,976,972
240,16,-19,989,898,897,992,975
250,16,-19,982,907,897,976,978
260,16,-20,974,894,911,950,975
270,16,-21,1003,903,909,1001,978
280,16,-21,1004,917,898,990,978
290,15,-21,1005,916,912,995,990
300,14,-21,1019,911,923,978,976
310,13,-20,1008,912,918,994,982
320,12,-20,1005,913,910,976,992
330,11,-20,1005,920,914,990,983
340,10,-20,1019,922,907,987,978
350,9,-21,958,919,921,994,986
360,8,-22,997,944,895,999,978
370,7,-23,1008,910,908,994,978
380,6,-23,1014,919,919,983,983
390,5,-22,1018,912,912,977,981
400,4,-20,1006,900,913,1008,978
410,3,-18,1008,913,910,995,977
420,2,-16,1041,935,906,983,983
430,1,-13,1004,925,905,977,976
440,1,-11,1008,916,934,984,982
450,1,-9,1010,925,912,997,982
460,0,-7,1008,928,917,1008,992
470,0,-6,1008,907,913,989,978
480,0,-5,1006,917,880,982,996
490,0,-3,1017,917,912,981,977
500,0,-1,1013,941,913,1008,981
510,0,0,1012,919,914,976,958
520,0,1,1014,915,929,989,981
530,0,1,1019,917,931,976,986
540,0,2,1011,911,912,979,973
550,0,3,997,938,861,996,981
560,0,4,1015,939,907,991,977
570,-1,6,995,919,907,973,983
580,-2,8,981,909,901,995,989
590,-3,11,1009,909,908,994,981
600,-3,13,1001,912,912,993,983
610,-3,15,986,896,930,973,976
620,-3,17,1008,880,903,993,976
630,-3,19,1005,849,898,981,975
640,-3,21,990,837,909,961,979
650,-3,23,999,788,909,1001,994
660,-3,24,993,784,914,976,976
670,-3,24,987,749,870,977,955
680,-3,24,997,720,880,972,976
690,-4,24,990,720,889,976,992
700,-4,23,981,704,901,989,979
710,-4,22,987,691,861,976,976
720,-4,21,979,698,878,965,1003
730,-4,20,993,690,870,972,979
740,-4,20,975,687,886,977,983
750,-4,20,986,681,846,979,976
760,-4,20,985,686,867,988,982
770,-4,20,982,683,873,997,995
780,-4,19,983,688,876,982,981
790,-4,18,993,689,849,994,975
800,-4,17,991,629,887,980,953
810,-4,15,994,687,867,983,976
820,-4,13,981,685,874,1005,977
830,-4,12,978,686,871,979,979
840,-4,11,982,684,863,976,985
850,-4,10,985,710,897,976,967
860,-4,9,987,689,878,994,983
870,-4,9,983,679,866,987,991
880,-4,9,983,688,886,982,976
890,-4,9,976,703,865,983,983
900,-4,9,989,699,872,979,970
910,-4,8,985,688,859,976,981
920,-4,7,994,695,816,973,969
930,-4,6,982,718,859,972,983
940,-4,5,974,687,857,976,991
950,-4,4,993,689,860,988,966
960,-4,3,980,698,861,977,976
970,-4,2,997,688,858,986,976
980,-4,1,980,693,861,988,981
990,-4,0,976,697,858,971,976
