timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,997,724,887,1002,950
10,0,-7,1001,747,866,978,971
20,0,-9,988,752,873,994,985
30,0,-11,1001,756,898,988,978
40,0,-12,993,771,880,986,979
50,0,-13,1008,791,876,989,976
60,0,-14,988,784,866,982,987
70,0,-15,988,798,894,987,988
80,0,-15,1008,816,867,976,991
90,0,-15,997,845,885,958,981
100,1,-15,976,838,880,984,983
110,1,-15,987,844,842,979,980
120,2,-15,993,890,894,951,982
130,2,-15,999,883,880,983,983
140,3,-14,1001,855,895,970,976
150,4,-13,997,876,879,981,976
160,4,-11,994,812,890,976,988
170,4,-9,995,884,892,971,986
180,4,-8,1003,875,890,976,980
190,3,-7,988,867,910,982,986
200,2,-6,981,884,898,985,982
210,2,-5,1019,877,886,982,978
220,1,-4,1008,875,891,971,981
230,0,-3,1008,879,909,978,987
240,0,-3,976,880,861,980,979
250,0,-3,992,877,878,985,985
260,0,-3,1003,866,899,989,976
270,0,-3,1002,900,915,976,983
280,0,-3,999,867,880,980,980
290,0,-3,1009,873,878,976,983
300,0,-2,1003,896,885,1031,988
310,0,-1,997,869,895,982,981
320,0,0,1036,880,878,990,982
330,0,1,998,874,909,954,978
340,0,2,983,856,963,992,982
350,0,3,1005,857,883,1002,986
360,0,4,992,854,900,973,983
370,0,5,944,821,912,992,983
380,0,6,983,812,892,976,987
390,0,6,989,784,876,975,981
400,0,6,978,767,896,977,987
410,0,6,989,755,884,985,981
420,0,6,1007,743,879,983,977
430,0,6,995,750,862,1022,982
440,0,6,981,736,877,991,981
450,0,6,982,735,870,980,982
460,0,6,977,727,895,995,979
470,0,6,1003,716,903,983,979
480,0,6,989,734,858,979,983
490,0,5,992,710,891,983,979
500,0,4,969,711,902,1006,980
510,0,4,992,703,890,981,987
520,0,3,992,742,872,989,981
530,0,2,986,719,887,980,981
540,0,1,981,717,880,949,987
550,0,1,997,721,876,976,981
560,0,1,991,717,843,981,977
570,0,1,994,711,885,979,977
580,0,1,1072,714,852,988,978
590,0,1,994,731,848,976,991
600,0,1,985,719,869,976,981
610,0,1,984,729,894,1003,977
620,0,1,994,717,879,985,979
630,0,1,1006,718,870,979,983
640,0,0,997,723,880,949,981
650,0,0,994,725,903,983,987
660,0,0,1015,724,893,991,974
670,0,0,998,727,883,975,991
680,0,0,1006,714,867,970,976
690,0,0,979,720,885,1002,979
700,0,0,985,730,882,978,975
710,0,0,986,729,879,993,987
720,0,0,1005,689,891,942,980
730,0,0,987,719,880,984,987
740,0,0,1003,740,893,1002,980
750,0,0,992,720,861,985,977
760,0,0,991,716,878,985,989
770,0,0,965,720,878,971,981
780,0,0,1005,723,887,990,983
790,0,0,1072,720,881,967,985
800,0,0,990,731,879,971,989
810,0,0,992,713,896,976,985
820,0,0,986,736,882,1008,971
830,0,0,994,730,885,982,976
840,0,0,989,723,880,979,976
850,0,0,995,702,882,973,976
860,0,0,1008,743,898,985,982
870,0,0,976,726,891,989,983
880,0,0,993,726,898,981,987
890,0,0,992,734,895,982,997
900,0,0,997,725,898,1001,973
910,0,0,996,734,871,978,992
920,0,0,989,731,889,977,982
930,0,0,1005,721,896,979,990
940,0,0,978,727,895,998,987
950,0,0,992,748,893,981,976
960,0,0,988,737,880,977,974
970,0,0,992,721,894,981,977
980,0,0,998,721,915,975,958
990,0,0,1008,733,886,975,982
