timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,993,746,880,981,982
10,0,-6,970,765,881,974,989
20,0,-6,988,748,894,975,974
30,0,-6,995,769,897,983,991
40,0,-5,992,745,886,976,979
50,0,-4,998,742,885,1008,979
60,0,-3,998,761,891,977,977
70,0,-2,992,765,886,1042,982
80,0,-1,993,758,893,992,980
90,0,0,996,758,888,976,977
100,0,0,997,765,906,979,990
110,0,0,986,766,880,995,976
120,0,0,990,769,887,979,996
130,0,0,985,756,880,967,981
140,0,1,984,765,880,986,976
150,0,2,998,767,880,987,979
160,0,3,980,750,890,981,980
170,0,4,995,752,881,983,961
180,0,5,993,766,897,976,971
190,0,6,1005,767,898,976,989
200,0,6,991,769,849,987,989
210,0,6,988,807,894,971,983
220,0,5,981,790,896,986,986
230,0,4,998,848,907,976,977
240,0,2,997,810,899,987,981
250,-1,0,976,833,889,969,975
260,-2,-1,985,922,903,979,980
270,-2,-3,985,848,887,976,973
280,-2,-5,995,819,881,965,982
290,-2,-7,994,821,891,981,982
300,-2,-8,1009,878,899,983,988
310,-2,-9,1014,862,887,986,971
320,-2,-8,976,853,907,996,976
330,-2,-7,976,833,906,988,976
340,-2,-5,1012,845,876,979,981
350,-2,-3,988,867,912,995,986
360,-2,-1,976,867,890,980,988
370,-2,0,988,858,889,995,986
380,-1,0,987,875,891,986,976
390,0,0,968,844,880,1048,987
400,0,0,976,862,912,982,979
410,0,0,979,859,901,992,981
420,0,0,974,871,907,977,980
430,0,0,992,870,901,997,984
440,0,0,992,854,895,1027,999
450,0,0,981,848,899,986,974
460,0,1,983,871,902,991,979
470,0,2,976,874,896,983,991
480,0,3,1006,874,891,991,989
490,0,4,1004,845,911,987,981
500,0,5,989,850,885,989,981
510,0,6,986,848,901,986,976
520,0,7,1002,851,880,975,970
530,0,8,983,841,880,1006,982
540,0,8,995,821,890,982,990
550,0,8,983,790,922,986,976
560,0,7,992,785,896,983,978
570,0,6,977,792,884,976,983
580,0,5,988,768,893,989,980
590,0,4,1001,781,891,995,976
600,0,4,1006,749,901,986,976
610,0,3,998,733,863,987,977
620,0,2,983,735,880,974,975
630,0,1,991,770,899,977,981
640,0,0,995,733,894,990,976
650,0,0,981,714,897,977,977
660,0,0,976,733,879,983,981
670,0,0,977,720,891,976,987
680,0,0,1008,740,903,963,982
690,0,0,998,739,869,981,983
700,0,0,1031,720,878,1007,971
710,0,0,994,727,887,976,957
720,0,0,981,728,880,985,972
730,0,0,998,723,892,979,991
740,0,0,977,725,888,970,978
750,0,0,1012,731,886,977,976
760,0,0,982,752,863,959,976
770,0,0,986,715,880,976,992
780,0,0,1008,730,903,982,976
790,0,0,1007,730,882,972,1003
800,0,0,971,707,871,975,981
810,0,0,999,720,864,996,986
820,0,0,998,731,874,987,980
830,0,0,996,738,890,988,989
840,0,0,986,733,888,981,975
850,0,0,989,733,885,976,985
860,0,0,992,720,900,976,983
870,0,0,992,733,873,959,986
880,0,0,981,720,891,1018,993
890,0,0,1007,727,932,976,954
900,0,0,989,726,880,987,984
910,0,0,993,730,882,979,976
920,0,0,1002,692,888,976,960
930,0,0,1015,735,902,983,995
940,0,0,1003,726,895,989,974
950,0,0,991,713,893,986,976
960,0,0,982,742,882,979,981
970,0,0,994,674,880,971,976
980,0,0,974,722,886,978,980
990,0,0,1009,715,880,974,993
