timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,1,978,714,868,1043,989
10,-1,0,971,711,867,974,979
20,0,-1,976,715,854,972,978
30,0,-2,976,708,873,987,985
40,0,-3,951,720,816,967,976
50,0,-4,974,727,855,981,981
60,0,-5,967,718,857,991,979
70,0,-6,966,711,880,976,978
80,0,-6,976,721,864,985,983
90,0,-6,982,719,849,975,986
100,0,-6,989,720,879,958,976
110,0,-6,976,725,882,976,977
120,0,-6,990,734,893,996,983
130,0,-6,974,720,845,973,978
140,0,-6,976,761,876,976,978
150,0,-5,983,730,847,976,977
160,0,-5,989,759,881,976,991
170,0,-5,976,775,873,976,981
180,0,-5,994,753,871,996,978
190,0,-4,979,779,878,978,976
200,0,-4,982,769,875,992,977
210,0,-3,975,821,843,987,975
220,0,-3,988,806,876,978,986
230,0,-3,1001,854,884,995,978
240,0,-3,976,829,886,980,977
250,0,-3,991,839,859,994,978
260,0,-3,981,918,885,983,978
270,0,-4,981,851,887,992,981
280,0,-5,1021,877,922,977,982
290,0,-6,980,876,905,985,986
300,0,-7,1007,866,915,981,986
310,0,-7,978,864,887,989,989
320,0,-7,994,893,905,981,980
330,0,-7,978,892,900,990,981
340,0,-7,980,884,902,976,976
350,0,-6,992,896,898,977,979
360,0,-5,976,899,926,1042,975
370,0,-4,1005,884,906,982,989
380,0,-3,971,892,899,989,981
390,0,-2,991,887,896,979,978
400,0,-1,975,917,884,976,976
410,0,0,992,864,882,974,981
420,0,0,978,896,903,983,978
430,0,0,981,907,899,989,979
440,0,0,979,894,910,983,983
450,0,0,983,905,905,991,976
460,0,0,990,976,912,974,979
470,0,0,976,905,913,978,979
480,0,0,982,899,898,976,974
490,0,0,972,898,923,989,976
500,0,0,981,885,896,973,978
510,0,0,989,885,902,979,980
520,0,1,985,879,918,982,976
530,0,2,976,883,886,994,976
540,0,3,981,863,913,990,973
550,0,4,998,848,885,970,978
560,0,5,987,815,888,975,987
570,0,6,969,798,901,978,981
580,0,7,983,780,881,978,985
590,0,8,995,754,912,974,987
600,0,9,976,758,880,986,980
610,0,9,970,718,897,976,976
620,0,9,991,687,882,987,979
630,0,9,978,705,880,976,976
640,0,8,985,682,887,979,978
650,0,8,979,688,882,969,990
660,0,8,984,681,880,979,979
670,0,8,959,677,935,981,986
680,0,7,986,676,880,977,981
690,0,7,971,667,859,988,983
700,0,7,977,688,862,975,977
710,0,7,976,675,866,969,983
720,0,7,969,685,871,984,977
730,0,7,958,672,858,983,986
740,0,6,976,673,861,993,978
750,0,5,995,681,851,986,976
760,0,4,973,681,855,982,979
770,0,3,968,677,858,992,979
780,0,2,970,688,862,978,976
790,0,1,976,675,870,979,981
800,0,0,982,695,846,991,983
810,0,0,1056,674,854,971,977
820,0,0,979,676,865,971,979
830,0,0,995,688,864,997,976
840,0,0,978,691,851,978,981
850,0,0,979,688,865,985,982
860,0,0,987,688,847,994,983
870,0,0,979,688,863,979,986
880,0,0,989,672,862,980,987
890,0,0,987,703,873,960,979
900,0,0,982,688,861,986,983
910,0,0,975,694,851,963,984
920,0,0,992,690,852,976,978
930,0,0,976,682,870,997,975
940,0,0,981,675,869,976,992
950,0,0,977,695,890,976,975
960,0,0,975,683,864,938,990
970,0,0,983,689,855,986,960
980,0,0,991,705,865,973,974
990,0,0,977,691,879,977,981
