timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,0,983,699,818,961,976
10,1,-3,971,699,831,991,976
20,1,-5,975,694,825,970,971
30,1,-6,979,694,813,974,986
40,1,-7,975,710,829,985,982
50,1,-8,982,698,823,976,976
60,1,-9,993,695,838,972,985
70,1,-10,985,695,843,976,991
80,0,-11,979,646,836,983,976
90,0,-12,974,693,859,993,976
100,0,-13,1001,697,835,984,995
110,0,-13,962,698,853,975,976
120,0,-13,962,688,844,989,974
130,0,-13,965,734,848,976,983
140,0,-13,975,719,853,949,985
150,0,-12,1008,745,855,990,982
160,0,-11,979,741,869,963,959
170,0,-10,1003,765,859,978,976
180,0,-9,981,767,870,960,977
190,0,-9,969,789,862,970,977
200,0,-9,974,785,871,975,984
210,0,-9,976,799,902,979,999
220,0,-9,986,815,878,979,976
230,0,-10,982,832,877,976,981
240,0,-11,987,834,891,960,985
250,0,-12,977,833,880,991,981
260,0,-12,979,848,896,991,976
270,0,-12,999,849,896,981,985
280,0,-12,991,844,906,993,976
290,0,-12,989,842,885,978,979
300,0,-12,1005,847,910,983,982
310,0,-12,1003,845,941,981,981
320,0,-12,985,863,896,983,976
330,0,-12,985,851,897,988,982
340,0,-12,996,862,907,976,999
350,0,-12,997,862,915,975,974
360,0,-12,996,865,896,992,976
370,0,-11,1008,859,907,988,989
380,0,-10,997,859,916,977,985
390,0,-8,993,850,901,976,976
400,0,-6,992,851,913,967,977
410,0,-4,987,861,912,978,975
420,0,-3,985,862,899,993,990
430,0,-2,987,859,909,979,981
440,0,-1,954,871,902,981,983
450,0,0,1003,865,909,1038,979
460,0,0,993,848,941,965,980
470,0,0,1008,857,913,979,981
480,0,0,1006,858,877,990,977
490,0,0,996,852,908,977,981
500,0,0,997,880,935,1001,1003
510,0,0,986,833,926,965,989
520,0,0,973,852,913,977,976
530,0,0,992,865,913,976,987
540,0,0,990,868,904,971,981
550,0,0,977,853,911,978,971
560,0,0,996,847,915,1034,978
570,0,1,1009,863,890,977,976
580,0,2,1014,847,896,983,986
590,0,4,997,825,899,959,976
600,0,6,976,809,891,968,988
610,0,8,960,778,907,980,961
620,0,10,971,725,873,989,982
630,0,12,986,675,880,987,979
640,0,13,998,656,875,982,983
650,0,14,960,645,862,987,976
660,0,15,989,623,868,973,995
670,0,15,992,636,863,991,976
680,0,15,961,623,849,977,991
690,0,15,1008,608,865,977,988
700,0,15,977,623,853,974,975
710,0,15,985,625,848,983,979
720,0,15,977,623,838,992,989
730,0,16,995,627,844,973,978
740,0,16,988,629,834,976,975
750,0,16,989,624,846,975,989
760,0,16,983,636,839,976,978
770,0,16,977,646,841,975,997
780,0,15,993,647,831,992,981
790,0,14,1007,629,831,996,976
800,0,13,1008,653,832,974,978
810,0,12,994,666,832,981,978
820,0,11,989,639,830,975,979
830,0,10,977,652,834,976,978
840,0,9,991,675,840,983,989
850,0,8,1004,659,823,978,985
860,0,7,974,655,830,976,977
870,0,6,980,656,809,969,975
880,0,5,986,668,835,979,983
890,0,5,983,659,833,986,982
900,0,4,989,612,839,1006,982
910,0,4,994,665,816,978,976
920,0,4,990,659,874,976,985
930,0,4,994,671,835,994,976
940,0,4,990,667,820,975,979
950,0,4,976,682,844,981,976
960,0,4,977,669,832,960,982
970,0,4,991,670,806,973,989
980,0,4,978,671,823,977,973
990,0,4,982,675,816,978,976
