timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1006,699,881,976,976
10,1,-6,994,723,877,979,976
20,1,-8,998,724,873,974,974
30,1,-9,1015,717,869,976,976
40,1,-10,976,687,846,976,964
50,1,-11,986,720,870,969,978
60,1,-12,1002,731,870,966,982
70,1,-13,983,721,874,960,966
80,1,-13,976,714,940,974,971
90,1,-13,990,737,848,976,988
100,1,-13,999,719,885,966,993
110,1,-13,965,725,871,976,976
120,1,-13,983,777,880,1003,976
130,1,-12,987,763,866,978,983
140,1,-11,957,790,880,992,965
150,1,-10,988,773,875,947,979
160,2,-9,998,788,880,965,997
170,2,-8,979,811,896,1004,982
180,2,-8,1002,832,883,973,985
190,2,-8,1006,838,890,973,990
200,2,-8,990,785,896,991,979
210,2,-8,991,848,896,965,976
220,2,-9,1003,848,899,997,978
230,2,-10,1008,869,887,983,978
240,2,-11,999,869,925,974,976
250,2,-11,1001,869,893,977,981
260,2,-11,991,867,902,965,982
270,1,-9,985,877,893,981,976
280,0,-7,1014,881,903,975,988
290,0,-5,1008,871,906,978,976
300,0,-3,1008,834,901,960,983
310,0,-1,995,880,907,985,983
320,0,0,1013,877,897,979,976
330,0,0,1008,893,918,943,990
340,0,0,1007,862,905,974,990
350,0,0,1031,875,903,974,976
360,0,0,997,859,901,980,976
370,0,0,1006,851,910,969,979
380,0,0,1003,877,906,976,975
390,0,0,993,869,896,981,976
400,0,1,1005,884,905,976,977
410,0,3,987,880,912,976,976
420,0,5,1008,854,907,984,1008
430,0,8,1002,902,897,979,993
440,0,11,997,859,906,976,975
450,0,14,993,859,909,990,976
460,0,17,1015,832,901,971,986
470,0,19,986,843,915,977,971
480,0,20,976,830,889,982,978
490,0,21,974,848,901,976,976
500,0,22,998,775,891,971,976
510,0,22,997,762,874,976,983
520,0,22,1006,739,882,971,976
530,0,21,987,693,907,975,987
540,0,20,988,707,880,961,979
550,0,19,993,691,875,972,976
560,0,17,992,715,875,978,988
570,0,15,989,702,875,980,976
580,0,13,979,703,868,973,978
590,0,11,995,681,880,992,976
600,0,9,993,695,867,971,976
610,0,7,981,697,878,971,981
620,0,5,1002,704,867,981,986
630,0,3,991,690,877,981,986
640,0,2,1005,689,876,977,966
650,0,1,995,750,875,976,986
660,0,2,983,710,839,967,976
670,0,1,997,691,864,972,976
680,0,1,990,698,880,971,977
690,0,0,1002,705,869,975,975
700,0,0,1008,705,864,963,991
710,0,0,987,705,866,970,974
720,0,0,997,715,861,959,978
730,0,0,991,693,871,976,989
740,0,0,985,704,880,976,978
750,0,0,981,710,896,976,975
760,0,0,999,715,869,974,977
770,0,0,989,727,865,966,977
780,0,0,1008,699,864,971,976
790,0,0,998,692,865,986,976
800,0,0,983,704,880,979,970
810,0,0,1001,721,870,978,991
820,0,0,969,705,863,976,975
830,0,0,989,720,895,966,987
840,0,0,1009,721,870,973,988
850,0,0,1013,704,848,989,979
860,0,0,1017,720,876,971,982
870,0,0,986,711,880,974,974
880,0,0,985,719,855,979,978
890,0,0,993,723,853,976,983
900,0,0,992,719,882,973,976
910,0,0,1031,737,880,976,979
920,0,0,990,721,880,970,985
930,0,0,1007,707,885,972,970
940,0,0,998,720,883,976,976
950,0,0,1008,735,854,978,983
960,0,0,1001,715,875,975,979
970,0,0,989,720,886,973,980
980,0,0,989,717,882,986,983
990,0,0,989,708,860,971,978
