timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,971,751,898,1007,981
10,1,-2,1005,755,880,975,990
20,1,-2,978,752,912,986,976
30,1,-2,991,753,889,976,1008
40,1,-2,994,771,874,989,977
50,1,-2,986,760,893,985,976
60,1,-2,1002,768,889,993,987
70,1,-2,986,752,896,988,974
80,1,-2,1003,765,897,979,977
90,1,-2,991,754,897,999,987
100,1,-2,937,698,880,984,978
110,1,-2,995,766,884,997,979
120,1,-2,1007,768,889,983,981
130,1,-2,995,778,896,1005,991
140,1,-2,975,773,881,987,985
150,1,-2,979,781,893,976,982
160,1,-2,997,791,896,984,987
170,1,-2,985,796,877,989,974
180,1,-2,1006,793,863,991,993
190,1,-2,989,807,891,944,983
200,1,-2,983,824,883,971,985
210,1,-2,997,849,882,999,953
220,1,-2,988,845,901,987,979
230,1,-2,978,849,914,991,991
240,1,-2,989,834,894,977,979
250,1,-1,979,874,893,983,975
260,0,0,1002,863,891,1008,982
270,0,0,1008,867,903,974,981
280,0,0,994,871,894,989,986
290,0,0,991,860,907,998,976
300,0,0,990,877,896,978,987
310,0,0,981,856,922,969,986
320,0,0,990,867,890,986,979
330,0,0,1001,864,899,979,992
340,0,0,1007,880,890,976,1006
350,0,0,981,880,880,975,980
360,0,0,985,866,895,1002,975
370,0,0,999,880,886,976,978
380,0,0,999,862,894,981,981
390,0,0,994,855,896,973,992
400,0,0,983,863,880,976,981
410,0,0,1003,853,912,976,981
420,0,0,998,837,905,976,991
430,0,0,991,852,890,976,981
440,0,0,995,848,922,975,994
450,0,0,991,874,880,976,986
460,0,0,992,819,898,1007,988
470,0,0,976,803,909,965,987
480,0,0,982,800,894,989,978
490,0,0,991,789,895,985,977
500,0,0,983,762,908,1017,979
510,0,0,981,773,898,985,976
520,0,0,961,758,899,981,982
530,0,0,995,731,885,983,987
540,0,0,988,754,880,976,976
550,0,0,997,752,890,982,987
560,0,0,977,751,879,979,973
570,0,0,1020,738,890,991,989
580,0,0,991,738,894,978,976
590,0,0,989,737,879,985,989
600,0,0,999,752,909,1008,997
610,0,0,995,736,896,987,981
620,0,0,981,759,903,983,977
630,0,0,989,732,880,992,987
640,0,0,981,720,891,989,985
650,0,0,992,735,896,978,978
660,0,0,991,751,883,994,979
670,0,0,988,727,875,993,977
680,0,0,994,739,881,990,981
690,0,0,994,724,880,990,977
700,0,0,989,739,877,995,978
710,0,0,1007,736,880,979,976
720,0,0,978,723,890,983,976
730,0,0,963,748,884,973,966
740,0,0,1005,743,889,991,990
750,0,0,981,734,879,987,978
760,0,0,985,734,883,976,969
770,0,0,991,752,898,984,985
780,0,0,981,721,883,985,989
790,0,0,986,725,878,986,990
800,0,0,985,721,891,985,983
810,0,0,1013,731,879,976,995
820,0,0,990,743,880,978,981
830,0,0,982,729,875,982,976
840,0,0,993,728,895,991,985
850,0,0,981,749,893,987,978
860,0,0,1058,728,903,966,973
870,0,0,988,725,906,979,981
880,0,0,995,738,894,977,981
890,0,0,982,802,893,992,990
900,0,0,999,752,907,986,976
910,0,0,976,746,907,981,985
920,0,0,982,734,881,1001,995
930,0,0,988,780,885,1006,1035
940,0,0,989,747,880,969,978
950,0,0,983,737,903,978,981
960,0,0,997,747,875,991,988
970,0,0,1008,731,893,980,987
980,0,0,1012,753,897,992,1006
990,0,0,942,735,880,978,982
