timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,-1,1008,728,868,978,981
10,1,-2,1007,731,896,1001,976
20,0,-2,1008,747,883,988,974
30,0,-2,1021,714,867,1006,981
40,0,-2,977,723,880,982,976
50,0,-2,993,737,889,979,991
60,0,-2,1014,734,879,994,969
70,0,-2,992,720,880,983,988
80,0,-2,998,735,883,998,976
90,0,-2,990,740,855,976,985
100,0,-2,1018,719,896,992,976
110,0,-2,1007,732,927,994,970
120,0,-2,1005,725,875,989,977
130,0,-2,998,731,884,976,976
140,0,-2,1003,742,883,980,1007
150,0,-2,981,735,912,998,975
160,0,-2,994,753,880,998,978
170,0,-2,991,755,910,998,976
180,0,-2,989,751,894,976,976
190,0,-2,993,755,875,994,970
200,0,-2,995,777,886,984,983
210,0,-2,1019,798,896,1003,976
220,0,-2,1002,791,886,985,976
230,0,-2,989,805,902,987,976
240,0,-2,999,826,880,987,975
250,0,-2,983,825,894,979,977
260,0,-2,976,843,883,989,987
270,0,-2,1034,866,897,1035,976
280,0,-3,979,854,902,991,979
290,0,-4,1017,857,917,980,971
300,0,-5,1006,855,913,995,981
310,0,-5,1008,867,898,989,976
320,0,-5,1002,885,903,976,974
330,0,-5,1008,874,912,994,983
340,0,-5,1008,870,901,996,976
350,0,-4,991,873,906,977,987
360,0,-3,1007,862,901,982,977
370,0,-2,999,870,912,1001,976
380,0,-1,997,912,917,998,979
390,0,0,1023,881,912,977,986
400,0,0,996,900,915,986,989
410,0,0,1008,880,911,998,981
420,0,0,1010,866,907,981,976
430,0,0,1021,890,907,964,985
440,0,0,1019,863,919,986,979
450,0,0,1019,855,934,982,980
460,0,0,991,882,912,975,972
470,0,0,997,880,912,990,981
480,0,0,1003,896,928,992,990
490,0,0,991,881,905,998,982
500,0,0,1038,868,912,983,979
510,0,0,1001,873,912,991,979
520,0,0,997,873,913,986,979
530,0,0,997,864,919,991,979
540,0,0,996,870,910,992,978
550,0,1,1005,883,898,991,977
560,0,2,994,886,901,995,987
570,0,3,992,884,905,983,985
580,0,4,1035,868,896,983,965
590,0,5,998,871,912,983,997
600,0,6,990,844,907,978,973
610,0,7,1010,828,899,993,996
620,0,7,984,798,896,982,987
630,0,7,997,768,895,977,979
640,0,7,988,719,893,982,986
650,0,6,977,688,879,981,981
660,0,5,992,672,880,976,969
670,0,4,974,689,883,991,980
680,0,3,1007,691,881,987,976
690,0,3,993,686,880,977,976
700,0,3,994,681,872,989,983
710,0,3,970,668,877,987,976
720,0,4,989,687,872,976,975
730,0,4,987,675,863,976,979
740,0,4,979,661,898,978,991
750,0,4,1003,683,879,976,976
760,0,4,981,687,886,973,976
770,0,3,977,677,875,982,987
780,0,2,993,679,886,976,977
790,0,1,989,673,874,989,983
800,0,0,985,682,880,977,976
810,0,0,987,703,873,1003,976
820,0,0,991,662,885,983,951
830,0,0,991,678,869,989,977
840,0,0,997,682,822,989,979
850,0,0,978,694,886,983,985
860,0,0,989,688,877,976,978
870,0,0,993,700,865,1002,1006
880,0,0,976,690,867,982,997
890,0,0,988,677,862,993,979
900,0,0,976,720,863,978,983
910,0,0,993,707,871,983,979
920,0,0,996,687,881,977,962
930,0,0,978,688,881,980,976
940,0,0,976,690,890,975,997
950,0,0,990,720,869,979,987
960,0,0,986,693,875,976,976
970,0,0,982,703,866,967,973
980,0,0,997,694,875,977,994
990,0,0,1003,707,887,997,980
