timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,982,713,887,976,975
10,-2,-4,992,741,852,979,976
20,-1,-7,980,742,890,1001,979
30,0,-10,993,733,895,981,986
40,0,-12,993,704,883,967,980
50,0,-12,999,742,872,976,987
60,0,-12,982,722,875,982,967
70,0,-12,977,736,879,992,981
80,0,-12,1003,745,896,979,976
90,0,-12,988,731,877,989,976
100,0,-12,990,736,891,979,977
110,0,-13,993,746,897,976,976
120,0,-13,977,752,880,995,982
130,0,-13,982,758,880,965,979
140,0,-13,1001,777,886,982,971
150,0,-13,978,783,890,995,982
160,0,-13,1010,782,887,987,976
170,1,-13,1008,816,887,980,983
180,1,-13,983,814,890,982,992
190,1,-12,977,804,896,998,982
200,1,-12,995,822,883,989,967
210,1,-12,989,839,880,988,987
220,1,-12,1001,822,889,983,1001
230,1,-12,989,848,895,987,976
240,1,-12,993,846,894,993,977
250,1,-12,1035,814,900,970,975
260,1,-12,998,848,885,987,977
270,1,-11,943,855,911,979,989
280,1,-10,992,855,897,979,988
290,0,-9,994,861,911,1007,980
300,0,-8,998,829,889,987,979
310,0,-7,985,858,914,987,973
320,0,-6,979,861,901,985,981
330,0,-5,996,861,885,994,994
340,0,-4,994,862,894,981,977
350,0,-3,986,865,896,986,987
360,0,-2,984,871,896,995,979
370,0,-1,997,857,901,990,976
380,0,0,989,836,906,985,965
390,0,0,999,910,912,981,978
400,0,0,1009,855,896,979,987
410,0,0,1010,837,889,978,989
420,0,0,990,848,895,983,989
430,0,0,983,846,928,1009,982
440,0,0,999,851,912,979,976
450,0,1,987,852,895,987,973
460,0,2,994,797,892,974,979
470,0,3,1006,819,911,983,983
480,0,4,1003,825,899,982,997
490,0,5,999,898,895,1003,982
500,0,6,993,816,905,983,983
510,0,6,989,802,917,981,977
520,0,6,1006,803,908,986,977
530,0,6,987,779,880,991,977
540,0,6,994,725,906,988,978
550,0,6,987,752,896,985,985
560,0,6,992,745,907,974,993
570,0,5,989,733,893,999,976
580,0,4,976,746,895,986,981
590,0,4,944,734,897,982,988
600,0,4,1008,739,883,988,979
610,0,4,1004,725,871,993,987
620,0,3,1001,731,883,986,991
630,0,3,980,727,893,1008,981
640,0,3,986,693,893,982,989
650,0,2,993,728,879,976,978
660,0,1,1008,732,897,976,983
670,0,0,965,713,880,997,971
680,0,0,1001,734,896,987,985
690,0,0,982,720,904,986,976
700,0,0,991,701,903,976,977
710,0,0,991,707,896,979,977
720,0,0,997,703,886,975,983
730,0,0,995,704,880,977,983
740,0,0,989,713,874,997,978
750,0,0,997,737,887,982,978
760,0,0,982,708,896,981,985
770,0,0,985,704,887,978,977
780,0,0,995,714,890,982,991
790,0,0,992,708,879,973,977
800,0,0,977,735,870,989,978
810,0,0,979,726,880,1007,991
820,0,0,1007,697,880,993,976
830,0,0,999,711,880,976,977
840,0,0,991,721,878,983,976
850,0,0,977,725,884,985,974
860,0,0,994,731,881,978,989
870,0,0,1008,720,892,989,979
880,0,0,967,743,894,979,999
890,0,0,983,726,880,983,980
900,0,0,962,730,910,951,992
910,0,0,986,718,887,965,977
920,0,0,999,720,891,977,976
930,0,0,953,702,875,982,965
940,0,0,985,709,887,982,993
950,0,0,969,727,880,999,992
960,0,0,997,742,896,976,978
970,0,0,995,714,894,983,975
980,0,0,994,720,891,986,976
990,0,0,989,721,894,987,989
