timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,977,706,880,995,979
10,0,-4,974,737,892,1006,993
20,0,-7,969,720,887,976,993
30,0,-8,991,736,886,993,981
40,0,-9,987,731,889,978,973
50,0,-9,967,754,884,977,998
60,0,-9,988,763,917,996,976
70,0,-9,1031,746,881,990,976
80,0,-9,1002,788,880,1007,974
90,0,-9,981,766,899,981,981
100,0,-9,986,779,858,987,977
110,0,-8,982,769,902,973,970
120,0,-7,976,764,896,986,979
130,0,-6,993,787,901,994,985
140,0,-5,979,767,885,976,986
150,0,-4,1009,782,912,991,976
160,0,-3,992,782,893,979,976
170,0,-2,961,788,898,979,987
180,0,-1,997,770,914,989,971
190,0,0,995,782,907,989,976
200,0,0,945,785,889,981,987
210,0,0,983,800,868,986,963
220,0,0,994,821,893,981,988
230,0,0,971,785,893,993,989
240,0,0,987,800,880,983,979
250,0,0,983,803,897,995,979
260,0,0,993,814,885,997,967
270,0,0,988,814,913,987,976
280,0,0,1011,829,913,991,979
290,0,0,990,820,893,983,993
300,0,0,987,826,893,993,978
310,0,0,976,822,895,984,989
320,0,-1,983,835,907,973,988
330,0,-2,977,832,897,995,982
340,0,-3,976,837,899,1007,977
350,0,-3,1007,848,890,963,977
360,0,-4,1002,846,905,989,978
370,0,-5,991,833,910,976,985
380,0,-5,993,848,896,978,976
390,0,-5,993,854,899,998,995
400,0,-4,981,861,908,981,981
410,0,-3,976,863,909,979,979
420,0,-2,991,862,894,1005,960
430,0,-1,989,853,897,991,987
440,0,0,961,873,915,977,980
450,0,0,1007,875,909,995,982
460,0,0,999,860,901,976,979
470,0,0,999,868,896,993,960
480,0,0,975,873,887,980,980
490,0,0,991,852,918,1001,983
500,0,0,1006,861,915,966,987
510,0,0,997,850,903,983,981
520,0,0,991,855,925,992,970
530,0,0,993,889,926,995,993
540,0,0,989,855,898,978,976
550,0,0,991,858,902,999,994
560,0,0,976,861,912,997,978
570,0,0,1033,865,906,981,977
580,0,0,992,837,907,975,985
590,0,0,986,848,915,979,981
600,0,0,987,839,912,977,976
610,0,0,1008,846,901,989,985
620,0,1,1004,847,905,982,976
630,0,2,992,823,906,997,978
640,0,3,1008,815,896,979,982
650,0,4,986,818,912,979,982
660,0,5,978,773,919,995,975
670,0,6,981,802,922,989,976
680,0,6,943,798,906,979,973
690,0,6,995,794,898,997,993
700,0,6,999,773,897,974,985
710,0,6,989,784,912,985,980
720,0,6,986,764,890,977,976
730,0,6,990,773,913,1002,992
740,0,6,987,773,897,991,976
750,0,6,996,753,880,985,976
760,0,6,975,753,896,975,985
770,0,6,995,768,901,976,967
780,0,5,976,669,902,976,985
790,0,4,983,751,901,979,983
800,0,3,993,752,886,982,976
810,0,2,998,753,904,999,981
820,0,1,995,783,893,986,974
830,0,0,982,759,894,993,979
840,0,0,980,750,909,979,982
850,0,0,983,766,901,955,1033
860,0,0,995,752,900,976,990
870,0,0,982,737,878,983,976
880,0,0,991,752,893,976,979
890,0,0,935,747,912,970,990
900,0,0,998,743,902,994,976
910,0,0,987,765,902,980,980
920,0,0,1003,749,907,991,975
930,0,0,975,757,890,1007,980
940,0,0,997,779,918,976,976
950,0,0,993,758,897,995,985
960,0,0,980,752,901,986,975
970,0,0,1004,749,882,1008,977
980,0,0,1001,756,912,990,982
990,0,0,978,752,902,981,982
