timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,982,686,874,986,983
10,0,-7,964,689,890,989,978
20,0,-12,993,688,878,962,953
30,0,-14,993,691,870,979,957
40,0,-16,969,698,893,979,990
50,0,-16,997,697,898,944,991
60,0,-15,987,711,889,978,991
70,0,-14,984,699,885,978,979
80,0,-13,976,695,879,983,981
90,0,-12,976,705,882,990,982
100,0,-11,976,688,878,1007,995
110,0,-10,977,695,880,990,977
120,0,-9,978,709,892,976,968
130,0,-9,976,704,881,976,994
140,0,-9,989,694,885,978,990
150,0,-9,980,700,891,979,978
160,0,-9,978,707,885,979,979
170,0,-9,993,706,873,979,987
180,0,-9,977,723,880,992,995
190,0,-9,997,720,889,983,982
200,0,-9,991,749,887,976,980
210,0,-9,992,742,904,976,1040
220,0,-9,992,747,879,975,982
230,0,-9,992,750,886,982,979
240,0,-9,1032,769,896,979,993
250,0,-9,997,768,880,977,976
260,0,-9,991,785,897,963,986
270,0,-9,1007,794,886,981,978
280,0,-9,1011,805,892,997,981
290,0,-9,989,816,871,976,986
300,0,-9,995,819,890,976,989
310,0,-9,995,830,894,979,993
320,0,-9,1017,827,893,981,982
330,0,-9,1020,848,880,976,979
340,1,-9,1008,854,898,1004,976
350,2,-8,1008,851,887,976,978
360,3,-8,997,856,944,991,979
370,4,-8,1015,859,881,1003,975
380,5,-8,998,867,897,979,976
390,6,-7,1019,861,912,993,998
400,6,-5,1008,880,912,980,976
410,6,-3,1016,873,905,976,976
420,6,-1,998,869,894,976,983
430,5,0,1009,875,903,970,975
440,4,1,1013,867,875,977,1001
450,3,1,997,913,893,971,977
460,2,1,1002,869,885,993,979
470,2,0,1013,883,924,993,994
480,2,0,1011,818,912,982,990
490,2,0,1015,865,907,982,977
500,1,0,1009,880,893,976,987
510,0,0,997,861,900,986,977
520,0,0,1033,878,896,1006,978
530,0,0,1002,911,899,983,981
540,0,0,1007,873,903,970,977
550,0,0,1008,881,929,961,976
560,0,0,1001,885,902,980,977
570,0,0,1007,867,912,981,975
580,0,0,977,866,921,993,978
590,0,1,1008,853,910,979,983
600,0,2,1012,850,901,978,976
610,0,3,1009,847,893,978,983
620,0,4,1034,843,890,987,976
630,0,5,992,819,894,990,985
640,0,6,1002,804,885,982,976
650,0,7,991,804,896,950,978
660,0,8,983,777,880,977,977
670,0,9,991,767,885,985,980
680,0,10,992,751,875,991,962
690,0,11,1007,750,880,997,981
700,0,12,991,716,891,966,980
710,0,12,991,730,880,976,983
720,0,12,989,690,875,990,976
730,0,12,1006,698,876,986,980
740,0,12,985,715,877,965,975
750,0,12,995,694,877,987,988
760,0,12,982,704,879,974,978
770,0,12,994,666,880,981,976
780,0,11,976,683,871,983,973
790,0,10,990,751,893,990,977
800,0,9,989,684,868,987,983
810,0,8,976,685,889,975,978
820,0,7,984,682,879,974,976
830,0,6,988,698,878,989,985
840,0,5,1011,683,870,957,988
850,0,4,983,684,878,987,981
860,0,3,1008,682,884,994,987
870,0,2,1015,683,890,976,955
880,0,1,983,691,879,989,992
890,0,1,999,677,886,1003,971
900,0,1,1003,676,877,1001,967
910,0,0,1004,690,877,972,974
920,0,0,994,690,881,979,976
930,0,0,1002,661,867,995,982
940,0,0,975,688,871,974,995
950,0,0,990,670,874,987,979
960,0,0,999,681,870,994,990
970,0,0,1008,673,885,978,978
980,0,0,978,651,866,1020,985
990,0,0,987,703,866,978,983
