timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,1,982,690,853,977,977
10,1,-2,991,713,836,988,982
20,1,-4,992,700,858,979,985
30,1,-5,1072,695,866,969,989
40,1,-6,981,718,870,986,979
50,0,-7,990,705,859,976,977
60,0,-8,991,692,882,992,978
70,0,-8,985,705,865,991,983
80,0,-8,987,725,890,992,982
90,0,-8,944,723,876,976,987
100,0,-8,985,749,878,976,976
110,0,-8,999,784,847,974,976
120,0,-7,985,762,871,977,976
130,0,-6,984,777,866,978,987
140,0,-5,1003,752,870,968,990
150,0,-4,990,783,870,979,981
160,0,-3,955,789,875,974,987
170,0,-2,1007,785,877,987,989
180,0,-2,992,811,893,980,990
190,0,-2,986,794,875,965,976
200,0,-2,998,801,875,985,981
210,0,-2,997,811,879,982,976
220,0,-2,991,817,884,951,977
230,0,-2,1001,807,874,989,982
240,0,-2,1001,826,915,994,977
250,0,-2,1004,817,892,976,978
260,0,-2,1008,821,898,969,976
270,0,-2,999,851,882,986,975
280,0,-2,1008,833,899,979,983
290,0,-2,995,823,882,986,982
300,0,-2,1005,794,884,981,976
310,0,-2,1004,846,909,990,977
320,0,-2,985,838,908,996,987
330,0,-2,1008,875,895,978,976
340,0,-2,989,834,891,969,976
350,0,-2,998,839,880,992,974
360,0,-2,1005,848,880,970,983
370,0,-2,1008,848,900,970,960
380,0,-2,1003,794,879,975,976
390,0,-2,997,866,893,971,984
400,0,-2,1000,851,903,984,987
410,0,-1,1007,855,897,971,979
420,0,0,1014,855,899,975,982
430,0,0,1019,771,850,978,977
440,0,0,1031,846,917,977,980
450,0,0,1022,862,903,994,976
460,0,0,993,882,897,986,981
470,0,0,1009,866,907,976,975
480,0,0,993,874,909,982,983
490,0,0,1006,847,912,983,977
500,0,0,1008,866,841,976,977
510,0,0,1006,857,915,977,980
520,0,0,995,858,904,987,986
530,0,0,1008,880,901,979,989
540,0,0,1008,878,896,971,995
550,0,0,1014,857,885,971,978
560,0,0,1007,839,903,988,976
570,0,0,996,863,914,983,981
580,0,0,1008,862,896,983,939
590,0,0,1003,851,946,981,983
600,0,0,997,849,894,996,988
610,0,1,987,834,880,989,992
620,0,2,992,829,895,988,997
630,0,3,993,809,902,978,977
640,0,4,1029,785,863,985,977
650,0,5,999,752,891,986,987
660,0,6,990,722,903,976,976
670,0,6,998,703,880,976,986
680,0,6,979,702,879,975,977
690,0,6,994,750,912,986,984
700,0,6,998,688,880,976,981
710,0,6,991,680,868,985,976
720,0,6,991,667,843,1003,969
730,0,7,1005,661,873,976,976
740,0,7,1009,665,867,976,976
750,0,7,954,671,864,982,982
760,0,7,987,662,864,976,980
770,0,6,1000,663,885,960,949
780,0,5,979,676,857,978,979
790,0,4,982,672,885,1007,982
800,0,3,991,666,870,987,965
810,0,2,987,667,865,988,976
820,0,2,1009,687,873,961,989
830,0,2,1012,693,849,975,983
840,0,2,957,666,856,987,976
850,0,2,1007,690,873,975,976
860,0,2,999,659,862,988,983
870,0,2,960,681,867,976,982
880,0,2,986,671,880,989,979
890,0,2,986,685,870,983,977
900,0,2,965,681,867,993,983
910,0,2,981,659,865,994,981
920,0,2,983,691,855,994,976
930,0,3,1006,691,877,986,976
940,0,4,993,671,862,978,982
950,0,4,988,671,858,983,975
960,0,4,989,675,849,986,988
970,0,4,998,672,849,978,988
980,0,4,989,688,835,1006,1006
990,0,4,977,673,852,992,981
