timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,991,700,841,989,978
10,0,-2,1004,699,897,953,983
20,0,-4,993,715,875,994,979
30,0,-6,982,703,880,983,978
40,0,-8,989,716,880,1041,983
50,-1,-10,983,720,871,970,973
60,-1,-12,993,739,880,973,981
70,0,-13,998,715,863,979,993
80,0,-14,1006,746,867,976,976
90,0,-14,1014,752,878,987,986
100,0,-14,1006,762,859,965,982
110,0,-14,1007,773,882,970,991
120,0,-13,987,767,881,964,999
130,0,-12,999,820,912,971,963
140,0,-11,1009,805,857,986,976
150,0,-10,1006,803,894,976,976
160,0,-9,998,816,882,976,979
170,0,-9,987,835,887,976,991
180,0,-9,995,819,882,969,982
190,0,-9,1003,820,881,976,977
200,0,-8,1023,839,889,976,983
210,0,-7,1006,853,891,969,969
220,0,-6,996,848,882,976,1039
230,0,-5,990,832,906,973,981
240,0,-5,995,835,890,976,982
250,0,-5,1010,845,877,974,985
260,0,-5,1030,836,893,974,978
270,0,-5,1018,846,885,982,991
280,0,-5,1010,854,903,941,978
290,0,-5,1012,851,899,971,980
300,0,-5,1012,857,887,973,977
310,0,-5,1022,868,905,963,979
320,0,-4,1004,866,915,977,993
330,0,-3,997,847,910,970,981
340,0,-2,1021,867,899,983,979
350,0,-1,1013,869,902,981,979
360,0,0,1019,854,915,991,987
370,0,0,1042,864,907,990,982
380,0,0,1022,865,911,986,976
390,0,0,1008,854,923,1008,982
400,0,0,1001,862,896,993,978
410,0,0,1013,863,912,977,976
420,0,0,1019,870,901,990,978
430,0,0,1030,852,890,986,989
440,0,0,1017,841,896,944,982
450,0,0,1005,849,912,977,1008
460,0,0,1011,866,925,982,966
470,0,0,1040,848,899,978,976
480,0,0,1022,862,907,975,977
490,0,0,1003,852,898,982,977
500,0,0,1013,855,889,976,976
510,0,0,1006,848,906,976,979
520,0,0,1008,847,902,981,965
530,0,0,1008,842,911,976,979
540,0,1,966,818,903,972,975
550,0,2,1009,810,901,965,986
560,0,3,989,800,890,989,983
570,0,4,997,782,885,977,979
580,0,5,1001,765,885,970,980
590,0,6,1008,762,893,981,990
600,0,7,1008,755,890,975,983
610,0,8,1003,742,889,979,980
620,0,9,1001,736,891,982,979
630,0,9,996,735,886,976,979
640,0,9,1001,720,886,967,978
650,0,9,980,711,896,989,1002
660,0,9,1007,721,879,985,976
670,0,8,943,738,895,989,982
680,0,7,996,720,882,981,987
690,0,6,966,707,891,989,981
700,0,5,975,712,886,959,976
710,0,5,999,710,885,983,977
720,0,5,1035,698,881,969,979
730,0,4,991,737,872,1039,993
740,0,3,980,702,883,963,980
750,0,2,997,698,886,976,973
760,0,1,991,751,880,949,981
770,0,0,1001,705,896,985,987
780,0,0,999,695,914,987,978
790,0,0,991,679,880,987,978
800,0,0,992,711,885,982,976
810,0,0,992,688,877,1003,990
820,0,0,1003,694,880,982,990
830,0,0,992,709,896,976,983
840,0,0,990,702,873,973,979
850,0,0,983,708,886,977,979
860,0,0,1001,706,871,961,981
870,0,0,1002,709,874,978,976
880,0,0,1014,697,875,971,969
890,0,0,998,720,839,997,976
900,0,0,985,706,881,965,987
910,0,0,991,701,885,981,959
920,0,0,990,734,885,981,978
930,0,0,987,706,880,987,979
940,0,0,991,710,880,966,958
950,0,0,989,710,881,971,981
960,0,0,990,722,896,997,976
970,0,0,981,704,878,970,942
980,0,0,991,722,881,989,988
990,0,0,991,695,891,983,1001
