timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,981,759,849,971,976
10,1,-5,1007,754,846,960,982
20,1,-6,981,761,837,964,976
30,1,-6,1004,766,851,959,977
40,1,-7,992,767,843,971,980
50,1,-8,989,763,860,975,986
60,1,-9,974,756,849,963,976
70,1,-9,996,751,870,967,978
80,1,-9,983,771,860,986,1007
90,1,-9,971,760,875,974,980
100,1,-8,990,749,880,963,978
110,1,-7,980,735,894,974,974
120,1,-6,982,758,881,961,975
130,1,-5,967,769,886,973,974
140,1,-4,981,756,885,966,986
150,1,-3,982,765,881,959,977
160,1,-3,990,766,896,995,988
170,1,-3,989,768,899,976,990
180,1,-3,985,742,912,981,999
190,1,-3,985,772,919,979,978
200,1,-3,969,760,911,970,991
210,1,-3,973,738,923,982,995
220,1,-3,987,753,919,972,977
230,2,-3,980,751,915,975,977
240,3,-4,983,771,926,974,978
250,4,-5,989,759,934,976,976
260,5,-6,1017,784,924,963,989
270,5,-7,987,772,925,975,974
280,5,-8,981,780,940,977,967
290,5,-8,1006,765,937,981,983
300,5,-8,997,759,930,963,977
310,5,-8,991,751,944,979,976
320,5,-8,992,754,939,991,977
330,5,-8,991,789,944,979,983
340,5,-8,995,768,933,976,989
350,5,-9,977,796,928,986,978
360,5,-10,988,775,932,976,980
370,5,-12,1006,752,934,995,993
380,5,-13,983,779,943,983,976
390,4,-12,1003,767,942,977,999
400,3,-11,1004,784,943,980,976
410,2,-10,986,766,939,982,976
420,1,-8,997,786,936,979,982
430,0,-6,992,781,949,977,983
440,0,-5,1007,784,939,976,969
450,0,-4,1010,791,939,977,976
460,0,-3,991,788,944,994,979
470,0,-2,993,768,944,989,976
480,0,-1,997,783,945,987,982
490,0,-1,990,781,940,990,987
500,0,-1,994,798,937,977,971
510,0,-1,997,774,932,979,981
520,0,-1,1005,785,944,994,992
530,0,-1,997,775,969,994,978
540,0,-1,986,789,939,984,976
550,0,-1,993,794,944,997,972
560,0,0,993,782,933,989,979
570,0,1,979,796,944,980,979
580,0,2,981,798,922,969,985
590,0,5,1003,781,912,983,990
600,0,9,977,781,914,1006,991
610,0,12,974,781,899,974,988
620,0,14,986,776,907,976,983
630,0,14,1017,786,903,994,979
640,0,13,979,789,896,973,980
650,0,12,990,774,892,976,978
660,0,11,976,798,887,976,976
670,0,10,994,762,877,975,990
680,0,9,980,790,830,999,981
690,0,8,978,781,877,981,977
700,0,7,934,759,877,975,986
710,0,6,974,773,865,979,984
720,0,6,986,763,861,975,976
730,0,6,983,769,858,978,981
740,0,6,957,850,862,976,976
750,0,5,982,777,857,999,977
760,0,4,999,771,863,975,976
770,0,3,990,791,850,972,981
780,0,2,985,768,851,978,982
790,0,2,983,763,869,969,965
800,0,2,977,759,850,976,983
810,0,2,982,775,868,979,977
820,0,2,989,772,875,975,989
830,0,2,973,763,849,972,987
840,0,2,983,783,866,971,994
850,0,2,994,766,855,990,979
860,0,2,989,759,848,976,969
870,0,2,977,714,832,976,978
880,0,2,974,767,853,976,976
890,0,2,979,762,858,985,966
900,0,2,976,762,848,976,991
910,0,2,988,778,879,966,987
920,0,2,976,747,854,985,979
930,0,2,977,761,870,995,976
940,0,2,1001,763,879,977,990
950,0,2,982,759,857,977,977
960,0,2,986,754,861,979,981
970,0,2,976,716,869,973,976
980,0,2,976,739,862,977,978
990,0,2,973,758,863,976,977
