timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
1,0,-1,1005,802,869,967,990
11,1,-4,988,768,867,978,980
21,1,-5,990,753,875,995,989
31,1,-6,992,777,897,991,992
41,1,-7,1020,770,864,976,988
51,1,-7,990,758,865,969,981
61,1,-7,992,757,867,982,987
71,1,-7,987,782,883,976,989
81,1,-7,1022,770,880,967,993
91,1,-6,997,785,869,981,979
101,1,-5,1003,767,878,991,984
111,1,-4,993,766,896,971,1000
121,1,-3,997,765,894,990,982
131,1,-2,990,755,906,976,982
141,1,-2,978,784,882,939,978
151,1,-1,983,784,897,977,983
161,1,-1,989,779,911,987,976
171,1,-1,994,720,890,991,995
181,1,-1,990,768,905,978,983
191,1,-1,986,765,903,981,993
201,1,-1,983,781,901,975,979
211,1,-1,993,762,917,976,990
221,1,-1,986,769,911,987,976
231,1,-1,983,781,905,976,977
241,1,-1,983,784,912,1004,991
251,1,-1,986,725,921,1008,982
261,1,-1,995,769,944,977,986
271,1,-1,986,772,912,975,966
281,1,-2,995,775,929,977,979
291,1,-3,993,758,928,988,958
301,1,-4,986,795,936,979,981
311,1,-5,990,779,932,976,974
321,2,-6,990,779,934,981,976
331,3,-7,997,784,919,978,978
341,3,-5,991,782,937,976,976
351,2,-3,1008,797,935,979,991
361,1,-1,994,781,945,983,981
371,0,0,1003,784,960,988,977
381,0,0,1008,803,941,979,1002
391,0,0,1008,795,944,975,976
401,0,0,999,797,948,975,976
411,0,0,1003,796,929,969,976
421,0,0,1001,797,944,987,978
431,0,0,1003,816,929,1002,987
441,0,-1,1007,798,921,966,976
451,0,-1,1005,816,946,979,976
461,0,-1,999,807,949,976,1004
471,0,-1,1001,816,937,976,988
481,0,-1,1008,837,939,990,976
491,0,-1,995,800,938,987,983
501,0,0,999,795,959,983,977
511,0,0,988,788,902,987,976
521,0,1,1005,787,931,991,979
531,0,3,1002,787,926,1001,978
541,0,5,995,787,935,975,979
551,0,7,996,803,913,971,986
561,0,9,979,791,865,977,982
571,0,11,989,791,903,977,978
581,0,13,989,791,898,985,976
591,0,14,986,772,895,976,994
601,0,14,992,771,885,967,976
611,0,14,976,783,865,976,977
621,0,14,987,778,850,978,977
631,0,13,991,775,851,979,982
641,0,12,990,782,882,982,1002
651,0,11,979,773,863,974,985
661,0,10,983,771,848,976,973
671,0,9,991,774,855,975,977
681,0,8,979,774,865,974,985
691,0,7,999,770,846,980,976
701,0,6,995,765,848,989,982
711,0,6,990,774,867,990,976
721,0,5,999,762,854,994,989
731,0,4,1005,768,849,977,986
741,0,3,987,773,816,967,976
751,0,2,993,774,849,990,977
761,0,1,989,768,864,973,980
771,0,1,996,780,864,939,982
781,0,1,997,789,848,976,976
791,0,1,993,771,847,985,977
801,0,1,989,767,850,980,980
811,0,1,989,791,855,986,982
821,0,1,993,770,864,983,977
831,0,1,990,782,852,954,978
841,0,0,984,770,848,977,977
851,0,0,982,784,854,987,988
861,0,0,990,772,854,974,976
871,0,0,991,766,848,978,976
881,0,0,987,760,853,976,985
891,0,0,986,762,853,967,983
901,0,0,976,786,841,971,995
911,0,0,990,774,867,981,981
921,0,0,983,775,847,985,983
931,0,0,987,773,859,976,985
941,0,0,986,778,848,981,981
951,0,0,982,778,870,974,989
961,0,0,976,768,869,978,977
971,0,0,974,771,865,982,976
981,0,0,999,813,859,1003,968
991,0,0,976,771,851,979,975
