timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,979,719,834,951,976
10,0,-5,993,735,839,961,983
20,0,-7,976,737,861,961,981
30,0,-8,903,745,867,976,987
40,0,-9,985,731,878,961,975
50,0,-10,976,747,890,963,982
60,0,-10,979,737,880,951,976
70,0,-10,982,731,895,961,979
80,0,-10,985,729,915,959,976
90,0,-10,976,751,912,955,976
100,0,-10,995,752,907,951,978
110,1,-10,1006,737,902,957,966
120,2,-10,991,754,912,962,967
130,2,-9,983,736,917,963,971
140,2,-8,937,746,905,976,982
150,2,-7,997,723,915,943,986
160,2,-6,979,739,912,976,977
170,2,-5,990,746,915,966,976
180,2,-5,995,730,911,966,976
190,2,-5,987,735,896,961,976
200,2,-5,1003,735,949,976,977
210,2,-5,998,750,912,963,990
220,2,-6,997,782,922,975,987
230,2,-7,991,759,933,965,983
240,2,-8,1007,747,932,963,976
250,2,-9,1011,758,927,962,983
260,1,-9,1005,769,931,963,976
270,0,-8,1011,751,940,976,976
280,0,-8,1007,774,947,990,988
290,0,-8,1015,797,925,965,976
300,0,-7,1012,714,953,984,976
310,0,-6,1001,769,933,963,967
320,0,-5,1013,779,917,969,978
330,0,-4,1008,784,925,958,976
340,0,-3,1006,775,926,975,976
350,0,-2,1011,789,944,961,991
360,0,-1,1003,777,929,977,977
370,0,0,1009,796,944,964,981
380,0,0,1005,782,943,979,945
390,0,0,1008,773,941,971,981
400,0,0,1018,769,928,976,976
410,0,0,1010,821,913,964,973
420,0,0,1003,771,926,967,983
430,0,0,1041,784,941,958,981
440,0,0,993,789,923,955,977
450,0,0,1006,793,926,963,977
460,0,0,1022,785,915,944,985
470,0,0,997,767,921,959,976
480,0,1,1040,788,913,975,986
490,0,3,985,781,923,963,975
500,0,6,990,773,894,961,978
510,-1,9,977,776,922,973,976
520,-2,12,992,753,897,973,976
530,-2,14,989,750,875,981,976
540,-2,16,992,755,848,984,982
550,-2,17,986,740,819,948,971
560,-1,18,1008,733,800,960,971
570,0,19,986,720,802,976,982
580,0,19,976,709,782,961,981
590,0,19,982,703,769,988,979
600,0,19,982,711,782,961,981
610,0,18,998,692,781,946,981
620,0,17,983,672,755,953,975
630,0,16,989,720,758,951,976
640,0,15,988,701,769,957,981
650,0,14,988,702,753,967,976
660,0,13,989,700,763,949,982
670,0,12,996,701,738,957,981
680,0,11,990,687,768,957,978
690,0,10,989,688,768,960,977
700,0,9,980,702,772,965,983
710,0,7,983,687,770,949,981
720,0,6,980,702,752,947,977
730,0,5,981,713,770,960,995
740,0,4,969,706,783,967,983
750,0,3,976,713,758,948,977
760,0,2,985,689,782,965,976
770,0,1,999,697,756,956,976
780,0,0,980,703,770,957,976
790,0,0,999,691,767,957,982
800,0,1,1001,726,787,964,983
810,0,1,983,699,763,944,979
820,0,1,988,704,775,970,970
830,0,1,983,696,758,946,976
840,0,0,990,694,769,960,975
850,0,0,993,694,768,974,976
860,0,0,994,692,759,940,978
870,0,0,991,704,770,969,976
880,0,0,980,675,790,960,979
890,0,0,981,690,765,944,979
900,0,0,989,691,760,949,976
910,0,0,981,723,774,974,991
920,0,0,992,695,774,960,987
930,0,0,983,688,793,979,981
940,0,0,999,709,771,976,976
950,0,0,987,693,779,949,973
960,0,0,984,697,772,954,987
970,0,0,983,700,779,955,976
980,0,0,982,702,794,945,974
990,0,0,975,709,771,955,982
