timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,980,731,817,960,982
10,0,-5,987,745,820,922,987
20,0,-7,983,734,816,965,981
30,0,-8,979,739,827,967,975
40,0,-9,992,743,823,944,977
50,0,-9,982,737,818,958,976
60,0,-9,1001,747,819,973,976
70,0,-9,990,720,816,963,973
80,0,-9,982,731,836,963,976
90,0,-8,962,735,813,965,986
100,0,-7,990,739,831,967,985
110,0,-6,989,733,839,965,981
120,0,-5,993,718,847,963,977
130,0,-4,995,735,839,960,976
140,0,-3,986,736,848,966,979
150,0,-2,997,767,854,967,975
160,0,-1,994,729,848,960,977
170,0,-1,983,653,816,967,1001
180,0,-1,999,731,863,966,976
190,0,-1,982,730,900,964,982
200,0,-1,1002,736,885,932,980
210,0,-1,1007,738,886,965,977
220,0,-1,993,746,912,975,975
230,0,-1,1001,742,917,978,978
240,0,-1,987,741,912,969,987
250,0,-2,1007,767,914,976,992
260,0,-3,1004,752,905,976,981
270,0,-5,1010,745,917,961,978
280,0,-7,1007,750,923,970,1007
290,0,-9,989,766,935,975,977
300,0,-10,996,752,927,992,970
310,0,-11,1008,753,906,998,976
320,0,-11,999,752,938,976,975
330,0,-11,1008,749,912,1003,978
340,0,-10,1008,752,927,978,977
350,0,-9,1008,760,923,976,986
360,0,-9,1005,761,901,977,1003
370,0,-9,1008,767,926,970,983
380,0,-9,1008,842,922,962,981
390,0,-8,1020,753,918,976,1007
400,0,-7,1008,781,922,977,989
410,0,-6,1008,762,929,977,982
420,0,-5,1013,776,929,971,992
430,0,-4,1048,769,981,976,976
440,0,-3,1008,759,922,977,987
450,0,-3,1008,768,923,971,998
460,0,-3,1031,755,923,974,981
470,0,-3,1040,749,915,976,987
480,0,-3,1008,755,918,970,977
490,0,-3,1015,759,926,971,976
500,0,-3,1015,758,930,963,976
510,0,-2,1022,759,923,982,990
520,0,0,1031,757,887,987,978
530,0,2,993,757,914,991,987
540,0,4,1008,752,899,981,1035
550,0,6,1009,748,884,973,976
560,0,8,997,765,875,970,989
570,0,9,1001,756,861,996,978
580,0,10,999,752,863,973,981
590,0,11,982,741,833,971,979
600,0,13,989,759,826,971,983
610,0,14,986,752,814,973,982
620,0,15,992,718,810,983,1035
630,0,15,1003,725,815,978,980
640,0,15,982,727,818,967,979
650,0,14,989,762,818,965,972
660,0,13,995,737,799,979,978
670,0,12,1018,722,800,965,981
680,0,11,1001,729,800,964,980
690,0,10,994,726,796,964,976
700,0,9,960,704,750,965,981
710,0,9,991,752,807,961,1002
720,0,8,995,719,794,964,970
730,0,7,1011,715,793,974,987
740,0,6,972,707,785,959,979
750,1,7,976,735,791,962,1005
760,1,7,989,727,784,954,982
770,1,6,991,720,782,976,982
780,1,5,982,716,791,963,1033
790,1,4,989,738,784,987,976
800,1,3,976,702,791,958,987
810,0,3,994,720,789,957,977
820,0,3,1002,699,778,957,979
830,0,3,962,717,768,976,983
840,0,3,991,707,784,971,980
850,0,3,981,702,775,966,973
860,0,2,991,715,763,965,956
870,0,1,983,716,797,964,979
880,0,0,997,695,780,962,973
890,0,0,977,709,784,970,975
900,0,0,994,714,774,955,977
910,0,0,990,707,779,942,980
920,0,0,991,702,780,962,977
930,0,0,995,702,775,960,973
940,0,0,987,733,765,959,959
950,0,0,984,708,784,961,976
960,0,0,972,714,783,977,977
970,0,0,993,691,796,978,981
980,0,0,983,706,783,967,976
990,0,0,1013,730,784,969,961
