timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,970,743,848,960,976
10,-2,-3,971,734,865,959,979
20,-3,-9,974,743,871,958,982
30,-3,-14,983,729,874,978,978
40,-3,-17,982,752,880,944,980
50,-3,-19,967,741,899,970,979
60,-2,-20,998,746,901,963,977
70,-1,-20,982,749,914,937,976
80,0,-21,994,751,925,962,975
90,0,-21,994,752,897,971,981
100,0,-21,986,745,923,955,976
110,0,-21,995,752,926,971,981
120,0,-21,1010,752,924,966,983
130,0,-20,1008,755,911,977,981
140,0,-17,978,762,920,970,979
150,0,-15,1007,754,0,976,974
160,0,-13,1023,769,918,956,976
170,0,-11,1009,770,922,958,989
180,0,-9,1006,768,929,971,976
190,0,-8,998,754,931,973,983
200,0,-7,1008,771,939,970,976
210,0,-6,1017,781,931,949,976
220,0,-5,1004,770,922,982,990
230,0,-4,1006,773,928,1019,977
240,0,-3,1004,770,923,965,991
250,0,-2,1012,786,915,963,981
260,0,-2,1022,773,929,966,974
270,0,-2,1009,771,915,967,977
280,0,-2,1003,769,929,976,979
290,0,-2,1008,799,918,971,975
300,0,-1,1005,764,891,967,976
310,0,0,1005,805,907,994,988
320,0,1,1014,771,889,970,976
330,0,2,991,779,881,961,972
340,0,3,992,783,865,951,987
350,0,4,987,750,832,975,974
360,0,6,979,752,830,951,979
370,0,7,998,741,816,972,982
380,0,8,974,743,798,973,962
390,0,9,976,740,786,945,981
400,0,10,976,729,814,956,981
410,0,11,976,726,811,967,973
420,0,11,979,727,816,965,975
430,0,11,965,722,806,955,989
440,0,11,979,741,813,966,980
450,0,11,963,721,800,976,976
460,0,11,967,721,819,945,963
470,0,11,971,723,806,951,970
480,0,10,976,739,817,958,973
490,0,9,986,689,810,978,978
500,0,8,970,720,813,960,982
510,0,7,977,720,834,959,959
520,0,6,969,719,814,965,973
530,0,5,977,725,813,978,989
540,0,4,971,713,820,962,983
550,0,3,973,730,816,960,999
560,0,2,967,742,810,963,976
570,0,1,976,729,816,954,954
580,0,1,978,726,805,960,972
590,0,4,976,717,825,963,971
600,1,7,967,716,811,940,976
610,1,7,963,720,819,962,978
620,0,7,970,755,825,945,983
630,0,6,975,737,807,964,976
640,0,5,978,738,807,955,967
650,0,4,971,717,812,960,977
660,0,3,974,708,818,971,977
670,0,2,976,752,795,967,976
680,0,1,982,731,826,955,993
690,0,0,969,746,816,950,976
700,0,0,963,719,849,963,976
710,0,0,967,719,818,960,979
720,0,0,976,720,837,947,985
730,0,0,974,750,848,960,974
740,0,0,976,720,820,959,976
750,0,0,980,720,820,945,980
760,0,0,974,741,809,954,976
770,0,0,964,744,843,956,974
780,0,0,981,727,816,960,996
790,0,0,967,725,827,953,975
800,0,0,963,735,822,973,994
810,0,0,978,704,822,956,975
820,0,0,975,710,828,955,976
830,0,0,975,714,814,933,976
840,0,0,969,731,832,963,976
850,0,0,976,719,827,965,974
860,0,0,985,709,811,969,953
870,0,0,976,729,823,970,971
880,0,0,981,706,816,958,976
890,0,0,977,756,818,945,982
900,0,0,973,746,814,959,981
910,0,0,985,718,837,948,976
920,0,0,983,721,829,958,976
930,0,0,982,715,831,979,974
940,0,0,969,688,816,950,980
950,0,0,970,720,817,956,973
960,0,0,971,725,833,965,976
970,0,0,976,720,815,993,976
980,0,0,962,746,816,966,976
990,0,0,964,738,816,961,987
