timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-3,-7,987,770,867,972,978
10,0,-14,985,763,867,990,978
20,2,-17,976,768,872,967,977
30,3,-17,983,755,832,962,976
40,4,-17,976,768,862,973,979
50,5,-17,993,752,871,986,979
60,6,-17,976,775,862,955,973
70,7,-17,987,765,866,982,986
80,9,-17,982,766,865,967,977
90,11,-16,977,767,882,981,988
100,13,-16,991,784,901,976,984
110,15,-16,980,779,899,988,982
120,17,-16,983,814,923,971,986
130,19,-17,999,769,923,966,978
140,21,-18,1008,770,919,984,979
150,23,-20,992,772,910,970,986
160,25,-23,997,792,923,987,963
170,27,-25,985,751,919,931,979
180,27,-23,1007,773,754,967,987
190,25,-20,994,784,922,978,978
200,23,-17,1008,750,924,974,988
210,22,-14,1009,776,944,979,977
220,21,-11,1008,791,926,976,983
230,20,-9,1002,784,912,985,979
240,19,-8,998,784,759,983,1002
250,18,-7,993,801,916,970,978
260,17,-6,1006,784,916,982,978
270,16,-5,998,801,899,966,992
280,15,-3,1005,781,913,989,989
290,14,-1,997,771,938,966,987
300,12,1,998,782,922,965,993
310,9,4,997,785,931,976,976
320,6,8,999,789,955,989,980
330,4,12,995,786,915,957,978
340,2,15,997,790,914,973,970
350,1,17,987,781,880,965,986
360,0,18,1006,784,869,975,976
370,0,19,999,787,867,975,977
380,0,19,989,786,846,956,981
390,0,18,995,770,848,976,978
400,0,16,985,765,821,973,977
410,0,14,992,761,832,966,976
420,0,12,1012,755,822,966,986
430,0,10,980,743,816,981,982
440,0,8,983,757,814,976,976
450,0,6,975,766,817,973,979
460,0,5,981,743,830,992,980
470,0,4,1008,765,826,966,988
480,-1,3,983,749,820,961,954
490,-2,2,958,761,813,973,958
500,-3,2,992,769,824,977,976
510,-4,2,993,755,847,978,1001
520,-5,2,983,769,822,975,976
530,-6,2,1006,753,822,979,983
540,-7,2,986,750,827,960,977
550,-8,2,986,759,819,976,983
560,-9,2,1008,778,816,972,977
570,-10,2,993,757,821,962,983
580,-10,2,993,749,833,971,976
590,-10,2,995,755,833,928,976
600,-10,2,995,755,827,964,980
610,-10,2,982,762,829,965,983
620,-10,2,986,752,839,947,976
630,-10,2,989,752,841,966,977
640,-10,2,1002,774,845,987,977
650,-10,2,989,761,831,966,999
660,-10,2,970,755,847,961,994
670,-9,2,1013,748,836,961,976
680,-9,2,1005,751,821,955,983
690,-9,2,986,761,839,969,981
700,-8,7,994,749,833,960,976
710,-7,5,981,757,845,957,982
720,-7,4,1003,772,827,989,981
730,-6,3,983,750,834,976,983
740,-6,2,995,773,850,960,995
750,-5,1,994,754,831,962,970
760,-4,0,981,761,850,987,976
770,-3,0,977,759,834,985,981
780,-3,0,991,752,825,967,981
790,-3,0,978,747,822,976,977
800,-3,0,982,765,832,970,976
810,-3,0,976,752,821,955,975
820,-3,0,982,751,849,909,983
830,-3,0,919,751,863,976,1008
840,-2,0,990,754,845,974,978
850,-2,0,983,741,848,925,981
860,-1,0,993,758,837,972,977
870,-1,0,994,755,838,971,980
880,0,1,983,752,835,971,973
890,0,1,978,753,843,967,980
900,0,1,1010,755,817,966,986
910,0,2,1005,759,828,974,990
920,0,3,991,762,843,969,976
930,0,3,978,752,834,966,976
940,-1,4,990,759,848,973,989
950,-2,4,981,737,812,963,976
960,-3,4,983,744,848,959,987
970,-3,4,990,752,823,958,975
980,-3,4,995,751,848,966,931
990,-3,4,983,752,817,946,976
