timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1019,726,853,965,979
10,0,-2,990,736,835,971,978
20,0,-3,1001,739,842,988,976
30,0,-4,992,723,858,971,977
40,0,-5,985,752,841,973,978
50,0,-6,991,730,848,977,979
60,0,-6,997,743,855,975,971
70,0,-6,991,743,855,969,980
80,0,-6,991,725,850,986,988
90,0,-6,987,749,880,973,977
100,0,-6,985,720,871,933,976
110,0,-6,979,745,886,986,979
120,1,-6,980,727,909,987,987
130,2,-6,981,734,882,981,976
140,2,-6,992,743,905,974,979
150,2,-6,993,752,914,965,976
160,2,-6,990,713,922,977,977
170,2,-6,992,743,911,975,977
180,2,-6,980,750,915,976,987
190,2,-6,993,747,945,979,992
200,2,-6,1004,758,933,976,990
210,2,-7,992,745,927,976,967
220,2,-8,991,759,933,979,982
230,2,-9,993,757,910,969,978
240,2,-10,992,755,927,966,977
250,2,-12,1001,752,938,978,976
260,2,-13,983,767,935,976,969
270,2,-13,986,749,927,969,979
280,1,-12,998,765,944,991,985
290,0,-11,1001,768,933,993,990
300,0,-10,1007,763,936,983,976
310,0,-8,1005,766,941,998,970
320,0,-7,999,761,929,977,979
330,0,-6,1003,754,929,993,978
340,0,-5,992,791,931,985,1001
350,0,-4,1007,762,932,982,977
360,0,-3,993,754,919,971,979
370,0,-2,1001,772,931,982,1005
380,0,-1,1005,784,940,976,989
390,0,0,1019,763,921,974,958
400,0,0,1000,749,931,978,987
410,0,0,998,761,935,990,977
420,0,0,1013,780,923,963,988
430,0,0,1015,761,937,983,977
440,0,0,1013,754,958,976,976
450,0,0,1018,762,938,979,979
460,0,0,1003,754,943,991,981
470,0,0,998,761,922,977,976
480,0,1,1008,752,929,976,976
490,0,3,988,750,906,989,986
500,0,5,995,752,897,1002,986
510,0,7,991,752,887,976,982
520,0,9,987,743,885,976,977
530,0,10,999,743,867,972,1006
540,0,12,999,734,846,976,985
550,0,14,977,735,848,980,985
560,0,16,992,727,848,992,979
570,0,17,989,733,845,970,983
580,0,18,990,734,880,980,986
590,0,19,990,727,816,972,982
600,0,19,990,729,822,970,975
610,0,19,960,733,813,954,980
620,0,18,989,725,817,965,976
630,0,17,976,720,826,944,1005
640,0,16,988,743,816,962,976
650,0,15,981,723,799,960,962
660,0,15,995,729,809,963,940
670,0,15,983,722,810,965,974
680,0,14,981,699,784,973,989
690,0,13,993,720,799,973,977
700,0,11,998,722,823,958,977
710,0,9,976,721,818,961,990
720,0,7,992,720,804,972,986
730,0,6,976,716,811,961,976
740,0,5,982,723,816,981,979
750,0,4,982,723,825,971,977
760,0,3,989,733,818,965,1008
770,0,2,986,732,810,969,976
780,0,1,996,711,831,960,976
790,0,0,992,717,806,977,1003
800,0,0,991,737,816,959,976
810,0,0,992,721,827,962,985
820,0,0,990,713,821,961,976
830,0,0,987,732,822,974,978
840,0,0,979,716,826,967,986
850,0,0,982,718,819,981,976
860,0,0,975,723,821,960,976
870,0,0,987,716,803,923,976
880,0,0,990,731,829,966,976
890,0,0,997,708,823,967,986
900,0,0,982,730,815,966,978
910,0,0,991,720,817,969,979
920,0,0,999,720,810,967,976
930,0,0,998,720,820,978,977
940,0,0,993,730,825,960,981
950,0,0,999,720,786,978,978
960,0,0,980,714,822,962,977
970,0,0,999,721,834,971,979
980,0,0,991,718,823,963,984
990,0,0,979,717,832,976,977
