timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,976,707,835,963,976
10,0,-5,983,720,875,976,999
20,0,-8,980,719,834,970,986
30,0,-10,983,714,845,976,985
40,0,-11,976,720,849,954,980
50,0,-12,974,717,846,961,976
60,0,-12,978,711,856,982,977
70,0,-12,976,697,840,1033,988
80,0,-12,976,720,851,976,987
90,0,-12,975,704,848,958,983
100,0,-12,973,682,878,958,986
110,0,-11,978,720,855,976,983
120,0,-10,976,726,859,962,981
130,0,-9,976,713,863,971,978
140,0,-8,999,713,878,966,979
150,0,-7,982,721,861,977,976
160,0,-7,988,717,880,976,976
170,0,-7,919,715,873,971,978
180,0,-7,961,712,896,973,976
190,0,-7,961,720,864,965,977
200,0,-8,973,732,895,975,976
210,0,-9,976,719,894,960,977
220,0,-10,977,720,898,963,986
230,0,-11,976,711,896,977,981
240,0,-11,966,720,916,981,981
250,0,-11,966,731,913,976,988
260,0,-11,976,713,898,986,977
270,0,-11,949,734,913,976,979
280,0,-11,975,718,928,984,978
290,0,-11,957,734,918,983,976
300,0,-11,976,732,930,965,980
310,0,-11,960,731,944,974,985
320,0,-11,960,720,934,989,976
330,1,-11,973,723,930,976,976
340,2,-11,960,728,943,977,977
350,3,-11,971,722,944,987,988
360,4,-11,967,711,934,965,977
370,5,-11,977,735,931,989,978
380,6,-11,951,742,941,942,978
390,6,-10,966,750,937,992,991
400,5,-8,989,749,954,986,978
410,4,-6,966,741,917,986,976
420,3,-4,987,735,938,989,978
430,2,-2,992,752,937,982,978
440,1,-1,974,720,938,976,983
450,0,0,966,750,928,995,983
460,0,0,976,710,935,976,995
470,0,0,971,767,948,996,979
480,0,0,974,723,955,993,987
490,0,0,977,735,949,989,979
500,0,0,971,737,928,989,980
510,0,0,957,734,930,985,975
520,-1,0,982,741,933,994,1003
530,-2,0,976,726,943,985,977
540,-3,0,976,738,925,983,974
550,-4,0,962,739,944,976,986
560,-5,1,960,738,925,986,967
570,-6,3,960,717,917,978,978
580,-6,5,958,720,925,977,976
590,-6,6,919,723,912,974,970
600,-5,7,976,727,892,979,977
610,-4,8,960,723,880,976,978
620,-3,9,959,709,873,970,962
630,-2,10,973,739,848,967,994
640,-2,11,966,725,827,973,979
650,-2,12,963,723,848,976,969
660,-2,12,963,720,827,974,983
670,-1,12,959,711,804,966,967
680,0,12,959,729,816,977,977
690,0,13,944,718,816,967,977
700,0,14,969,705,815,965,990
710,0,14,971,714,816,960,977
720,0,14,967,720,847,953,976
730,0,14,961,728,819,974,986
740,0,13,969,727,826,967,978
750,0,12,969,711,842,965,977
760,0,11,982,709,823,946,1002
770,0,10,978,715,829,957,978
780,0,9,971,710,853,959,983
790,0,8,976,713,818,969,981
800,0,7,975,714,838,967,980
810,0,6,958,717,821,925,977
820,0,5,949,717,834,965,976
830,0,4,969,714,833,971,976
840,0,3,960,713,816,982,983
850,0,2,975,715,823,974,978
860,0,1,974,706,832,944,982
870,0,0,971,710,825,970,982
880,0,0,977,730,806,966,989
890,0,0,975,707,821,962,976
900,0,0,981,719,825,965,980
910,0,0,970,705,820,967,977
920,0,0,966,713,819,977,971
930,0,0,973,705,816,979,972
940,0,0,977,706,818,974,991
950,0,0,969,720,829,963,976
960,0,1,957,725,829,970,976
970,0,1,976,641,826,976,985
980,0,1,976,711,834,976,976
990,0,2,992,709,832,971,965
