timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,975,724,831,970,976
10,0,-7,978,737,844,976,972
20,0,-11,979,733,823,963,981
30,0,-14,988,734,819,967,973
40,0,-16,975,752,835,983,983
50,0,-18,974,734,815,974,976
60,0,-18,973,734,843,976,975
70,0,-17,976,738,835,986,978
80,0,-16,979,745,847,963,975
90,0,-15,997,732,903,967,981
100,0,-14,979,734,846,961,976
110,0,-13,997,729,843,966,982
120,0,-12,976,737,866,987,978
130,0,-11,985,741,858,976,979
140,0,-10,978,736,869,977,991
150,0,-9,978,745,872,974,981
160,0,-8,979,742,880,969,976
170,0,-7,949,739,867,979,988
180,0,-7,976,736,875,982,981
190,0,-7,987,752,862,972,976
200,0,-7,994,740,885,976,973
210,0,-7,976,755,883,976,976
220,0,-7,980,747,877,965,978
230,0,-7,983,743,896,971,976
240,0,-7,1015,746,910,970,982
250,0,-7,982,733,943,973,998
260,0,-8,995,739,903,982,985
270,0,-9,969,753,912,976,976
280,0,-10,989,728,928,973,978
290,0,-11,997,747,929,987,977
300,0,-12,996,733,912,981,987
310,0,-13,990,756,928,977,977
320,0,-13,1011,759,935,979,981
330,0,-13,994,804,923,993,958
340,0,-12,1003,747,928,977,974
350,0,-10,998,784,927,977,975
360,0,-9,1007,767,929,988,976
370,0,-7,1006,765,918,975,981
380,0,-5,1037,775,943,959,986
390,0,-3,1001,763,924,980,977
400,0,-1,1007,767,934,983,981
410,0,0,1012,779,939,1001,967
420,0,0,1005,769,923,966,979
430,0,0,1007,784,913,978,982
440,0,0,1002,767,929,1002,978
450,0,0,1014,791,919,976,986
460,0,0,1008,783,912,972,985
470,0,0,1015,769,944,976,985
480,0,0,993,766,919,984,977
490,0,0,1001,774,931,976,987
500,0,1,992,763,918,975,976
510,0,3,1027,797,929,980,978
520,0,6,981,758,907,977,982
530,0,9,993,753,890,974,976
540,0,12,994,741,858,919,1001
550,0,15,995,726,836,974,981
560,0,17,990,726,802,983,976
570,0,19,978,720,826,963,994
580,0,20,994,735,805,970,979
590,0,21,971,726,810,944,979
600,0,21,976,694,795,975,979
610,0,20,987,701,795,952,976
620,0,19,988,725,784,978,982
630,0,18,977,715,784,955,976
640,0,16,982,710,787,958,976
650,0,14,994,730,775,947,979
660,0,13,978,700,786,960,973
670,0,12,997,681,805,960,976
680,0,11,978,682,770,956,981
690,0,10,983,695,784,960,981
700,0,9,990,711,792,957,982
710,0,9,988,679,801,947,976
720,0,8,985,689,759,959,976
730,0,7,1005,685,783,955,978
740,0,6,983,703,791,963,983
750,0,5,982,689,783,946,986
760,0,4,970,694,799,959,982
770,0,3,980,689,784,974,971
780,0,3,974,622,818,961,960
790,0,3,983,701,775,964,974
800,0,3,978,702,787,954,989
810,0,3,994,695,784,939,973
820,0,3,977,680,796,957,979
830,0,3,974,719,791,944,997
840,0,2,982,690,784,952,975
850,0,2,982,699,787,955,977
860,0,2,979,686,859,942,979
870,0,2,975,685,793,953,986
880,0,1,992,670,774,962,975
890,0,1,982,681,801,958,983
900,0,1,966,679,784,974,979
910,0,1,983,664,801,970,979
920,0,1,989,679,813,959,977
930,0,1,976,688,791,960,971
940,0,1,976,715,789,961,977
950,0,1,970,701,810,957,976
960,0,1,1010,688,806,948,976
970,0,1,988,688,776,960,962
980,0,1,919,682,785,957,976
990,0,1,979,689,795,965,981
