timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,971,704,816,978,983
10,-1,-2,983,723,807,969,976
20,-1,-7,983,705,811,960,976
30,0,-11,981,708,810,965,986
40,0,-14,987,691,827,958,1008
50,0,-16,975,701,832,961,981
60,0,-17,979,710,823,963,973
70,0,-17,980,720,848,969,976
80,0,-17,1003,714,861,951,978
90,0,-16,979,715,860,955,995
100,0,-15,978,720,878,958,985
110,0,-14,986,731,878,967,976
120,0,-13,985,733,886,960,976
130,0,-13,979,726,896,967,976
140,1,-14,996,736,924,957,985
150,2,-15,982,743,906,944,976
160,3,-17,1069,731,922,961,969
170,4,-19,999,740,939,959,976
180,5,-21,995,741,912,967,976
190,5,-22,983,743,944,979,946
200,5,-22,998,764,913,980,977
210,4,-22,1003,768,931,977,981
220,3,-22,1005,759,921,968,985
230,2,-22,1005,758,928,976,975
240,1,-21,963,749,938,973,972
250,0,-19,999,753,928,964,977
260,-1,-17,1005,752,917,970,976
270,-2,-15,1003,793,896,994,986
280,-2,-12,1014,762,928,983,977
290,-2,-9,1006,755,915,973,978
300,-2,-7,1012,767,761,967,979
310,-1,-6,1011,781,934,960,977
320,0,-5,997,778,887,972,959
330,0,-4,1008,777,939,967,991
340,0,-3,1013,770,927,975,976
350,0,-2,1019,759,923,951,981
360,0,-1,1005,781,928,977,978
370,0,0,1008,765,943,976,985
380,0,0,1030,777,928,967,957
390,0,0,1021,765,925,969,991
400,1,0,1005,751,906,996,996
410,1,0,1009,768,925,977,993
420,1,1,999,785,930,961,978
430,1,2,1005,765,918,950,966
440,0,4,991,767,926,969,979
450,-1,7,983,784,899,976,986
460,-2,10,988,765,897,964,985
470,-2,12,985,773,884,970,976
480,-2,15,1007,784,862,972,976
490,-2,17,979,752,842,960,977
500,-2,19,991,740,835,970,975
510,-2,21,982,734,827,968,976
520,-2,22,976,742,817,952,976
530,-1,22,969,733,816,950,975
540,0,21,977,745,832,974,978
550,0,20,974,754,817,976,977
560,0,19,963,729,810,961,981
570,0,18,965,725,833,969,976
580,0,17,954,709,814,974,982
590,0,15,1040,681,836,962,976
600,0,13,977,714,832,959,976
610,0,16,972,717,821,965,977
620,1,18,972,709,813,966,985
630,1,17,966,723,815,970,984
640,0,16,963,724,816,966,977
650,0,14,978,709,816,959,986
660,0,12,1006,710,811,970,976
670,0,10,972,742,827,950,976
680,0,9,966,712,806,962,977
690,0,8,982,717,818,964,979
700,0,8,965,720,816,957,976
710,0,9,984,720,820,962,985
720,0,11,976,720,819,955,976
730,0,13,983,726,818,976,976
740,0,14,976,716,816,960,973
750,0,13,962,715,827,970,976
760,0,12,976,726,822,958,981
770,0,11,977,705,784,923,999
780,0,11,977,704,817,973,976
790,0,11,976,710,834,960,978
800,0,11,976,701,817,954,977
810,0,11,975,710,817,968,991
820,0,11,956,722,812,973,976
830,0,11,974,743,816,923,989
840,0,11,923,720,813,959,976
850,0,10,989,705,829,981,981
860,0,9,957,711,817,966,978
870,0,8,967,719,887,971,960
880,0,7,978,710,848,956,974
890,0,6,977,703,829,960,974
900,0,5,978,703,827,954,975
910,0,4,976,707,827,967,976
920,0,3,988,722,816,955,976
930,0,2,992,715,830,983,976
940,0,0,974,704,825,965,976
950,0,-1,1021,699,820,959,981
960,0,-2,976,721,816,955,976
970,0,-4,965,706,830,958,977
980,0,-6,982,710,833,970,981
990,0,-8,959,688,819,923,977
