timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-12,-3,991,875,912,982,976
10,-13,-6,1009,823,890,1008,965
20,-12,-7,993,784,885,979,984
30,-11,-8,992,787,870,990,978
40,-10,-9,1005,769,876,996,1007
50,-9,-10,986,805,897,971,976
60,-8,-10,976,816,878,998,980
70,-7,-10,1001,816,880,979,981
80,-6,-10,996,782,886,979,979
90,-4,-10,1002,773,875,977,976
100,-2,-10,991,785,910,979,977
110,-1,-10,979,791,894,969,986
120,0,-10,994,768,887,981,979
130,1,-10,987,800,897,993,986
140,1,-10,985,765,897,988,970
150,2,-10,985,787,905,974,980
160,3,-9,1061,784,907,985,976
170,3,-8,990,778,901,980,972
180,3,-8,1008,790,927,978,987
190,3,-8,975,784,924,986,976
200,3,-8,986,800,917,976,995
210,3,-8,988,795,922,993,975
220,3,-8,1007,775,925,976,977
230,3,-8,1004,784,923,976,983
240,3,-6,1001,784,922,976,991
250,2,-4,1003,785,919,983,976
260,1,-3,1000,807,927,972,981
270,0,-2,1010,783,944,981,988
280,0,-1,1013,784,913,962,975
290,0,0,1004,791,930,976,982
300,0,0,990,796,938,987,973
310,0,0,1011,795,942,977,976
320,0,0,1013,799,944,987,973
330,0,0,1004,798,940,976,985
340,0,0,1017,790,944,986,975
350,0,0,1008,798,920,974,976
360,0,0,1011,775,944,975,991
370,0,0,1007,798,933,976,981
380,0,1,1015,818,918,958,997
390,0,2,993,805,929,965,981
400,0,4,995,785,929,964,976
410,0,8,1006,813,913,979,986
420,0,13,1001,816,912,976,979
430,0,18,1005,814,912,985,982
440,0,23,998,802,895,943,978
450,0,27,999,790,877,969,982
460,0,31,992,800,868,985,954
470,0,34,998,774,869,976,981
480,0,37,984,783,850,973,983
490,0,39,992,799,823,974,981
500,0,40,989,783,843,976,977
510,0,40,1005,795,819,992,997
520,0,40,990,765,800,976,976
530,0,40,963,773,816,964,974
540,0,40,979,762,784,976,975
550,0,39,994,763,800,969,978
560,0,37,974,754,815,973,979
570,0,35,982,757,805,971,970
580,0,32,982,766,817,965,970
590,0,29,987,792,803,963,982
600,0,26,984,770,831,972,992
610,0,23,1008,751,821,971,980
620,0,20,997,768,821,981,981
630,0,17,986,752,815,976,976
640,0,14,995,786,815,976,979
650,0,12,982,739,810,988,991
660,0,10,999,760,814,970,977
670,0,8,986,721,803,970,976
680,0,6,989,773,811,966,975
690,0,4,995,771,816,960,982
700,0,2,981,768,823,982,976
710,0,0,976,765,819,970,978
720,0,0,985,775,771,979,975
730,0,0,992,764,819,964,976
740,0,0,996,753,816,972,992
750,0,0,997,756,816,960,986
760,0,0,982,768,834,962,978
770,0,0,992,773,825,976,978
780,0,0,987,750,850,960,976
790,0,0,983,756,823,962,976
800,0,0,980,719,819,969,1005
810,0,0,983,846,836,976,975
820,0,0,977,769,825,963,983
830,0,0,989,763,836,960,976
840,0,0,976,762,823,976,983
850,0,0,1014,767,829,965,972
860,0,0,976,759,838,979,954
870,0,0,1005,766,833,976,985
880,0,0,986,778,848,970,960
890,0,0,981,773,848,971,979
900,0,0,989,769,837,960,987
910,0,0,997,780,832,949,977
920,0,0,978,770,827,960,975
930,0,0,984,794,821,983,986
940,0,0,983,772,829,971,978
950,0,0,995,768,833,962,979
960,0,0,983,784,824,976,975
970,0,0,988,769,844,977,976
980,0,0,981,783,835,962,954
990,0,0,976,752,830,949,1021
