timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,988,737,844,987,986
10,-1,-2,951,746,835,963,978
20,0,-3,991,729,844,992,976
30,0,-4,990,730,837,966,978
40,0,-5,998,741,844,953,983
50,0,-6,995,746,860,965,979
60,0,-6,1008,736,847,974,977
70,0,-6,972,756,870,965,976
80,0,-6,991,747,842,962,975
90,0,-6,969,739,881,975,995
100,0,-6,1008,752,875,970,978
110,0,-6,980,766,879,970,982
120,0,-6,983,739,883,977,983
130,1,-6,993,831,895,957,975
140,2,-6,992,747,887,974,976
150,2,-6,962,747,938,978,983
160,2,-6,992,752,917,970,978
170,2,-6,994,737,926,980,976
180,2,-6,1001,752,928,989,982
190,2,-6,991,739,917,972,971
200,2,-6,1008,738,930,1040,981
210,2,-6,1001,752,923,976,976
220,2,-7,1014,765,937,973,978
230,2,-8,1005,768,926,969,977
240,2,-9,1008,739,927,978,976
250,2,-10,1004,750,938,962,976
260,2,-12,992,752,926,977,976
270,2,-14,1008,739,930,985,975
280,2,-14,959,757,923,965,997
290,1,-13,1015,752,923,978,983
300,0,-12,1040,758,938,978,975
310,0,-11,1003,795,953,972,979
320,0,-9,1021,752,926,980,978
330,0,-7,994,758,944,975,990
340,0,-6,1006,755,935,966,983
350,0,-5,1009,752,930,978,991
360,0,-4,1089,768,924,974,982
370,0,-3,1012,764,937,961,983
380,0,-2,1005,749,933,986,971
390,0,-2,1002,768,942,976,995
400,0,-2,999,770,941,979,973
410,0,-2,1009,749,927,978,982
420,0,-1,1015,757,929,982,982
430,0,0,1004,759,944,976,976
440,0,0,976,766,934,941,944
450,0,0,1003,782,926,976,977
460,0,1,995,754,926,976,975
470,0,3,1008,799,914,976,976
480,0,5,1021,762,905,974,985
490,0,7,1023,747,915,978,996
500,0,9,1015,753,910,978,976
510,0,11,1004,755,913,977,976
520,0,12,1004,800,889,954,959
530,0,12,1000,755,881,978,974
540,0,12,1001,758,875,962,982
550,0,12,986,746,874,991,976
560,0,12,1009,750,864,976,976
570,0,12,1006,691,847,976,986
580,0,11,1000,762,848,987,976
590,0,10,989,752,846,971,976
600,0,9,995,752,863,967,970
610,0,8,991,752,842,982,976
620,0,7,957,747,853,969,983
630,0,6,995,752,843,1005,985
640,0,5,994,763,848,979,981
650,0,4,999,749,832,1001,986
660,0,3,995,751,835,975,977
670,0,2,991,740,846,971,980
680,0,1,989,763,845,985,983
690,0,1,1008,749,836,967,976
700,0,1,988,779,832,978,973
710,0,0,995,743,849,974,980
720,0,0,997,739,848,973,977
730,0,0,990,779,844,995,976
740,0,0,992,759,833,976,990
750,0,0,995,749,848,976,979
760,0,0,1008,754,849,986,977
770,0,0,999,752,867,973,976
780,0,0,1013,751,848,980,993
790,0,0,992,742,865,960,981
800,0,0,987,752,837,973,982
810,0,0,989,737,859,962,962
820,0,0,996,739,842,976,976
830,0,0,991,720,848,970,976
840,0,0,998,784,848,970,989
850,0,0,979,782,839,972,975
860,0,0,997,759,864,963,974
870,0,0,993,751,844,972,976
880,0,0,974,751,851,963,977
890,0,0,977,766,859,973,979
900,0,0,1000,753,845,966,975
910,0,0,998,753,844,961,982
920,0,0,994,752,859,1040,1017
930,0,0,1002,746,842,977,981
940,0,0,1008,750,842,977,976
950,0,0,1011,741,850,965,978
960,0,0,1000,755,845,973,976
970,0,0,987,746,869,944,981
980,0,0,991,752,847,977,979
990,0,1,987,726,849,966,978
