timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,993,768,861,973,1001
10,-1,-4,989,763,877,965,979
20,0,-5,989,777,889,976,986
30,0,-5,979,767,881,963,987
40,0,-5,989,764,894,968,976
50,0,-5,983,766,912,975,976
60,0,-6,999,814,912,969,978
70,0,-7,988,769,914,970,976
80,0,-8,1010,763,914,978,983
90,0,-9,992,751,949,999,978
100,-1,-10,1010,774,910,955,976
110,-1,-10,1022,803,913,944,978
120,0,-10,991,782,924,973,980
130,0,-9,997,781,927,967,979
140,0,-7,1001,758,907,976,981
150,0,-5,1005,784,925,987,973
160,0,-3,1008,796,962,994,983
170,0,-1,1005,761,930,976,990
180,0,0,994,775,922,990,987
190,0,1,1035,768,925,979,979
200,0,1,1014,768,918,976,977
210,0,1,1002,785,907,966,976
220,0,0,1011,743,934,967,1002
230,0,0,1008,764,942,976,985
240,0,0,1005,786,934,961,979
250,0,0,996,747,929,963,987
260,0,0,988,791,917,971,986
270,0,0,1010,776,914,980,980
280,0,0,995,770,923,969,976
290,0,1,1008,779,930,970,975
300,0,2,1005,766,910,947,990
310,0,3,1001,782,900,969,971
320,0,4,976,787,891,971,974
330,0,5,994,769,866,963,978
340,0,5,951,779,855,966,977
350,0,5,981,781,832,975,949
360,0,5,982,759,821,974,974
370,0,5,1005,752,808,965,980
380,0,4,981,752,826,945,999
390,0,3,994,768,816,965,980
400,0,2,998,752,806,966,975
410,0,1,991,771,797,976,982
420,0,0,982,749,793,960,979
430,0,0,980,787,787,989,976
440,0,0,1007,751,793,960,977
450,0,0,991,757,797,954,979
460,0,0,1005,739,799,958,979
470,0,0,995,753,814,951,986
480,2,1,988,742,810,973,962
490,1,0,983,754,800,915,982
500,1,0,992,743,802,961,971
510,1,0,976,737,796,958,976
520,1,0,993,747,795,959,986
530,1,0,981,747,795,963,985
540,1,0,989,754,811,967,979
550,1,0,982,743,809,958,976
560,1,0,1003,753,809,965,982
570,1,0,996,771,805,960,975
580,1,0,982,737,810,960,993
590,1,0,1001,743,823,965,945
600,1,0,994,757,801,958,976
610,1,0,992,759,823,949,989
620,1,0,990,752,815,975,978
630,1,0,985,742,805,957,972
640,1,0,988,729,801,973,961
650,1,0,1008,755,819,965,976
660,1,0,1002,743,816,961,973
670,1,0,986,741,801,912,978
680,1,0,992,752,817,958,981
690,1,0,993,739,815,949,983
700,1,0,983,741,834,971,978
710,1,0,1002,752,816,950,978
720,1,0,989,752,825,975,993
730,1,0,991,742,818,964,974
740,1,0,1008,749,784,962,977
750,1,0,994,743,819,962,977
760,1,0,968,741,811,956,989
770,1,0,967,749,816,976,976
780,1,0,1001,757,824,961,977
790,1,0,960,751,821,960,976
800,1,0,985,743,816,930,1003
810,1,0,985,752,827,955,981
820,1,0,976,778,831,982,982
830,1,0,998,752,822,979,976
840,1,0,1011,759,809,966,975
850,1,0,976,752,807,961,991
860,1,0,989,751,831,950,976
870,1,0,974,749,815,950,976
880,1,0,978,736,821,971,982
890,1,0,987,746,817,960,976
900,1,0,1007,716,816,973,976
910,1,0,987,741,814,981,976
920,1,0,981,751,814,972,978
930,1,0,990,746,801,960,979
940,1,0,980,758,818,951,988
950,1,0,995,742,820,966,976
960,1,0,979,757,818,958,977
970,1,0,993,738,816,960,972
980,1,0,978,745,814,946,987
990,1,0,982,737,828,961,976
