timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,989,766,823,944,975
10,0,-2,972,759,891,953,981
20,0,-3,976,778,850,949,983
30,0,-5,983,777,813,957,977
40,0,-6,979,763,837,957,976
50,0,-7,975,766,848,978,983
60,0,-8,988,761,849,962,978
70,0,-9,981,784,850,955,975
80,0,-10,991,782,880,956,977
90,1,-10,977,768,874,965,976
100,1,-10,978,784,899,966,958
110,1,-11,986,787,893,963,977
120,1,-11,999,773,889,966,965
130,1,-11,1018,787,905,962,980
140,1,-11,1001,769,926,967,986
150,1,-11,1005,762,926,967,976
160,1,-11,989,786,923,969,978
170,1,-11,985,773,911,963,975
180,0,-11,997,780,923,965,1004
190,0,-12,988,780,913,975,977
200,0,-13,1001,765,924,969,985
210,0,-14,1003,774,913,976,978
220,0,-15,999,784,917,964,977
230,0,-15,1015,757,927,961,972
240,0,-13,1003,785,930,983,975
250,0,-11,999,797,928,981,982
260,0,-9,1006,797,906,971,989
270,0,-7,1005,783,930,962,977
280,0,-5,992,782,918,959,987
290,0,-4,1003,745,944,981,975
300,0,-3,1004,791,944,962,978
310,0,-2,1006,784,944,973,989
320,0,-1,1015,801,918,976,976
330,0,-1,1013,778,928,976,976
340,0,-1,1005,791,929,951,975
350,0,0,1009,790,938,972,983
360,0,0,1018,785,899,971,971
370,0,0,1008,774,928,956,983
380,0,0,991,793,937,961,981
390,0,1,1009,802,922,974,976
400,0,3,1017,803,931,978,988
410,0,6,999,806,919,987,981
420,0,10,999,787,915,976,998
430,0,14,1010,795,910,965,983
440,0,17,996,778,912,966,979
450,0,20,989,820,891,993,976
460,0,22,987,786,869,970,975
470,0,24,994,796,868,970,976
480,0,25,990,781,832,969,979
490,0,26,998,782,839,961,979
500,0,26,1006,814,833,991,994
510,0,26,998,770,825,976,989
520,0,26,959,767,804,962,976
530,0,25,985,735,806,959,970
540,0,24,979,772,799,965,974
550,0,23,1002,693,804,976,981
560,0,22,1004,766,796,962,983
570,0,20,1014,759,809,974,985
580,0,18,1001,791,804,977,977
590,0,16,981,752,806,965,977
600,0,14,997,797,804,975,976
610,0,12,976,760,791,960,976
620,0,10,970,761,803,968,985
630,0,9,991,747,799,974,977
640,0,8,981,751,807,962,976
650,0,7,979,751,788,960,982
660,0,6,979,754,809,949,981
670,0,5,989,758,797,965,990
680,0,4,986,794,802,977,979
690,0,3,996,753,802,964,982
700,0,2,1009,753,812,961,976
710,0,2,980,751,816,944,976
720,0,2,996,753,813,976,979
730,0,2,1008,749,822,972,973
740,0,2,978,757,816,951,977
750,0,2,971,759,820,963,977
760,0,2,991,765,811,965,992
770,0,2,993,758,816,963,977
780,0,1,961,765,816,961,976
790,0,0,997,783,811,975,978
800,0,0,998,757,816,956,971
810,0,0,982,752,818,978,977
820,0,0,997,759,798,969,978
830,0,0,967,751,813,967,983
840,0,0,983,755,803,962,976
850,0,0,981,754,821,962,975
860,0,0,964,752,832,966,978
870,0,0,976,749,814,976,992
880,0,0,979,754,811,958,977
890,0,0,982,759,827,963,962
900,0,0,983,755,814,976,978
910,0,0,981,759,816,960,981
920,0,0,982,762,826,960,977
930,0,0,998,752,816,971,975
940,0,0,991,854,816,974,976
950,0,0,979,755,832,977,951
960,0,0,979,759,817,970,976
970,0,0,981,784,825,976,974
980,0,0,978,752,816,961,973
990,0,0,995,774,816,963,992
