timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,974,752,828,974,971
10,-1,-5,963,773,823,1013,983
20,0,-6,976,755,842,966,971
30,0,-7,964,769,846,977,976
40,0,-8,976,763,832,969,977
50,0,-9,976,752,837,970,986
60,0,-10,976,768,839,987,976
70,0,-10,967,757,855,976,976
80,0,-10,976,768,854,991,980
90,0,-10,994,767,886,968,974
100,0,-10,970,749,863,966,985
110,0,-10,999,768,877,975,977
120,0,-10,975,766,877,965,979
130,0,-10,976,767,880,976,976
140,0,-10,943,778,896,967,999
150,0,-10,980,763,901,967,986
160,0,-10,975,765,903,969,979
170,0,-10,993,784,911,976,978
180,0,-10,995,776,912,974,977
190,0,-10,986,770,898,991,980
200,0,-10,981,757,922,973,976
210,0,-10,996,770,925,977,976
220,0,-10,995,782,944,989,979
230,0,-10,995,784,926,990,977
240,0,-11,982,779,949,1003,992
250,0,-12,1003,793,938,980,977
260,0,-12,1004,784,931,977,977
270,0,-12,1002,779,935,911,960
280,0,-11,1013,784,933,976,975
290,0,-10,1022,788,944,969,985
300,0,-9,1014,787,929,974,981
310,0,-8,1022,815,918,974,976
320,0,-7,1007,789,927,976,976
330,0,-6,1045,794,939,977,1001
340,0,-5,1010,800,930,993,989
350,0,-4,1005,757,931,999,976
360,0,-3,1007,787,931,965,977
370,0,-2,1022,800,938,994,974
380,0,-1,1013,783,926,970,1007
390,0,-1,1011,803,942,978,975
400,0,-1,1004,789,929,987,996
410,0,0,1030,803,943,976,983
420,0,0,1022,814,919,976,977
430,0,0,982,783,937,977,963
440,0,0,1013,788,917,979,976
450,0,0,992,789,928,975,983
460,0,1,1002,810,927,955,982
470,0,3,1002,792,934,976,976
480,0,6,991,789,925,974,982
490,0,9,1001,796,917,975,987
500,0,12,1008,805,905,972,973
510,0,15,1006,791,885,975,947
520,0,18,980,738,858,981,975
530,0,21,986,781,848,973,970
540,0,23,988,772,822,966,978
550,0,24,972,762,814,973,977
560,0,24,991,751,797,976,976
570,0,23,983,752,802,946,976
580,0,22,961,752,793,974,967
590,0,21,929,731,797,966,960
600,0,20,981,735,795,973,976
610,0,19,973,752,793,945,981
620,0,18,970,709,783,989,977
630,0,17,956,726,790,967,983
640,0,15,963,719,799,947,982
650,0,13,958,742,784,954,976
660,0,11,951,734,784,958,973
670,0,9,967,730,797,962,975
680,0,8,976,743,796,963,983
690,0,7,980,752,784,959,974
700,0,6,957,735,789,961,979
710,0,6,970,718,799,973,977
720,0,5,958,726,791,979,976
730,0,4,959,729,786,974,978
740,0,3,951,720,784,960,994
750,0,2,993,737,791,974,962
760,0,1,961,729,794,967,965
770,0,1,954,720,796,969,970
780,0,1,951,729,799,974,981
790,0,1,960,735,795,967,970
800,0,1,964,677,799,963,976
810,0,1,949,721,805,964,976
820,0,1,973,727,789,947,986
830,0,1,973,723,797,957,984
840,0,1,965,725,792,955,976
850,0,0,962,720,785,953,972
860,0,0,949,715,809,962,976
870,0,0,963,724,799,966,983
880,0,0,954,720,789,976,942
890,0,0,961,725,793,955,978
900,0,0,923,723,803,961,978
910,0,0,960,720,807,961,979
920,0,0,957,731,793,966,976
930,0,0,960,751,785,955,976
940,0,0,976,727,799,955,982
950,0,0,962,726,798,964,974
960,0,0,962,720,805,951,976
970,0,0,970,723,801,960,976
980,0,0,949,706,813,983,971
990,0,0,960,688,805,971,976
