timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,993,712,771,944,983
10,0,-6,976,715,786,954,976
20,1,-9,999,703,797,945,980
30,1,-11,991,730,797,966,976
40,1,-12,982,718,791,954,961
50,1,-13,992,741,800,957,981
60,1,-13,995,721,790,960,982
70,1,-12,1011,704,793,973,975
80,1,-11,994,703,816,959,977
90,1,-10,983,709,816,959,983
100,1,-9,994,711,832,946,982
110,1,-8,977,722,823,966,977
120,1,-7,987,721,847,959,981
130,1,-6,981,720,848,1027,976
140,1,-5,978,730,857,962,967
150,0,-4,993,736,849,976,976
160,0,-3,990,733,860,970,980
170,0,-3,1003,720,866,960,975
180,0,-3,997,741,890,977,951
190,0,-3,1004,730,880,967,975
200,0,-4,965,752,895,977,971
210,0,-5,993,747,907,966,961
220,0,-6,973,745,909,966,960
230,0,-6,990,754,926,971,981
240,0,-6,996,761,906,976,972
250,0,-6,1008,767,896,982,983
260,0,-6,1007,759,912,971,976
270,0,-6,1008,758,912,981,977
280,0,-6,997,752,926,1009,990
290,0,-6,999,754,912,986,977
300,0,-6,1015,752,932,987,976
310,0,-6,988,768,919,1031,973
320,0,-6,1005,765,912,1006,977
330,0,-6,1047,759,935,966,1040
340,0,-6,1002,762,923,979,977
350,0,-6,1030,761,921,998,977
360,0,-6,1013,762,924,991,980
370,0,-6,1008,775,917,997,976
380,0,-6,1008,784,938,990,978
390,0,-6,1008,746,925,993,976
400,0,-6,1002,780,930,989,977
410,0,-5,1005,780,914,989,976
420,0,-5,1002,786,922,971,987
430,0,-4,1008,767,928,978,989
440,0,-3,1023,750,944,992,974
450,0,-2,1015,802,931,979,979
460,0,-1,1003,773,928,976,975
470,0,0,1008,784,954,991,976
480,0,0,1011,767,933,991,978
490,0,0,1007,784,931,976,973
500,0,0,1019,784,944,990,976
510,0,0,1005,770,919,976,976
520,0,0,1011,761,977,979,959
530,0,0,1013,782,927,976,974
540,0,0,979,784,928,982,974
550,0,0,1006,775,934,973,976
560,0,0,1006,773,922,990,971
570,0,0,997,766,926,989,978
580,0,0,1008,784,932,973,980
590,0,1,988,778,913,991,989
600,0,2,1008,774,920,973,977
610,0,4,997,768,907,970,974
620,0,6,991,763,866,973,1007
630,0,8,1007,770,848,985,1003
640,0,11,1005,766,848,962,979
650,0,14,996,783,816,982,979
660,0,16,986,747,816,965,979
670,0,17,976,750,810,971,965
680,0,17,978,737,807,987,998
690,0,17,976,735,801,974,976
700,0,16,999,691,805,989,964
710,0,15,992,720,789,965,974
720,0,15,986,721,797,976,973
730,0,15,975,729,798,969,987
740,0,14,981,729,797,972,975
750,0,13,978,742,782,955,975
760,0,12,990,752,796,959,978
770,0,11,991,721,788,960,976
780,0,9,986,719,819,966,1003
790,0,8,976,721,786,959,982
800,0,7,1001,731,782,962,976
810,0,6,976,762,786,973,976
820,0,5,976,714,790,959,976
830,0,5,960,706,771,969,975
840,0,5,982,720,784,966,976
850,0,4,973,724,792,960,987
860,0,3,981,746,790,960,966
870,0,2,987,720,801,967,976
880,0,1,973,725,773,970,978
890,0,1,976,730,771,967,976
900,0,1,984,730,805,969,975
910,0,1,979,735,785,966,961
920,0,1,978,720,784,964,977
930,0,1,979,720,803,976,979
940,0,1,988,718,787,918,978
950,0,1,999,731,782,965,978
960,0,1,979,729,786,963,976
970,0,0,995,722,801,976,969
980,0,0,974,718,793,962,976
990,0,0,995,736,749,959,983
