timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,981,727,810,950,977
10,-1,-4,1005,726,807,959,976
20,0,-6,974,735,817,954,985
30,0,-8,977,730,816,960,978
40,0,-9,982,720,784,962,976
50,0,-10,974,725,838,951,987
60,0,-10,961,729,800,964,988
70,0,-10,976,696,832,961,988
80,0,-10,976,726,825,966,976
90,0,-9,987,732,834,951,985
100,0,-8,989,720,837,963,979
110,0,-7,985,742,830,969,975
120,0,-6,1007,740,802,976,973
130,0,-5,982,770,847,979,976
140,0,-4,1002,713,838,958,979
150,0,-3,987,735,812,958,976
160,0,-2,963,730,851,962,987
170,0,-1,999,743,861,976,972
180,0,0,1002,732,871,959,976
190,0,0,999,727,865,967,979
200,0,0,1010,742,859,971,982
210,0,0,993,742,869,959,979
220,0,0,1003,752,885,976,976
230,0,0,996,751,881,965,976
240,0,0,1001,755,909,975,978
250,0,0,1017,743,893,950,973
260,0,0,1008,761,897,967,976
270,0,0,1008,747,899,967,977
280,0,0,1014,752,870,967,992
290,0,0,1007,762,911,956,976
300,0,0,1010,730,912,965,966
310,0,-1,1018,742,903,944,987
320,0,-2,1021,758,912,983,977
330,1,-3,1009,753,922,959,978
340,1,-4,1010,757,934,966,976
350,2,-5,1008,755,912,967,975
360,2,-6,1006,769,921,977,982
370,2,-7,1018,751,912,963,982
380,2,-8,1018,771,911,971,974
390,2,-8,1020,771,914,960,976
400,1,-7,1014,771,915,963,977
410,0,-6,1009,729,933,966,975
420,0,-5,1016,761,926,964,981
430,0,-4,1003,771,932,954,982
440,0,-3,1030,752,919,944,981
450,0,-2,1010,768,942,973,981
460,0,-2,993,738,931,981,983
470,0,-1,1023,765,919,962,976
480,0,0,1010,741,942,973,976
490,0,0,1009,795,909,963,957
500,0,0,1029,771,918,970,981
510,0,0,997,768,933,976,991
520,0,0,998,763,924,963,978
530,0,0,1004,773,922,964,981
540,0,0,1017,776,940,966,981
550,0,0,1020,755,929,971,983
560,0,0,1009,751,931,972,976
570,0,0,1011,752,920,969,969
580,0,0,1011,758,911,966,983
590,0,1,944,762,923,963,980
600,0,3,1008,758,896,963,983
610,0,5,1004,761,877,957,976
620,0,7,993,751,834,960,976
630,0,9,991,761,834,959,976
640,0,10,1006,739,879,966,975
650,0,11,993,746,793,962,976
660,0,11,979,751,792,949,975
670,0,11,958,739,789,969,977
680,0,11,978,733,779,959,973
690,0,11,986,752,785,953,986
700,0,10,973,730,784,942,976
710,0,9,974,724,782,954,983
720,0,8,925,727,749,928,991
730,0,7,973,724,789,955,982
740,0,6,970,729,793,951,982
750,0,5,971,735,790,961,978
760,0,4,974,731,791,964,982
770,0,3,979,729,797,960,976
780,0,2,976,720,774,962,977
790,0,1,966,719,771,957,976
800,0,0,969,640,784,970,996
810,0,0,965,722,784,956,976
820,0,0,961,721,791,955,984
830,0,0,966,714,775,976,977
840,0,0,971,723,773,958,978
850,0,0,965,717,796,974,973
860,0,0,971,720,790,962,978
870,0,0,970,727,789,961,979
880,0,0,967,714,794,961,975
890,0,0,969,711,797,955,977
900,0,0,966,748,784,967,979
910,0,0,976,763,772,969,977
920,0,0,980,720,797,953,976
930,0,0,975,714,786,958,973
940,0,0,969,752,784,954,979
950,0,0,981,715,784,950,973
960,0,0,973,745,803,975,977
970,0,0,975,721,789,950,977
980,0,0,962,720,783,957,973
990,0,0,979,755,784,946,961
