timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,990,751,881,984,989
10,0,-5,993,752,867,976,977
20,0,-8,1003,749,874,981,978
30,0,-10,1004,769,867,982,949
40,0,-11,989,770,886,976,985
50,0,-12,986,746,885,976,986
60,0,-12,990,747,878,978,976
70,0,-11,980,758,882,978,986
80,0,-10,1015,772,881,993,989
90,0,-9,986,752,894,987,977
100,0,-9,1015,746,883,976,978
110,0,-8,988,749,887,987,996
120,0,-7,982,757,886,979,976
130,0,-6,994,765,912,974,980
140,0,-5,990,752,894,980,973
150,0,-4,994,757,912,988,977
160,0,-4,989,766,879,977,985
170,0,-4,989,759,910,1005,978
180,0,-4,991,753,911,988,975
190,0,-4,995,746,948,976,976
200,0,-4,993,752,912,976,974
210,0,-5,1003,768,912,976,987
220,0,-6,994,752,923,986,987
230,0,-7,999,749,912,976,974
240,0,-9,995,759,916,997,975
250,0,-11,1010,767,922,977,976
260,0,-13,1021,733,927,965,981
270,0,-14,999,752,912,974,988
280,0,-13,994,759,938,987,983
290,0,-12,1008,766,930,977,980
300,0,-10,998,753,937,978,983
310,0,-8,989,769,927,976,987
320,0,-6,994,768,898,971,981
330,0,-4,1001,750,933,982,978
340,0,-2,987,764,918,997,977
350,0,-1,989,778,919,987,976
360,0,0,985,752,922,978,969
370,0,0,999,756,928,989,987
380,0,0,1008,767,941,979,986
390,1,0,1007,754,918,982,975
400,1,0,1008,725,931,980,974
410,1,0,989,761,934,977,976
420,1,0,987,753,925,976,976
430,1,0,998,825,919,1007,981
440,1,1,977,752,926,975,980
450,1,2,980,766,907,981,977
460,1,3,990,742,909,979,979
470,1,5,987,750,905,976,976
480,0,7,987,750,898,975,991
490,0,9,1003,775,889,963,981
500,0,10,949,733,816,977,973
510,0,10,1002,742,864,942,976
520,0,10,992,747,861,976,976
530,0,9,1001,752,841,930,979
540,0,9,990,757,828,966,976
550,0,9,950,750,831,959,973
560,0,9,976,766,837,969,959
570,0,9,985,747,847,964,976
580,0,9,1007,752,841,965,986
590,0,9,986,757,822,958,980
600,0,8,1009,749,826,983,980
610,0,7,987,747,800,975,976
620,0,6,982,747,827,968,978
630,0,5,1008,750,851,975,987
640,0,4,986,723,837,961,937
650,0,3,980,744,830,977,978
660,0,2,977,746,848,962,970
670,0,1,992,754,832,961,980
680,0,0,1009,737,900,979,991
690,0,0,983,761,834,962,978
700,0,0,992,746,835,960,977
710,0,0,982,747,851,973,976
720,0,0,977,752,838,963,978
730,0,0,981,742,829,970,975
740,0,0,989,747,841,959,982
750,0,0,980,758,844,976,971
760,0,0,993,750,839,969,981
770,0,0,974,821,832,971,976
780,0,0,975,737,857,958,981
790,0,0,976,752,871,985,985
800,0,0,983,768,834,975,986
810,0,0,972,757,842,985,976
820,0,0,987,785,844,978,962
830,0,0,991,747,838,966,976
840,0,0,979,718,828,963,986
850,0,0,986,752,843,960,979
860,0,0,954,755,838,967,976
870,0,0,987,752,858,955,981
880,0,0,977,740,832,965,976
890,0,0,978,752,845,978,975
900,0,0,980,780,834,976,976
910,0,0,977,751,839,976,985
920,0,0,985,762,848,966,976
930,0,0,986,752,835,970,981
940,0,0,997,756,847,961,987
950,0,1,987,738,863,963,979
960,0,1,989,746,847,960,978
970,0,1,1002,751,846,969,976
980,0,1,983,743,845,971,985
990,0,1,983,760,838,983,980
