timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,973,764,863,962,965
10,-1,-2,1001,752,823,966,976
20,0,-3,990,752,838,977,976
30,0,-4,980,752,845,937,977
40,0,-5,987,755,834,976,967
50,0,-5,944,752,848,969,979
60,0,-5,980,725,829,976,982
70,0,-5,992,751,848,971,983
80,0,-5,986,757,847,972,976
90,0,-5,1012,733,845,976,976
100,0,-5,1008,754,852,953,979
110,0,-5,1006,766,861,989,971
120,0,-5,983,768,849,965,976
130,0,-5,976,752,866,976,982
140,0,-5,981,758,885,947,978
150,0,-5,982,752,877,965,977
160,0,-5,987,757,880,960,977
170,0,-5,997,847,896,963,974
180,0,-5,972,755,897,962,978
190,0,-5,1005,764,898,966,976
200,0,-5,990,754,899,976,982
210,0,-5,991,743,893,963,977
220,0,-5,991,759,940,962,976
230,0,-5,994,764,901,965,986
240,0,-5,1004,784,907,927,976
250,0,-5,997,767,913,963,985
260,0,-5,993,753,914,971,976
270,0,-5,1030,752,941,971,971
280,0,-5,979,750,919,962,979
290,0,-5,1009,757,906,972,977
300,0,-5,991,758,989,961,982
310,0,-4,976,760,929,969,976
320,0,-3,979,763,916,961,977
330,0,-2,980,758,913,971,979
340,0,-1,969,752,879,981,975
350,0,0,990,774,921,972,976
360,0,0,979,781,926,976,976
370,0,0,996,771,928,963,982
380,0,0,987,759,927,966,979
390,0,0,977,765,929,976,976
400,0,0,1017,774,917,971,973
410,0,0,987,767,926,968,977
420,0,0,979,765,899,976,978
430,0,0,1033,795,944,962,981
440,0,0,978,769,912,967,976
450,0,0,970,752,943,959,976
460,0,1,983,759,915,977,978
470,0,3,991,764,911,973,975
480,0,5,1056,777,912,974,976
490,0,7,980,768,895,969,987
500,0,9,982,779,882,976,987
510,0,11,993,786,896,971,979
520,0,12,999,766,868,970,975
530,0,13,1005,768,857,970,979
540,0,13,995,796,837,981,977
550,0,13,991,768,836,959,976
560,0,12,978,769,834,947,979
570,0,11,989,759,823,965,987
580,0,10,1010,767,811,974,981
590,0,9,991,772,830,970,974
600,0,9,986,756,816,969,981
610,0,9,998,752,800,976,976
620,0,9,986,749,817,979,981
630,0,9,986,757,817,970,981
640,0,8,989,757,827,952,991
650,0,7,989,753,816,954,992
660,0,6,998,752,832,967,976
670,0,5,999,757,833,969,976
680,0,4,979,773,816,959,978
690,0,3,999,752,816,958,976
700,0,2,981,752,836,960,976
710,0,1,1002,754,803,960,976
720,0,0,993,779,822,944,976
730,0,0,981,736,821,966,978
740,0,0,979,743,821,975,976
750,0,2,978,753,848,975,975
760,0,1,1005,752,817,970,974
770,0,0,979,726,816,957,997
780,0,0,995,750,818,975,979
790,0,0,987,752,827,955,971
800,0,0,994,758,818,976,976
810,0,0,975,752,819,979,979
820,0,0,983,752,816,974,967
830,0,0,985,770,819,960,980
840,0,0,991,770,817,966,979
850,0,0,999,759,842,976,976
860,0,0,1005,749,816,973,994
870,0,0,991,754,816,954,1030
880,0,0,997,782,823,969,965
890,0,0,997,758,815,955,972
900,0,0,987,755,818,961,969
910,0,0,990,757,830,963,974
920,0,0,1021,749,831,961,979
930,0,0,998,768,821,976,994
940,0,0,996,754,818,955,979
950,0,0,995,742,816,976,976
960,0,0,977,799,823,976,1002
970,0,0,999,753,838,963,979
980,0,0,987,754,786,966,979
990,0,0,987,758,832,971,987
