timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1007,751,851,976,978
10,0,0,998,742,858,973,977
20,0,-2,985,755,850,991,981
30,0,-3,995,747,842,967,989
40,0,-4,994,743,848,967,990
50,0,-4,982,746,876,976,976
60,0,-4,1013,704,849,960,987
70,0,-3,990,757,860,979,978
80,0,-2,964,745,865,966,982
90,1,-1,989,766,878,973,992
100,2,0,977,761,878,982,973
110,3,0,977,762,874,967,975
120,4,0,976,768,879,975,981
130,4,0,987,757,873,973,976
140,4,0,984,735,868,982,981
150,4,0,978,768,893,976,975
160,4,0,989,722,879,985,999
170,4,0,982,746,865,987,986
180,4,0,976,751,901,975,979
190,4,0,992,739,900,999,974
200,4,0,993,755,905,976,976
210,5,-1,977,756,899,973,985
220,6,-2,987,746,902,993,974
230,6,-3,984,751,891,982,977
240,6,-4,999,747,916,989,975
250,6,-5,978,761,912,976,986
260,6,-6,961,752,910,976,990
270,6,-8,957,769,902,976,992
280,6,-10,972,752,912,983,991
290,6,-12,998,752,919,979,987
300,6,-14,985,759,912,974,955
310,6,-16,991,755,926,978,976
320,7,-18,1010,766,934,977,978
330,7,-19,992,766,950,988,991
340,6,-16,1040,752,961,987,977
350,5,-13,1001,771,929,971,983
360,4,-11,986,766,926,978,989
370,3,-8,1015,761,917,978,991
380,2,-6,1006,707,925,991,983
390,2,-4,979,769,941,963,976
400,2,-2,990,783,926,973,978
410,2,-1,990,766,918,984,976
420,2,0,992,785,927,992,988
430,2,0,1037,795,952,994,998
440,2,0,989,779,929,982,978
450,2,-1,981,774,946,976,973
460,2,-1,978,784,930,976,959
470,1,-1,1013,783,935,975,981
480,0,-1,960,790,943,989,976
490,0,-1,995,772,938,976,979
500,0,0,992,783,937,983,978
510,-1,1,991,783,944,958,969
520,-2,3,1001,770,923,982,986
530,-3,6,982,769,913,966,981
540,-4,9,991,769,907,973,977
550,-4,12,1040,769,893,966,987
560,-4,14,1009,784,894,971,970
570,-4,14,985,763,869,963,983
580,-4,13,976,753,867,993,979
590,-4,12,983,759,873,969,979
600,-3,11,982,749,840,961,976
610,-2,10,991,766,817,976,975
620,-1,9,982,743,831,966,980
630,0,8,986,765,819,973,982
640,0,7,979,759,847,973,976
650,0,6,989,753,816,960,979
660,0,5,977,751,835,976,977
670,0,5,980,752,790,982,995
680,0,5,983,770,818,975,973
690,0,4,980,765,831,976,988
700,0,3,995,752,818,976,976
710,0,2,974,736,826,989,977
720,0,1,976,746,877,973,979
730,0,0,976,749,823,973,976
740,0,0,995,750,839,955,973
750,0,0,997,743,827,951,987
760,0,0,983,758,816,976,976
770,0,0,951,747,838,975,992
780,0,0,989,767,831,975,995
790,0,0,1018,762,815,985,985
800,0,0,985,752,818,969,949
810,0,0,992,752,832,976,977
820,0,0,992,736,818,973,978
830,0,0,949,752,825,951,976
840,0,0,981,745,818,967,976
850,0,0,992,763,826,985,979
860,0,0,977,738,838,973,978
870,0,0,1066,750,825,973,974
880,0,0,994,754,822,976,972
890,0,0,992,745,831,991,976
900,0,0,987,751,835,981,967
910,0,0,980,746,828,962,976
920,0,0,972,753,827,959,976
930,0,0,986,752,833,994,978
940,0,0,978,749,848,966,981
950,0,0,998,736,830,965,992
960,0,0,979,732,832,953,1005
970,0,0,983,747,837,965,976
980,0,0,977,758,868,927,987
990,0,0,995,775,846,967,976
