timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,997,750,848,957,1005
10,0,-4,998,742,840,970,976
20,0,-5,987,752,845,977,977
30,0,-6,1030,742,898,976,976
40,0,-7,987,727,847,973,976
50,0,-8,989,749,858,971,978
60,0,-8,991,720,846,978,1007
70,0,-8,990,739,864,974,979
80,0,-8,989,746,837,968,979
90,0,-8,993,767,859,989,990
100,0,-8,992,734,867,965,981
110,0,-7,987,781,880,1002,975
120,0,-7,1006,752,880,975,982
130,0,-6,986,739,901,976,978
140,1,-6,998,769,899,971,976
150,1,-6,983,743,894,977,975
160,1,-6,990,748,943,960,973
170,1,-6,994,742,897,986,980
180,1,-6,1008,764,917,978,977
190,1,-6,978,723,911,981,976
200,1,-6,997,742,919,978,980
210,1,-6,991,754,914,976,983
220,1,-6,993,751,912,973,983
230,1,-6,981,753,923,976,989
240,1,-7,979,762,878,971,976
250,1,-8,989,756,913,961,983
260,1,-9,907,753,934,976,981
270,1,-11,1010,764,924,966,979
280,1,-12,999,758,926,972,983
290,1,-11,1002,756,934,969,973
300,0,-10,998,758,929,982,976
310,0,-9,1008,747,928,973,985
320,0,-7,1008,752,910,955,978
330,0,-5,993,761,940,976,983
340,0,-3,1012,759,938,978,979
350,0,-1,1001,755,869,977,971
360,0,0,1001,758,922,988,980
370,0,0,1001,752,917,974,987
380,0,0,983,751,945,976,976
390,0,0,1005,755,921,985,979
400,0,0,994,730,931,978,979
410,0,0,1002,762,933,980,976
420,0,0,1009,774,937,969,978
430,0,0,995,751,903,969,985
440,0,0,991,767,917,976,976
450,0,0,1019,763,933,965,972
460,0,1,993,774,939,983,980
470,0,2,996,751,925,976,976
480,0,4,1003,775,938,963,983
490,0,6,989,759,927,962,977
500,0,8,988,839,905,963,976
510,0,10,983,770,878,962,976
520,0,11,991,765,900,977,976
530,0,12,990,765,873,981,978
540,0,12,976,755,867,976,981
550,0,12,1000,761,858,979,974
560,0,12,1001,752,849,977,977
570,0,12,987,751,868,977,971
580,0,11,981,758,847,991,985
590,0,10,978,748,830,964,977
600,0,9,993,757,834,967,976
610,0,8,991,786,841,977,978
620,0,7,981,729,835,971,980
630,0,6,997,746,831,974,985
640,0,5,991,747,837,962,973
650,0,4,987,745,839,969,972
660,0,3,1018,756,841,960,965
670,0,2,1002,746,828,973,978
680,0,1,987,752,839,960,979
690,0,0,989,747,807,965,976
700,0,0,996,751,835,958,976
710,0,0,944,746,832,966,982
720,0,0,986,763,830,975,991
730,0,0,977,750,832,977,981
740,0,0,976,745,829,975,982
750,0,0,990,739,843,993,982
760,0,0,981,753,831,974,976
770,0,0,975,761,821,976,976
780,0,0,990,753,837,962,976
790,0,0,973,752,831,985,975
800,0,0,994,740,832,962,977
810,0,0,991,755,825,974,974
820,0,0,991,752,848,975,974
830,0,0,981,737,847,962,974
840,0,0,987,734,869,976,938
850,0,0,992,743,848,929,976
860,0,0,984,750,838,975,976
870,0,0,1011,744,842,975,974
880,0,0,982,747,847,959,977
890,0,0,986,747,845,970,992
900,0,0,1023,783,838,971,979
910,0,0,991,756,843,980,978
920,0,0,995,765,848,971,973
930,0,0,974,770,822,969,977
940,0,0,1013,752,843,967,975
950,0,0,994,731,835,976,976
960,0,0,986,743,834,974,977
970,0,0,1002,752,848,965,978
980,0,0,991,741,852,976,977
990,0,0,997,740,837,966,977
