timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,977,727,816,971,973
10,0,-3,976,753,832,960,983
20,0,-4,996,732,816,967,972
30,0,-5,1002,745,861,976,987
40,0,-6,983,751,818,982,981
50,0,-7,946,736,825,969,976
60,0,-7,980,763,832,991,979
70,0,-7,977,734,842,977,977
80,0,-7,983,725,880,960,985
90,0,-7,977,735,859,973,982
100,0,-7,1003,736,867,977,976
110,0,-7,998,735,883,970,1003
120,0,-7,982,724,887,973,977
130,0,-7,979,736,867,977,976
140,0,-7,987,738,895,947,980
150,0,-7,990,735,882,965,976
160,0,-7,981,739,898,983,1005
170,0,-7,989,738,908,975,977
180,0,-7,1011,753,922,975,973
190,0,-7,987,752,949,979,976
200,0,-8,1040,747,930,976,978
210,0,-9,991,729,912,989,956
220,0,-10,998,749,944,972,978
230,0,-11,976,745,938,982,981
240,0,-12,990,738,913,983,962
250,0,-12,991,748,926,973,976
260,0,-12,992,746,930,976,976
270,0,-12,1003,715,927,972,976
280,0,-11,987,743,935,977,973
290,0,-10,998,749,931,977,962
300,0,-9,998,755,925,971,987
310,0,-8,999,766,943,970,990
320,0,-6,987,748,934,987,991
330,0,-4,1008,753,935,991,981
340,0,-3,994,751,914,970,978
350,0,-2,994,785,928,987,979
360,0,-1,1008,753,934,994,982
370,0,-1,990,766,927,977,985
380,0,-1,1009,756,932,986,985
390,0,-1,1010,752,942,980,975
400,0,-1,999,757,923,977,976
410,0,-1,1003,771,945,983,990
420,0,-1,1011,778,927,986,976
430,0,-1,1008,757,933,983,981
440,0,-1,1013,767,926,982,979
450,0,0,1008,752,944,1000,982
460,0,1,1001,755,922,991,977
470,0,3,1008,752,896,976,977
480,0,5,987,752,897,968,977
490,0,6,993,751,887,970,973
500,0,7,974,709,862,971,985
510,0,8,989,769,848,963,985
520,0,9,977,738,837,969,983
530,0,10,975,753,816,976,983
540,0,11,991,740,817,966,976
550,0,12,945,723,787,976,983
560,0,13,973,735,818,978,997
570,0,13,983,736,803,975,982
580,0,13,979,763,797,976,986
590,0,13,978,770,819,964,978
600,0,13,976,750,771,957,975
610,0,13,1008,741,777,969,1003
620,0,12,976,725,775,960,982
630,0,11,978,749,783,968,976
640,0,10,970,734,785,962,990
650,0,9,976,729,787,965,976
660,0,8,985,743,784,921,977
670,0,7,975,735,793,960,979
680,0,6,960,723,784,969,976
690,0,5,981,738,830,973,995
700,0,4,978,734,778,959,970
710,0,3,976,738,773,959,977
720,0,3,977,740,784,959,973
730,0,3,959,742,769,966,979
740,0,2,992,731,792,969,979
750,0,2,982,750,788,976,977
760,0,2,981,726,789,950,983
770,0,2,991,724,787,971,976
780,0,2,979,723,800,971,977
790,0,2,993,721,786,945,983
800,0,2,990,731,785,963,983
810,0,2,981,743,804,958,982
820,0,2,973,734,793,970,983
830,0,2,980,737,793,961,976
840,0,2,956,756,787,961,983
850,0,2,975,722,787,917,976
860,0,2,976,725,802,960,976
870,0,2,1007,656,784,961,969
880,0,2,993,726,799,960,985
890,0,2,995,720,754,951,990
900,0,2,989,733,790,967,977
910,0,2,974,727,796,963,986
920,0,2,959,726,791,975,976
930,0,2,995,722,788,966,973
940,0,2,999,720,795,958,979
950,0,2,982,726,793,975,976
960,0,2,982,720,784,971,974
970,0,2,970,717,793,965,976
980,0,2,993,727,790,953,974
990,0,2,978,708,806,961,979
