timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,998,766,870,984,979
10,0,-7,990,757,874,973,991
20,0,-9,1003,751,858,990,976
30,0,-10,1007,768,861,979,979
40,0,-11,974,790,865,965,964
50,0,-12,985,747,877,977,976
60,0,-13,1003,778,887,976,978
70,0,-13,993,768,887,971,996
80,0,-13,981,784,891,973,981
90,0,-13,991,761,919,969,963
100,0,-12,992,757,902,993,975
110,0,-12,991,780,923,973,976
120,0,-12,1002,784,896,958,983
130,0,-12,979,769,912,967,967
140,0,-13,971,790,931,967,978
150,0,-14,997,766,931,976,982
160,0,-14,991,767,929,975,975
170,0,-15,986,759,934,974,969
180,0,-16,1004,766,925,970,976
190,0,-17,1015,770,918,989,983
200,0,-19,1007,766,940,975,979
210,0,-18,1001,769,919,969,993
220,0,-16,1034,782,940,965,976
230,0,-14,1008,774,921,966,976
240,0,-11,992,782,928,967,982
250,0,-8,1012,769,927,965,987
260,0,-5,1008,784,930,974,976
270,0,-2,997,784,933,986,976
280,0,0,1008,803,912,967,978
290,0,1,1011,784,929,976,983
300,0,1,1006,798,934,976,979
310,0,1,1006,784,931,983,979
320,0,0,1006,784,944,979,982
330,0,0,997,807,914,966,974
340,0,0,993,811,928,980,989
350,0,0,999,791,927,995,977
360,0,0,994,799,932,966,989
370,0,0,1000,802,916,983,976
380,0,1,1000,789,911,983,1045
390,0,3,993,781,926,959,978
400,0,5,987,781,910,979,976
410,0,6,994,778,847,965,978
420,0,7,989,780,853,973,977
430,0,8,987,762,826,972,975
440,0,8,978,758,838,962,981
450,0,8,980,754,814,963,979
460,0,8,983,794,805,967,1011
470,0,7,1001,769,798,997,978
480,0,6,982,752,799,961,987
490,0,4,983,763,798,970,983
500,0,2,986,751,802,983,976
510,0,0,983,746,784,959,979
520,0,-1,985,720,788,963,979
530,0,0,985,739,787,962,976
540,1,0,982,753,800,962,976
550,1,0,985,746,798,960,977
560,1,0,992,726,802,966,975
570,1,0,978,743,794,971,976
580,1,0,978,720,784,967,971
590,1,0,995,752,803,963,975
600,1,0,992,727,784,971,978
610,1,0,976,733,784,953,989
620,1,0,987,737,815,975,972
630,1,0,988,722,787,955,976
640,1,0,978,749,793,960,991
650,1,0,985,730,782,965,976
660,1,0,1008,736,791,962,974
670,0,0,989,736,805,963,987
680,0,0,982,738,798,967,989
690,0,0,992,735,809,957,976
700,0,0,1002,771,802,959,966
710,0,0,981,725,801,961,967
720,0,0,989,724,799,957,976
730,0,0,987,737,786,963,979
740,0,0,982,730,801,962,975
750,0,0,979,730,823,965,990
760,0,0,978,737,800,967,978
770,0,0,997,739,796,960,989
780,0,0,990,727,798,977,979
790,0,0,989,734,804,974,981
800,0,0,983,743,837,967,979
810,0,0,990,730,795,963,966
820,0,0,987,733,797,957,978
830,0,1,982,726,793,955,981
840,0,1,1001,729,807,960,981
850,0,2,998,732,813,962,975
860,0,2,985,733,808,974,969
870,0,2,980,738,790,976,976
880,0,2,987,733,800,963,978
890,0,2,982,720,796,963,978
900,0,2,995,729,809,961,972
910,0,2,976,731,797,965,975
920,0,2,979,720,798,960,986
930,0,2,986,737,806,966,955
940,0,2,986,742,839,976,962
950,0,2,976,730,797,959,973
960,0,2,982,734,814,960,977
970,0,2,988,732,803,959,976
980,0,2,981,751,802,959,980
990,0,2,976,752,812,960,979
