timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,993,730,803,955,974
10,0,-1,990,738,807,971,973
20,1,-2,970,727,834,961,976
30,1,-3,991,742,815,972,976
40,1,-4,976,757,815,964,978
50,1,-5,958,738,823,971,974
60,1,-6,975,734,811,963,976
70,1,-7,974,725,826,963,975
80,1,-7,990,730,816,967,974
90,1,-7,965,727,816,955,976
100,1,-7,979,723,822,958,949
110,1,-7,974,740,827,974,981
120,1,-7,990,731,817,951,973
130,1,-7,977,726,841,966,976
140,1,-7,973,746,832,967,972
150,1,-7,987,752,858,960,978
160,1,-7,976,735,874,969,971
170,1,-7,981,735,864,972,981
180,1,-7,978,743,898,976,971
190,1,-7,989,752,861,958,976
200,1,-8,971,746,896,966,979
210,1,-10,994,777,922,968,978
220,1,-12,993,756,900,971,975
230,1,-14,1009,755,927,976,974
240,0,-15,990,797,912,944,979
250,0,-16,991,759,919,979,976
260,0,-16,997,752,914,970,949
270,0,-15,1002,753,924,971,977
280,0,-13,994,758,936,970,983
290,0,-11,1008,755,911,982,977
300,0,-9,993,768,911,972,975
310,0,-8,1001,771,927,975,976
320,0,-7,1003,747,927,976,978
330,0,-6,998,784,933,971,976
340,0,-5,1001,769,922,977,976
350,0,-4,1008,775,929,978,957
360,0,-3,1011,781,928,973,976
370,0,-2,1013,783,945,973,971
380,0,-1,1010,783,931,967,979
390,0,-1,1001,774,905,960,977
400,0,-1,1008,770,961,979,1003
410,0,-1,992,772,937,983,976
420,0,-1,989,742,923,984,997
430,0,-1,1003,775,912,976,976
440,0,-1,1004,784,931,971,983
450,0,-1,1013,801,917,980,973
460,0,0,1003,798,915,966,983
470,0,0,992,759,926,922,989
480,0,1,997,780,918,962,973
490,0,3,1074,768,909,969,976
500,0,5,978,766,909,958,977
510,0,7,991,771,886,970,976
520,0,8,982,772,868,973,976
530,0,9,1014,761,835,973,972
540,0,10,992,761,820,977,976
550,0,10,990,756,819,962,976
560,0,10,983,750,816,969,983
570,0,10,946,767,816,963,986
580,0,10,981,749,784,967,971
590,0,10,979,763,823,968,979
600,0,10,978,742,813,966,979
610,0,10,986,741,813,963,976
620,0,9,1009,735,816,962,976
630,0,8,1002,732,819,962,983
640,0,7,979,738,813,965,976
650,0,6,999,737,798,976,956
660,0,5,990,754,807,976,978
670,0,4,982,753,799,967,977
680,0,3,977,734,762,950,1001
690,0,3,981,737,878,978,985
700,0,3,967,734,809,968,976
710,0,3,998,731,821,969,989
720,0,2,975,730,810,976,976
730,0,2,979,738,809,971,976
740,0,2,978,706,818,957,976
750,0,2,988,736,811,976,981
760,0,2,977,739,814,960,973
770,0,2,971,752,804,956,969
780,0,2,993,730,799,962,981
790,0,2,989,703,816,959,974
800,0,2,994,730,812,978,976
810,0,2,1008,739,805,958,976
820,0,2,978,734,813,964,986
830,0,2,979,729,803,967,991
840,0,2,983,706,847,976,976
850,0,2,976,752,821,964,979
860,0,2,999,733,809,976,986
870,0,1,962,738,804,977,976
880,0,0,983,736,804,976,978
890,0,0,971,731,816,970,975
900,0,0,978,777,804,958,969
910,0,-1,983,741,815,960,977
920,0,-2,995,725,783,983,976
930,0,-5,978,727,802,961,976
940,1,-5,993,744,803,967,975
950,1,-6,977,727,853,928,976
960,1,-7,982,749,821,967,981
970,1,-7,987,759,816,967,980
980,1,-7,978,704,807,964,972
990,1,-7,1027,736,816,977,975
