timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,992,726,815,976,979
10,0,-3,986,720,805,946,987
20,1,-5,987,717,819,979,982
30,1,-6,977,722,828,974,976
40,1,-6,987,714,835,971,981
50,1,-7,978,732,822,976,982
60,1,-7,993,742,789,963,939
70,1,-7,994,737,837,979,976
80,1,-7,988,730,848,963,984
90,1,-7,987,725,869,976,976
100,1,-7,979,720,858,976,982
110,1,-6,992,728,857,970,979
120,1,-5,977,721,859,990,986
130,1,-4,977,735,864,971,985
140,1,-3,976,718,849,960,983
150,1,-2,973,714,876,966,978
160,1,-1,966,725,873,976,985
170,1,-1,989,763,889,963,977
180,1,-1,985,737,887,976,975
190,1,-1,987,738,896,971,977
200,1,-1,985,749,894,977,976
210,1,-1,986,752,907,979,985
220,1,-1,1013,719,907,978,977
230,1,-1,978,733,897,979,989
240,1,-2,981,741,923,983,991
250,1,-2,989,742,915,982,985
260,1,-2,989,735,899,978,978
270,1,-2,975,731,912,971,981
280,1,-2,1008,741,922,975,978
290,1,-2,990,747,934,975,977
300,1,-2,962,734,928,976,989
310,1,-2,989,740,914,990,957
320,1,-3,986,735,909,972,993
330,1,-4,997,739,902,975,979
340,1,-5,987,749,912,976,980
350,1,-5,987,748,889,1008,983
360,1,-5,998,751,925,1005,988
370,1,-5,985,750,944,986,977
380,1,-5,1010,763,944,986,978
390,1,-5,985,743,927,978,978
400,1,-5,1007,745,920,971,943
410,1,-5,979,752,915,987,989
420,1,-5,992,750,926,981,989
430,1,-4,996,765,921,980,986
440,1,-4,993,753,919,994,976
450,1,-4,983,775,919,982,979
460,1,-3,1063,762,927,978,981
470,1,-2,987,752,924,985,976
480,0,-1,978,768,928,980,970
490,0,0,992,779,923,994,979
500,0,0,935,759,929,995,991
510,0,0,1011,752,911,1001,981
520,0,0,998,753,940,979,977
530,0,0,1001,772,918,993,982
540,0,0,1006,753,925,974,976
550,0,0,1002,754,943,992,979
560,0,0,1021,758,934,978,988
570,0,0,1005,763,940,951,997
580,0,0,991,762,935,972,987
590,0,0,1004,757,924,979,997
600,0,0,983,772,930,971,982
610,0,0,985,757,927,976,977
620,0,0,994,755,921,971,985
630,-1,1,992,754,928,974,974
640,-1,2,973,765,919,976,998
650,-1,4,987,755,919,977,983
660,-1,5,1003,752,934,975,976
670,-1,6,970,756,903,967,986
680,0,7,986,767,890,960,978
690,0,8,994,762,891,976,976
700,0,9,991,751,885,986,978
710,0,10,994,770,876,975,977
720,0,10,965,757,819,975,979
730,0,10,976,754,829,967,976
740,0,10,980,750,829,980,996
750,0,10,980,746,834,999,981
760,0,10,1008,741,833,968,976
770,0,9,983,745,807,979,978
780,0,9,986,741,837,966,990
790,0,8,981,752,816,981,976
800,0,8,976,739,825,945,977
810,0,8,988,746,815,976,977
820,0,7,997,737,846,988,981
830,0,6,976,739,821,991,977
840,0,5,986,738,815,976,983
850,0,4,989,751,816,983,965
860,0,3,990,737,811,963,983
870,0,2,1001,736,826,958,976
880,0,1,963,734,831,971,970
890,0,0,986,735,817,969,976
900,0,0,995,736,816,975,974
910,0,0,983,735,822,979,977
920,0,0,985,722,828,981,981
930,0,0,960,740,817,976,976
940,0,0,979,741,817,977,979
950,0,0,982,733,817,976,976
960,0,0,976,737,816,976,977
970,0,0,979,734,815,976,986
980,0,0,941,736,825,971,991
990,0,0,981,729,828,972,989
