timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,985,721,784,970,976
10,0,-4,971,723,800,950,968
20,0,-6,1004,715,802,962,965
30,0,-8,998,752,822,977,983
40,0,-9,997,713,836,964,981
50,1,-10,987,728,822,950,976
60,1,-10,996,718,851,946,976
70,1,-10,983,713,875,956,974
80,2,-10,976,737,878,964,974
90,3,-10,976,708,880,955,982
100,4,-10,977,746,928,961,981
110,4,-10,985,746,913,932,981
120,4,-10,993,725,929,957,992
130,4,-10,1021,737,912,961,986
140,4,-10,990,734,931,954,976
150,4,-10,981,723,915,971,983
160,4,-11,988,739,918,972,978
170,4,-11,1002,752,915,960,976
180,3,-11,988,773,944,992,976
190,2,-11,1008,758,934,972,977
200,2,-11,1009,737,901,971,976
210,2,-11,999,770,939,977,976
220,1,-11,998,762,912,976,977
230,0,-10,1008,699,933,976,970
240,0,-9,1015,759,940,966,977
250,0,-8,997,756,922,960,971
260,0,-7,1011,764,944,967,982
270,0,-6,1003,762,922,966,990
280,0,-5,1008,802,936,960,979
290,0,-4,1008,801,944,979,966
300,0,-3,1015,793,922,973,983
310,0,-2,1040,784,950,979,978
320,0,-1,1008,788,943,973,982
330,0,0,999,804,938,965,978
340,0,0,1008,774,863,970,974
350,0,0,1019,799,943,962,979
360,0,0,1030,783,922,969,977
370,0,0,1009,784,960,989,976
380,0,0,1014,785,915,987,979
390,0,0,1027,802,935,974,987
400,0,0,1008,790,930,971,991
410,0,0,992,781,935,968,981
420,0,0,1019,799,941,966,975
430,0,0,1010,785,930,959,975
440,0,0,1002,791,965,977,994
450,0,0,1008,813,941,970,977
460,0,0,991,775,915,961,977
470,0,1,997,816,922,999,978
480,-1,4,993,784,899,960,976
490,-2,8,982,767,873,973,976
500,-2,12,993,769,880,979,967
510,-2,15,985,784,848,960,978
520,-1,17,1004,782,847,971,982
530,0,18,978,802,816,958,976
540,0,19,975,754,811,949,974
550,0,19,987,757,795,966,979
560,0,19,996,751,801,949,986
570,0,19,972,743,799,944,976
580,0,18,975,731,786,961,989
590,0,17,976,744,775,962,974
600,0,16,976,725,796,951,981
610,0,15,979,721,785,978,980
620,0,14,977,725,774,961,983
630,0,13,983,717,779,944,976
640,0,12,976,737,774,963,989
650,0,11,967,720,776,959,981
660,0,10,983,719,777,970,991
670,0,9,971,721,771,970,976
680,0,7,995,699,766,912,985
690,0,6,993,737,765,953,977
700,0,5,976,709,774,959,982
710,0,4,983,729,757,943,976
720,0,3,996,716,775,953,973
730,0,2,966,737,773,971,973
740,0,1,992,720,782,976,998
750,0,1,974,715,784,965,981
760,0,1,971,717,762,964,961
770,0,1,996,720,774,955,977
780,0,0,966,717,752,949,957
790,0,0,974,795,769,955,976
800,0,0,976,720,784,957,980
810,0,0,1008,718,778,971,979
820,0,0,981,715,795,961,980
830,0,1,975,715,770,957,976
840,0,3,991,719,779,950,981
850,0,2,976,725,774,959,976
860,0,2,985,712,770,971,981
870,0,2,994,715,783,976,961
880,0,1,992,706,768,975,976
890,0,1,961,723,783,953,979
900,0,1,974,727,781,957,974
910,0,1,979,710,781,959,979
920,0,1,976,707,767,966,993
930,0,1,991,714,793,973,977
940,0,1,1017,701,784,975,989
950,0,1,976,671,794,959,978
960,0,1,998,715,779,948,987
970,0,1,997,720,816,956,975
980,0,1,980,707,786,946,971
990,0,1,980,711,782,946,970
