timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,982,752,831,913,983
10,1,-3,978,752,867,977,984
20,1,-4,986,737,839,970,1002
30,1,-5,976,742,830,957,977
40,1,-6,980,747,878,989,980
50,1,-6,982,739,838,981,1007
60,1,-6,980,752,832,971,976
70,1,-6,996,756,846,987,979
80,2,-6,978,766,835,985,981
90,3,-6,966,754,815,973,981
100,3,-6,985,750,846,976,986
110,4,-5,976,752,848,973,978
120,5,-4,982,729,849,972,985
130,5,-4,990,749,861,977,981
140,5,-4,978,753,880,975,979
150,5,-4,995,749,881,981,978
160,5,-4,980,754,882,976,976
170,5,-4,1005,762,898,973,978
180,5,-4,986,749,896,990,976
190,5,-4,997,762,903,967,987
200,5,-4,1008,765,869,1001,989
210,5,-5,985,751,915,983,989
220,5,-6,961,773,918,976,983
230,5,-6,991,768,909,979,979
240,5,-6,995,774,910,975,986
250,5,-6,993,771,941,982,977
260,5,-6,986,773,953,994,975
270,5,-5,1007,784,912,978,977
280,5,-4,997,775,919,979,985
290,5,-4,1004,774,919,983,980
300,5,-4,998,772,912,985,976
310,5,-4,947,779,923,979,929
320,5,-4,1006,780,918,990,981
330,5,-4,998,772,945,978,979
340,5,-4,1008,768,919,1002,989
350,5,-4,986,787,918,993,979
360,5,-5,965,782,927,971,989
370,5,-6,1006,791,941,962,978
380,5,-7,999,786,930,981,980
390,5,-8,999,784,935,977,975
400,5,-8,998,785,934,989,983
410,6,-8,976,782,940,989,977
420,7,-8,997,800,944,987,982
430,7,-8,997,784,941,985,978
440,7,-7,986,780,934,998,983
450,7,-6,1006,780,926,980,977
460,6,-4,985,781,949,964,985
470,5,-2,1001,806,921,991,976
480,4,0,992,784,931,982,979
490,3,1,1008,799,959,979,978
500,2,1,1003,787,927,992,989
510,1,1,1002,781,944,998,982
520,0,0,1006,788,925,983,969
530,0,0,1007,787,971,988,981
540,0,0,976,785,930,992,991
550,0,0,991,793,914,970,981
560,0,0,1008,784,928,978,985
570,0,0,978,786,890,992,980
580,0,0,1002,803,933,986,986
590,0,0,1010,789,935,978,988
600,0,0,1007,788,925,990,999
610,0,0,1003,794,922,993,983
620,0,0,1007,797,913,976,990
630,0,0,991,795,928,986,982
640,0,0,998,784,940,976,989
650,0,0,971,788,937,1014,973
660,0,0,1001,802,923,976,977
670,-1,0,1003,784,899,981,951
680,-2,1,1001,801,929,959,981
690,-3,3,991,784,910,976,973
700,-3,5,931,784,883,960,979
710,-3,6,987,817,875,981,978
720,-3,7,992,778,847,976,978
730,-2,7,997,785,863,969,977
740,-2,7,985,778,832,973,979
750,-2,7,987,764,818,977,987
760,-2,7,1000,758,821,974,983
770,-1,7,976,776,816,965,977
780,0,7,1006,789,801,975,974
790,0,7,976,773,806,976,986
800,0,6,976,775,793,976,977
810,0,5,976,706,802,960,979
820,0,4,980,770,785,961,983
830,0,3,992,754,791,980,981
840,0,3,976,757,790,970,981
850,0,3,1003,755,803,973,982
860,0,3,1010,753,800,946,951
870,0,3,986,752,798,966,979
880,0,3,987,757,801,973,977
890,0,3,992,749,788,958,978
900,0,3,976,767,807,969,976
910,0,3,981,757,798,963,976
920,0,3,979,753,789,962,976
930,0,3,976,758,794,960,982
940,0,3,1005,753,793,967,1003
950,0,3,977,766,796,967,977
960,0,3,997,767,794,963,976
970,0,3,976,785,749,963,973
980,0,3,994,752,797,959,976
990,0,2,955,733,810,972,1001
