timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,986,709,809,944,975
10,0,-2,963,721,819,959,975
20,0,-4,971,701,803,961,976
30,0,-6,991,715,797,960,976
40,0,-8,997,735,795,960,980
50,0,-9,976,738,810,964,976
60,0,-10,975,739,819,954,985
70,0,-10,976,714,833,975,977
80,0,-10,983,722,846,960,976
90,0,-10,965,727,831,944,975
100,0,-10,976,733,848,947,980
110,0,-9,967,746,844,960,973
120,0,-8,979,728,906,941,976
130,0,-8,965,758,883,985,976
140,0,-8,983,729,915,923,977
150,0,-8,979,692,911,981,976
160,1,-8,1043,749,892,971,987
170,1,-8,960,737,917,963,980
180,1,-8,988,758,912,966,979
190,1,-8,965,739,952,977,981
200,1,-8,991,751,924,927,981
210,1,-8,1003,752,916,968,978
220,1,-8,1003,773,922,957,979
230,1,-9,1003,766,933,961,977
240,1,-10,1009,767,945,976,978
250,1,-11,1003,766,912,966,976
260,1,-12,1008,768,926,967,976
270,1,-14,1005,791,929,996,982
280,1,-15,990,784,930,967,987
290,1,-16,998,785,916,967,976
300,1,-15,1011,784,944,965,970
310,0,-13,998,795,941,957,982
320,0,-11,1003,784,917,966,980
330,0,-9,1011,781,938,983,974
340,0,-7,995,786,942,976,973
350,0,-6,1036,782,925,971,976
360,0,-5,1004,787,934,972,975
370,0,-4,1010,783,935,976,981
380,0,-4,1006,793,925,967,985
390,0,-4,1008,795,912,986,983
400,0,-4,1001,777,915,970,981
410,0,-3,976,793,882,1005,993
420,0,-2,1008,784,920,969,977
430,0,-1,1040,788,928,976,977
440,0,0,1011,781,935,978,978
450,0,0,1010,821,947,973,989
460,0,0,1006,791,946,975,977
470,0,0,998,784,925,974,982
480,0,0,986,793,950,973,977
490,0,1,987,784,919,957,985
500,0,3,992,786,912,976,981
510,-1,6,1009,779,915,963,974
520,-2,9,990,768,883,971,998
530,-2,12,988,775,870,973,976
540,-2,15,983,768,835,919,991
550,-2,17,990,752,832,962,975
560,-2,19,985,753,818,975,980
570,-1,20,997,730,783,954,976
580,0,20,1008,737,784,947,974
590,0,20,955,730,796,944,969
600,0,19,976,721,782,961,976
610,0,18,983,720,789,954,986
620,0,17,983,737,757,965,976
630,0,17,979,678,778,951,980
640,0,17,981,720,773,956,975
650,0,16,976,721,774,959,968
660,0,15,991,732,770,962,975
670,0,14,961,720,763,973,971
680,0,13,986,721,778,963,976
690,0,11,993,717,784,944,978
700,0,9,981,729,781,954,989
710,0,7,985,720,778,952,983
720,0,5,993,731,779,995,971
730,0,4,975,709,784,954,981
740,0,3,1072,731,793,950,976
750,0,2,963,709,799,980,982
760,0,2,991,727,769,955,976
770,0,2,990,703,768,956,977
780,0,2,983,710,779,957,976
790,0,1,991,723,783,957,976
800,0,0,977,720,787,953,981
810,0,0,985,722,789,950,982
820,0,0,1010,714,783,949,967
830,0,0,979,720,757,950,991
840,0,0,986,728,782,959,976
850,0,0,975,711,795,957,967
860,0,0,976,704,778,957,977
870,0,0,979,720,781,953,977
880,0,0,958,722,783,949,1004
890,0,0,987,711,773,951,976
900,0,0,963,720,779,969,974
910,0,0,1001,748,827,957,972
920,0,0,966,717,784,964,976
930,0,0,992,720,784,955,976
940,0,0,970,711,777,954,975
950,0,0,979,719,784,967,976
960,0,0,981,711,784,944,963
970,0,0,982,726,786,959,976
980,0,0,1008,726,789,954,972
990,0,0,975,750,787,929,975
