timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,987,752,859,972,976
10,-1,-2,988,743,867,960,989
20,0,-5,986,757,879,951,983
30,0,-7,987,754,875,969,976
40,0,-9,990,747,902,965,979
50,0,-12,984,752,903,917,976
60,0,-16,989,752,925,977,977
70,1,-21,1002,759,933,976,975
80,2,-25,995,752,926,975,979
90,3,-29,991,757,929,962,981
100,3,-31,1003,747,917,957,976
110,2,-27,996,760,931,959,993
120,1,-24,1006,823,927,961,970
130,0,-21,1007,760,928,965,981
140,0,-18,993,753,933,960,976
150,0,-16,997,779,912,966,978
160,0,-14,997,761,958,970,976
170,0,-12,988,777,923,965,981
180,0,-10,1006,775,915,970,976
190,0,-8,1011,780,934,975,988
200,0,-6,1011,785,934,975,981
210,0,-5,1006,770,929,965,976
220,0,-4,1003,771,931,957,982
230,0,-3,999,773,919,961,976
240,0,-1,1010,768,939,961,981
250,0,0,997,781,934,958,983
260,0,1,1001,769,929,965,976
270,0,2,1007,769,928,971,976
280,0,4,993,784,939,975,988
290,0,7,994,774,919,963,974
300,0,9,995,762,899,962,971
310,0,11,1008,766,884,977,978
320,0,12,994,763,876,962,975
330,0,12,999,787,844,960,993
340,0,12,994,765,830,971,987
350,0,12,997,777,834,960,976
360,0,12,975,771,848,955,974
370,0,11,990,758,839,964,978
380,0,10,989,764,826,955,976
390,0,9,1018,761,803,986,977
400,0,8,997,752,820,963,981
410,0,7,1005,767,800,963,981
420,0,6,987,768,807,960,976
430,0,5,992,761,800,951,989
440,0,4,983,769,793,942,971
450,0,3,976,766,829,963,980
460,0,2,959,747,838,960,971
470,0,2,990,752,816,943,979
480,0,2,985,759,816,963,976
490,0,2,986,758,827,945,967
500,0,2,985,750,816,958,975
510,0,2,977,759,814,971,993
520,0,2,983,754,831,969,989
530,0,2,989,749,819,954,979
540,0,2,976,759,806,971,991
550,0,2,989,762,791,960,970
560,0,2,988,752,820,966,979
570,0,2,1002,751,823,954,984
580,0,1,987,752,824,960,983
590,0,1,986,748,811,955,979
600,0,1,1019,752,816,958,957
610,0,0,976,758,811,963,976
620,0,0,978,754,836,966,986
630,0,0,944,752,819,946,976
640,0,0,982,751,826,976,978
650,0,0,976,752,842,990,973
660,0,0,986,767,842,962,980
670,0,0,999,754,816,967,978
680,0,0,993,759,825,915,994
690,0,0,982,753,822,971,991
700,0,0,988,747,822,912,983
710,0,0,995,751,821,978,970
720,0,0,978,749,825,976,976
730,0,0,1001,753,822,976,994
740,0,0,986,770,818,963,971
750,0,0,992,753,818,957,979
760,0,0,979,753,831,958,979
770,0,0,995,762,816,954,983
780,0,0,1002,735,857,982,989
790,0,0,985,739,823,967,977
800,0,0,981,750,824,969,976
810,0,0,994,765,851,961,994
820,0,0,976,750,823,978,974
830,0,0,998,752,823,961,981
840,0,0,1005,752,811,944,971
850,0,0,985,750,809,960,977
860,0,0,1015,749,827,942,969
870,0,0,995,752,842,951,976
880,0,0,976,753,827,960,976
890,0,0,981,746,823,944,975
900,0,0,983,752,816,961,987
910,0,0,993,757,833,962,977
920,0,0,998,752,837,976,976
930,0,0,979,761,816,962,976
940,0,0,960,758,854,967,978
950,0,0,998,755,816,968,990
960,0,0,989,769,817,978,981
970,0,0,990,752,810,960,966
980,0,0,987,753,821,959,977
990,0,0,992,755,763,976,989
