timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,976,733,848,976,961
10,0,-4,978,752,831,971,948
20,0,-6,980,740,839,978,978
30,0,-7,987,730,907,965,981
40,0,-8,976,722,887,967,991
50,0,-9,995,729,835,974,976
60,0,-9,982,755,848,989,1001
70,0,-9,977,727,848,974,965
80,0,-8,983,726,855,976,976
90,0,-7,976,738,845,975,997
100,0,-6,975,722,880,967,976
110,0,-5,989,725,880,974,987
120,0,-4,986,725,906,986,976
130,0,-3,975,727,880,992,993
140,0,-3,976,720,859,975,979
150,0,-3,983,758,893,1039,981
160,0,-3,991,737,896,971,979
170,0,-3,980,688,915,1001,982
180,0,-2,971,746,901,976,975
190,0,-2,1008,739,912,989,976
200,0,-2,986,704,922,957,982
210,0,-2,982,742,910,987,976
220,0,-2,976,720,923,976,976
230,0,-2,977,741,927,987,978
240,0,-2,982,751,935,976,973
250,0,-2,989,743,932,977,979
260,0,-2,977,752,937,970,976
270,0,-2,980,752,923,977,976
280,0,-3,987,752,933,938,977
290,0,-4,1005,747,915,970,978
300,0,-5,991,755,913,966,997
310,0,-6,1001,737,917,981,981
320,0,-7,1001,741,947,987,983
330,0,-8,982,758,933,975,982
340,0,-8,992,734,926,982,979
350,0,-8,994,743,913,980,963
360,0,-7,993,757,923,954,977
370,0,-6,988,740,920,983,979
380,0,-5,1011,745,925,971,990
390,0,-4,994,751,919,955,979
400,0,-3,994,735,934,967,993
410,0,-2,988,784,918,974,1007
420,0,-1,986,759,946,976,979
430,0,0,992,737,922,978,976
440,0,0,985,775,921,991,985
450,0,0,1001,741,935,976,979
460,0,0,990,758,930,967,979
470,0,0,988,742,921,977,979
480,0,0,1001,731,948,973,977
490,0,0,1002,752,933,971,969
500,0,0,989,738,928,975,980
510,0,0,1022,738,941,967,976
520,0,0,996,745,949,988,976
530,0,0,974,739,946,976,980
540,0,1,986,730,933,978,990
550,0,2,1001,752,928,949,979
560,0,4,1006,735,926,982,977
570,0,6,993,752,916,987,978
580,0,8,979,740,927,980,976
590,0,10,976,752,883,976,976
600,0,12,992,771,881,976,985
610,0,13,986,753,873,975,986
620,0,14,983,767,855,979,976
630,0,14,980,747,845,974,968
640,0,14,983,735,831,966,976
650,0,14,976,741,806,967,1006
660,0,14,980,732,832,976,976
670,0,13,993,748,816,976,976
680,0,12,997,728,827,976,975
690,0,11,978,772,825,959,976
700,0,10,987,734,816,972,999
710,0,9,979,738,823,983,977
720,0,8,971,735,829,965,976
730,0,7,991,715,814,972,976
740,0,6,1001,727,821,979,976
750,0,5,995,667,813,993,995
760,0,4,982,739,816,966,983
770,0,3,963,794,818,949,989
780,0,2,981,681,826,983,986
790,0,1,976,735,804,967,976
800,0,0,976,727,813,965,979
810,0,0,990,736,819,969,985
820,0,0,977,722,799,965,991
830,0,0,982,746,797,931,956
840,0,0,986,720,813,973,976
850,0,0,983,723,800,977,981
860,0,0,981,733,819,977,987
870,0,0,976,720,817,975,976
880,0,0,1058,718,816,978,976
890,0,0,968,720,813,976,976
900,0,0,979,725,811,976,976
910,0,0,991,725,817,970,948
920,0,0,965,730,816,977,982
930,0,0,974,711,842,969,976
940,0,0,990,735,809,969,977
950,0,0,976,735,816,962,981
960,0,0,999,735,816,967,976
970,0,0,979,718,816,978,979
980,0,0,997,726,822,965,974
990,0,0,982,730,812,982,981
