timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,986,753,827,967,954
10,0,-3,990,754,825,971,999
20,0,-3,1002,742,859,976,1001
30,0,-3,985,741,854,963,977
40,0,-3,985,759,871,959,972
50,0,-3,987,752,881,973,983
60,0,-3,993,752,909,963,978
70,0,-3,1008,753,907,976,978
80,0,-3,993,752,907,971,977
90,0,-4,915,765,923,969,979
100,0,-5,994,752,912,965,989
110,0,-6,997,755,915,980,976
120,0,-6,1003,768,917,972,970
130,0,-6,1013,768,931,970,977
140,0,-4,1003,752,925,992,977
150,0,-3,988,765,931,976,1006
160,0,-2,999,765,931,976,977
170,0,0,1003,775,930,965,976
180,0,1,1040,787,938,976,986
190,0,2,1007,777,925,978,975
200,0,2,997,759,929,976,966
210,0,2,1007,743,935,985,970
220,0,1,1027,778,940,962,991
230,0,0,1011,773,929,980,978
240,0,0,1017,771,925,966,979
250,0,0,998,776,941,976,985
260,0,0,1012,779,914,983,980
270,0,0,1001,766,926,963,977
280,0,0,1008,753,942,922,989
290,0,0,1003,777,921,966,977
300,0,0,933,768,927,989,975
310,0,1,1002,800,914,976,978
320,0,2,1003,765,912,982,976
330,0,2,997,766,903,986,1002
340,0,2,999,774,873,983,979
350,0,2,989,769,848,970,979
360,0,2,988,759,837,974,980
370,0,2,987,735,831,966,979
380,0,2,997,756,838,982,979
390,0,2,996,750,830,978,969
400,0,1,995,755,832,974,976
410,0,1,1033,765,822,1001,1007
420,0,0,987,751,818,973,983
430,0,0,995,731,822,955,977
440,0,1,955,752,816,962,979
450,0,1,999,752,805,966,976
460,0,1,983,730,822,976,970
470,0,1,1002,777,829,972,962
480,0,1,1003,737,814,986,981
490,0,1,959,736,816,966,982
500,0,1,988,733,817,977,978
510,0,1,1003,741,813,961,973
520,0,1,983,746,845,980,979
530,0,1,986,734,816,977,975
540,0,1,986,732,813,974,983
550,0,1,979,741,826,971,976
560,0,1,995,754,805,976,974
570,0,1,989,733,823,976,978
580,0,1,990,726,809,977,981
590,0,1,992,737,839,959,981
600,0,1,992,730,825,971,976
610,0,1,978,736,816,970,983
620,0,1,1007,740,773,960,972
630,0,1,991,732,821,973,979
640,0,1,988,746,807,966,976
650,0,1,993,738,805,971,984
660,0,1,979,743,814,976,977
670,0,1,1008,731,816,976,974
680,0,1,987,706,795,974,978
690,0,1,1007,752,823,971,980
700,0,1,997,735,820,973,973
710,0,1,998,741,829,962,983
720,0,0,972,737,839,969,979
730,0,0,991,754,820,975,991
740,0,0,982,746,813,974,976
750,0,0,1003,725,813,957,978
760,0,0,1072,727,813,976,989
770,0,0,986,743,815,976,991
780,0,0,982,747,848,965,974
790,0,0,987,713,827,960,978
800,0,0,979,740,830,971,987
810,0,0,977,726,832,963,963
820,0,0,989,736,816,968,976
830,0,0,1020,750,813,977,981
840,0,0,977,753,816,967,976
850,0,0,990,747,831,968,981
860,0,0,993,727,818,966,980
870,0,0,993,739,820,974,976
880,0,0,1034,729,822,976,981
890,0,0,979,708,821,970,976
900,0,0,988,756,816,976,991
910,0,0,1004,752,821,975,977
920,0,0,1002,739,819,977,974
930,0,0,992,751,817,963,977
940,0,0,1009,720,826,976,976
950,0,0,1008,722,816,971,976
960,0,0,1010,752,816,967,983
970,0,0,995,738,850,967,995
980,0,0,999,751,821,971,981
990,0,0,984,757,819,984,982
