timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-29,975,720,861,954,975
10,0,-29,976,720,831,960,977
20,0,-32,966,726,849,949,979
30,2,-34,975,729,816,947,1002
40,3,-35,976,722,865,951,976
50,3,-36,976,714,840,962,987
60,2,-34,967,720,862,964,978
70,2,-32,981,740,881,960,976
80,2,-31,977,737,880,944,975
90,2,-30,969,733,893,960,974
100,3,-29,975,738,899,959,969
110,4,-29,976,737,934,960,999
120,5,-29,976,742,928,962,983
130,6,-29,926,755,912,974,976
140,7,-29,977,759,931,967,978
150,8,-29,979,758,927,969,976
160,8,-29,986,704,943,965,972
170,8,-29,996,764,896,923,982
180,8,-29,994,752,934,968,987
190,7,-28,944,768,902,965,979
200,6,-26,988,779,887,971,981
210,5,-24,976,779,914,974,967
220,4,-22,998,772,930,980,977
230,3,-20,992,766,938,960,987
240,2,-17,998,784,944,971,977
250,1,-14,1008,767,947,976,981
260,0,-12,991,765,943,960,981
270,0,-10,973,799,931,961,979
280,0,-8,996,795,928,965,978
290,0,-6,1010,775,945,960,979
300,0,-5,999,783,944,976,977
310,0,-4,999,773,918,954,983
320,0,-3,1009,775,939,959,987
330,0,-3,1008,774,925,969,978
340,0,-3,1011,785,931,955,976
350,0,-3,1007,790,927,960,982
360,0,-3,981,789,927,978,976
370,0,-3,994,755,927,942,976
380,0,-3,999,793,930,959,975
390,0,-1,979,771,918,957,979
400,0,1,989,777,909,962,982
410,-1,4,998,782,930,951,961
420,-2,7,990,784,880,964,976
430,-2,10,976,740,880,945,981
440,-2,12,970,777,854,953,975
450,-1,13,960,755,863,957,973
460,0,14,1002,756,848,975,983
470,0,14,949,749,879,967,974
480,0,13,970,755,831,963,979
490,0,12,982,752,838,969,976
500,0,11,974,755,843,961,980
510,0,9,996,790,835,950,981
520,0,7,976,774,822,960,979
530,0,5,982,736,848,946,987
540,0,4,975,767,845,967,981
550,0,3,981,751,844,951,976
560,0,2,966,762,839,942,979
570,0,1,971,738,843,953,985
580,0,1,976,749,847,969,971
590,0,1,978,742,871,961,976
600,0,1,963,752,848,965,990
610,0,1,972,739,844,957,972
620,0,1,977,753,833,953,974
630,0,1,972,740,836,966,992
640,0,1,989,754,848,964,976
650,0,1,966,738,847,945,982
660,0,1,971,748,863,944,975
670,0,1,976,744,847,958,976
680,0,1,987,742,837,976,976
690,0,1,985,737,844,938,976
700,0,1,975,743,841,960,973
710,0,1,1008,765,838,963,983
720,0,1,975,741,835,953,977
730,0,1,977,742,842,983,976
740,0,1,1022,733,847,971,987
750,0,1,990,739,849,955,976
760,0,1,976,741,861,949,977
770,0,1,991,750,849,957,976
780,0,1,979,746,846,968,990
790,0,1,976,759,850,959,986
800,0,1,961,741,848,954,983
810,0,1,896,743,835,958,982
820,0,1,971,753,848,968,993
830,0,1,976,750,848,967,978
840,0,1,963,742,848,945,981
850,0,1,972,789,846,976,979
860,0,1,976,730,842,949,979
870,0,1,966,752,831,962,1006
880,0,1,975,758,848,959,985
890,0,0,979,738,864,960,986
900,0,0,969,750,823,951,975
910,0,0,973,742,845,959,976
920,0,0,971,738,833,965,976
930,0,0,976,725,833,964,976
940,0,0,975,729,848,957,975
950,0,0,976,747,843,969,983
960,0,0,978,727,855,948,988
970,1,-1,990,741,846,959,978
980,2,-2,974,742,848,961,982
990,2,-3,983,738,848,960,977
