timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,7,-2,987,742,877,961,974
10,8,-5,977,746,880,961,977
20,7,-5,995,747,863,971,979
30,7,-5,983,751,859,962,987
40,7,-5,979,762,865,981,958
50,7,-5,987,747,880,960,985
60,6,-5,980,752,860,966,979
70,6,-6,986,754,874,948,983
80,6,-7,974,737,880,958,980
90,6,-7,986,753,902,976,973
100,6,-7,976,756,885,976,990
110,6,-7,997,738,890,971,982
120,6,-7,998,767,879,966,965
130,6,-7,974,751,902,976,982
140,6,-7,992,720,915,967,983
150,6,-7,981,787,892,961,987
160,6,-7,990,750,911,975,976
170,6,-7,998,727,896,961,976
180,6,-7,986,770,901,966,981
190,6,-6,1003,759,912,967,999
200,6,-6,990,764,907,962,979
210,6,-5,990,761,907,970,982
220,6,-5,986,746,909,955,975
230,6,-5,993,749,912,972,977
240,6,-5,960,752,912,958,986
250,7,-5,994,755,924,960,965
260,7,-5,990,758,922,961,988
270,7,-5,981,752,931,967,991
280,7,-5,994,769,915,962,988
290,7,-5,991,770,927,971,982
300,7,-5,992,754,929,958,979
310,7,-6,992,752,943,961,976
320,7,-7,998,765,945,963,975
330,8,-9,988,795,934,959,976
340,9,-11,981,775,926,957,981
350,10,-13,987,688,940,961,978
360,10,-14,999,766,932,967,977
370,9,-14,1008,769,923,955,1005
380,8,-14,996,751,944,971,983
390,7,-13,980,781,939,974,983
400,6,-11,990,781,941,970,1002
410,5,-9,1005,784,929,955,978
420,4,-7,998,784,929,962,977
430,3,-5,1005,769,941,930,975
440,2,-4,1005,787,944,960,976
450,1,-4,998,767,929,949,983
460,0,-4,1007,775,941,959,982
470,0,-4,994,776,931,973,983
480,-1,-4,986,848,962,912,981
490,-2,-4,992,795,924,951,993
500,-3,-4,989,771,931,959,976
510,-3,-4,995,784,938,954,981
520,-3,-3,992,778,939,961,980
530,-3,-2,989,784,943,951,980
540,-3,0,1005,771,942,954,979
550,-3,1,993,770,919,961,982
560,-3,3,1023,767,919,961,974
570,-3,6,994,747,935,971,975
580,-4,10,1002,762,911,954,982
590,-5,13,991,789,927,962,984
600,-5,16,1001,784,922,976,978
610,-5,18,990,781,912,958,970
620,-5,19,981,768,911,938,977
630,-5,19,1011,754,875,954,982
640,-5,18,1000,762,869,943,965
650,-4,17,1003,736,832,976,978
660,-3,15,983,783,800,960,999
670,-2,13,998,755,807,970,966
680,-1,11,980,743,794,963,981
690,0,10,992,747,747,959,976
700,0,9,990,742,784,960,977
710,0,8,967,746,794,951,983
720,0,7,1008,743,813,976,979
730,0,7,987,746,786,959,991
740,0,7,992,747,805,953,979
750,0,7,989,773,787,960,978
760,0,6,980,747,790,948,976
770,0,5,1011,701,801,939,970
780,0,4,981,752,807,961,983
790,0,3,976,752,802,959,973
800,0,2,992,733,816,957,976
810,0,2,986,743,800,949,989
820,0,2,975,747,783,969,983
830,0,2,982,743,801,977,977
840,0,2,981,734,803,951,987
850,0,2,1008,739,802,963,977
860,0,2,995,740,797,954,987
870,0,1,965,739,812,954,979
880,0,1,978,724,800,971,977
890,0,1,988,741,801,954,977
900,0,1,996,720,774,947,965
910,0,1,999,726,832,965,998
920,0,1,998,741,813,954,969
930,0,1,981,713,806,950,990
940,0,1,986,752,809,959,989
950,0,1,979,739,799,972,971
960,0,1,974,778,837,926,974
970,0,1,993,727,827,963,983
980,0,1,935,739,801,959,979
990,0,1,976,741,807,960,979
