timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,994,723,827,963,977
10,-1,-5,975,720,823,962,976
20,-1,-9,964,720,833,956,976
30,0,-13,994,724,822,969,976
40,0,-16,977,741,833,960,981
50,0,-18,965,735,825,965,973
60,0,-19,986,706,836,979,962
70,0,-18,970,726,848,953,974
80,0,-17,997,721,869,947,980
90,0,-16,977,731,869,976,962
100,0,-15,987,726,880,977,979
110,0,-14,991,721,886,987,980
120,0,-13,970,719,899,955,976
130,0,-12,989,726,907,961,977
140,0,-11,976,731,907,963,976
150,0,-10,985,733,910,967,977
160,0,-9,1008,746,915,988,983
170,0,-9,1002,693,912,968,982
180,0,-9,982,747,914,971,979
190,0,-9,986,722,916,951,988
200,0,-9,978,743,916,974,976
210,0,-9,976,739,922,966,980
220,0,-9,987,740,944,979,978
230,0,-9,990,745,935,976,989
240,0,-9,986,734,937,973,970
250,0,-9,1003,731,909,976,996
260,0,-9,991,739,913,966,977
270,0,-10,1004,753,919,989,967
280,0,-10,995,819,908,963,986
290,0,-9,973,738,923,978,964
300,0,-8,994,739,933,964,976
310,0,-7,1008,752,935,976,976
320,0,-6,995,742,883,930,983
330,0,-5,1006,739,933,976,981
340,0,-4,1003,752,891,971,973
350,0,-4,991,750,933,967,981
360,0,-4,995,733,931,971,975
370,0,-4,989,736,925,963,971
380,0,-4,993,740,933,959,980
390,0,-4,995,736,925,966,975
400,0,-3,995,769,929,976,976
410,0,-2,992,727,943,977,976
420,0,-1,1003,728,939,970,982
430,0,0,992,747,923,966,944
440,0,0,990,736,917,966,988
450,0,0,978,720,939,966,983
460,1,0,991,736,931,944,969
470,2,-1,989,720,933,973,976
480,2,-2,998,694,926,972,1004
490,2,-3,1002,719,914,963,982
500,2,-3,989,720,928,972,986
510,1,-2,986,720,923,946,1002
520,0,0,998,721,921,947,976
530,0,2,988,709,922,969,989
540,0,5,1001,720,908,960,976
550,0,8,976,728,915,959,981
560,-1,11,951,725,875,950,977
570,-1,14,981,704,861,958,976
580,-1,16,997,699,817,964,976
590,-1,17,982,691,802,955,976
600,-1,17,976,703,799,960,977
610,-1,16,975,710,803,955,966
620,0,15,971,697,786,958,974
630,0,14,910,702,789,958,982
640,0,13,959,704,784,962,978
650,0,12,978,715,785,955,977
660,0,11,982,697,775,955,981
670,0,10,979,694,781,960,965
680,0,9,1005,706,783,947,976
690,0,8,985,710,784,935,977
700,0,7,986,694,769,946,974
710,0,6,989,703,768,962,972
720,0,5,977,710,777,947,992
730,0,4,977,633,762,966,975
740,0,4,979,700,771,963,992
750,0,4,989,698,794,959,975
760,0,4,977,690,774,966,989
770,0,4,982,700,782,963,971
780,0,4,977,694,780,961,981
790,0,4,969,686,775,952,976
800,0,4,975,703,775,960,973
810,0,4,973,690,765,950,976
820,0,4,965,691,756,951,970
830,0,4,988,688,803,933,982
840,0,4,986,693,787,960,978
850,0,4,980,693,785,957,988
860,0,4,976,694,781,952,978
870,0,4,975,693,779,948,959
880,0,3,978,701,774,941,978
890,0,2,985,715,786,946,975
900,0,1,991,702,781,973,961
910,0,0,979,665,794,956,976
920,0,0,965,699,757,957,981
930,0,0,977,694,816,953,1008
940,0,0,982,703,797,978,976
950,0,0,951,710,784,951,966
960,0,0,976,737,778,949,978
970,0,0,1001,694,784,942,978
980,0,0,974,665,782,954,976
990,0,0,986,705,783,965,976
