timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,979,720,799,944,978
10,-1,-4,932,687,805,975,975
20,0,-5,976,707,795,976,977
30,0,-7,976,719,822,949,975
40,0,-9,987,720,806,963,979
50,0,-11,993,733,822,950,971
60,0,-12,966,718,848,949,976
70,0,-12,1007,727,833,960,966
80,0,-12,983,722,827,951,982
90,0,-12,994,730,847,958,975
100,0,-12,1006,718,842,964,976
110,0,-12,979,727,848,976,972
120,0,-12,981,738,870,977,986
130,0,-12,1005,736,874,965,985
140,0,-11,981,730,867,961,969
150,0,-10,957,751,891,958,963
160,0,-9,987,742,880,965,977
170,0,-8,998,752,884,969,976
180,0,-7,995,768,896,958,977
190,0,-6,991,758,883,974,979
200,0,-6,988,761,897,975,987
210,0,-6,1028,745,912,974,977
220,0,-7,986,752,912,976,976
230,0,-8,991,732,915,981,988
240,0,-9,993,757,928,958,975
250,0,-10,1007,751,918,971,974
260,0,-10,1001,764,917,985,983
270,0,-11,1008,762,930,979,980
280,0,-11,1006,758,928,956,976
290,0,-10,1008,755,918,973,977
300,0,-9,980,763,925,961,979
310,0,-8,1001,755,933,978,986
320,0,-7,999,768,912,975,978
330,0,-6,995,758,936,963,976
340,0,-5,1003,774,925,970,978
350,0,-4,1013,778,941,967,987
360,0,-3,1008,726,929,969,972
370,0,-2,1001,778,927,973,978
380,0,-2,999,751,897,988,976
390,0,-2,997,796,939,976,965
400,0,-2,996,784,927,969,986
410,0,-2,995,778,917,969,971
420,0,-2,999,781,942,965,976
430,0,-2,1006,763,922,967,985
440,0,-2,1030,784,912,982,974
450,0,0,1009,764,914,963,975
460,0,2,1011,763,928,958,965
470,0,4,995,765,903,984,977
480,0,6,994,768,881,964,979
490,0,8,991,752,837,972,976
500,0,10,987,754,827,971,987
510,0,12,999,753,817,961,977
520,0,14,984,752,805,953,978
530,0,15,991,758,812,935,983
540,0,15,1011,738,799,955,972
550,0,15,991,738,796,951,986
560,0,15,978,748,791,966,976
570,0,15,997,739,781,956,980
580,0,15,978,735,792,962,976
590,0,15,1007,731,778,945,975
600,0,15,1012,709,785,959,976
610,0,14,976,727,795,955,977
620,0,13,970,736,790,953,976
630,0,12,978,752,767,969,982
640,0,11,1006,722,769,959,977
650,0,10,981,719,798,957,959
660,0,9,981,723,775,945,976
670,0,8,994,735,780,961,982
680,0,7,981,717,798,975,986
690,0,6,983,720,785,960,981
700,0,5,945,699,798,960,977
710,0,4,991,731,803,957,956
720,0,3,993,723,779,963,991
730,0,2,997,747,762,968,977
740,0,1,977,720,771,955,967
750,0,0,953,736,782,959,976
760,0,0,987,732,785,956,982
770,0,0,977,720,789,957,989
780,0,0,976,751,775,953,983
790,0,0,990,718,773,963,978
800,0,0,994,721,803,954,976
810,0,0,996,737,784,944,982
820,0,0,981,723,797,947,971
830,0,0,988,720,783,945,983
840,0,0,996,720,789,954,976
850,0,0,1000,717,790,961,971
860,0,0,1011,725,795,965,978
870,0,0,999,718,791,965,977
880,0,0,979,725,793,950,976
890,0,0,1019,741,791,971,974
900,0,0,990,720,788,966,977
910,0,0,980,724,802,950,976
920,0,0,975,730,791,928,953
930,0,0,982,723,787,961,976
940,0,0,999,733,746,962,986
950,0,0,981,733,787,957,977
960,0,0,994,721,799,961,988
970,0,0,1009,718,816,960,983
980,0,0,978,730,795,955,975
990,0,0,983,736,785,961,981
