timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,982,739,820,950,970
10,-1,-5,989,738,806,956,977
20,0,-7,1019,720,807,978,969
30,0,-9,976,733,825,963,995
40,0,-11,963,747,839,963,986
50,0,-12,951,720,871,966,980
60,0,-12,983,735,829,960,976
70,0,-12,983,741,849,970,976
80,0,-12,999,749,858,973,988
90,0,-12,985,745,854,966,985
100,0,-12,983,736,891,977,976
110,0,-12,977,755,875,955,974
120,0,-12,991,747,857,956,979
130,0,-11,992,760,880,967,977
140,0,-10,986,749,875,962,976
150,0,-9,1014,739,891,971,972
160,0,-7,1005,773,881,961,975
170,0,-6,987,743,897,963,982
180,0,-5,1005,741,891,981,994
190,0,-5,1001,759,890,965,982
200,0,-5,1011,750,865,971,966
210,0,-6,1002,765,899,977,993
220,0,-7,997,751,912,958,978
230,0,-8,1002,760,902,960,993
240,0,-9,1003,764,902,966,977
250,0,-10,990,766,902,970,982
260,0,-11,966,711,905,958,976
270,0,-12,1008,761,925,981,976
280,0,-13,1015,757,930,969,977
290,0,-14,1003,749,926,979,977
300,0,-15,1012,749,913,971,978
310,0,-16,1038,785,919,962,983
320,0,-15,1004,777,919,990,986
330,0,-14,1008,770,918,976,977
340,0,-13,1042,782,924,973,976
350,0,-12,1007,781,921,978,987
360,0,-10,1038,773,929,970,976
370,0,-9,1007,758,924,963,962
380,0,-8,1013,786,912,982,979
390,0,-7,1010,755,958,967,990
400,0,-6,1009,751,923,972,985
410,0,-6,1008,773,934,977,984
420,0,-6,1013,775,941,986,974
430,0,-6,1010,764,908,981,977
440,0,-6,981,776,915,970,941
450,0,-6,1001,770,916,975,976
460,0,-6,1019,785,917,969,976
470,0,-6,1003,830,916,974,976
480,0,-5,1004,767,912,973,974
490,0,-3,1004,771,919,971,979
500,0,0,997,722,895,963,993
510,0,2,1005,778,915,975,976
520,0,4,1029,779,888,965,981
530,0,6,997,755,860,969,935
540,0,8,994,779,848,963,976
550,0,10,993,744,829,986,981
560,0,12,993,745,832,961,976
570,0,13,990,752,828,976,985
580,0,14,979,753,848,959,1008
590,0,15,984,721,814,967,971
600,0,16,990,735,807,962,973
610,0,16,977,765,814,974,944
620,0,16,987,738,791,972,978
630,0,16,974,726,795,967,976
640,0,16,976,736,820,976,973
650,0,16,983,739,801,979,989
660,0,15,970,737,810,961,976
670,0,14,976,732,793,964,976
680,0,13,982,706,803,949,994
690,0,12,976,723,803,959,979
700,0,11,986,721,795,967,974
710,0,9,986,709,791,981,984
720,0,7,982,730,811,969,973
730,0,6,945,724,807,965,974
740,0,5,971,743,790,965,989
750,0,4,1007,733,804,975,977
760,0,3,992,737,803,963,974
770,0,3,976,725,802,967,983
780,0,3,997,720,786,973,982
790,0,2,976,690,797,929,976
800,0,1,966,730,791,976,975
810,0,1,979,727,805,976,977
820,0,1,984,755,800,976,974
830,0,1,976,736,799,974,972
840,0,1,975,738,791,960,971
850,0,1,976,727,789,962,976
860,0,1,990,715,821,954,963
870,0,1,987,721,807,933,982
880,0,1,985,727,806,969,976
890,0,1,974,690,813,957,986
900,0,1,975,734,787,955,976
910,0,1,973,720,791,976,992
920,0,1,973,718,791,977,975
930,0,1,991,720,803,966,977
940,0,1,957,755,797,973,992
950,0,1,1009,713,797,978,998
960,0,1,975,733,818,964,978
970,0,1,986,714,784,970,976
980,0,1,973,720,817,962,978
990,0,1,978,710,797,963,978
