timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-12,9,1003,735,855,979,990
10,-13,4,1006,739,846,973,977
20,-12,0,1004,746,848,989,985
30,-10,-3,976,750,848,976,978
40,-8,-5,1005,756,846,980,979
50,-6,-6,990,757,848,960,979
60,-5,-8,994,752,881,981,979
70,-4,-10,997,748,849,975,976
80,-3,-11,999,751,853,992,981
90,-2,-12,988,750,851,987,978
100,-1,-13,987,753,880,975,977
110,0,-14,992,753,877,947,985
120,1,-15,992,751,867,970,980
130,1,-15,997,747,879,964,982
140,1,-15,986,738,880,976,982
150,1,-14,983,752,897,962,978
160,1,-13,986,749,908,962,976
170,1,-12,979,740,899,973,980
180,1,-11,978,752,913,980,976
190,1,-11,982,747,908,977,979
200,1,-11,999,753,915,970,976
210,1,-12,1009,752,930,974,976
220,1,-13,990,758,939,979,976
230,1,-15,995,756,937,978,989
240,1,-17,974,752,928,975,976
250,1,-18,989,750,932,974,982
260,1,-18,976,752,915,975,979
270,0,-16,1011,754,934,981,977
280,0,-13,1008,760,927,977,983
290,0,-10,1015,767,930,1003,989
300,0,-8,998,753,932,970,979
310,0,-6,1031,763,909,982,987
320,0,-4,989,752,937,1003,983
330,0,-3,992,771,923,974,986
340,0,-2,1009,701,949,998,979
350,0,-2,994,728,929,976,978
360,0,-1,994,747,927,981,976
370,0,0,998,752,891,898,979
380,0,0,1006,778,940,971,987
390,0,1,998,767,946,969,974
400,0,2,1002,757,927,971,976
410,0,3,997,781,923,974,976
420,0,5,989,754,931,975,976
430,0,8,997,752,927,961,981
440,0,11,1009,767,934,988,978
450,0,14,1003,753,912,979,980
460,0,16,986,753,907,973,976
470,0,18,993,759,856,980,980
480,0,20,990,749,893,979,979
490,0,21,1003,762,875,968,982
500,-1,21,993,752,880,951,978
510,-1,21,976,750,853,976,977
520,-1,21,999,747,850,981,978
530,-1,21,989,752,827,972,977
540,-1,20,989,759,844,970,975
550,-1,19,1008,752,832,976,978
560,-1,18,1001,768,837,974,990
570,-1,17,989,749,826,976,982
580,-1,16,991,695,841,960,980
590,-1,15,991,749,829,976,978
600,-1,14,991,720,845,986,978
610,-1,13,986,749,822,966,982
620,-1,12,995,755,832,965,982
630,-1,11,988,752,831,976,976
640,0,10,990,755,829,976,971
650,0,9,996,732,832,973,982
660,0,8,997,750,814,975,960
670,0,7,993,745,838,976,979
680,0,6,991,747,858,977,982
690,0,5,987,749,832,982,1036
700,0,4,983,740,850,975,978
710,0,3,993,757,848,974,987
720,0,2,993,747,842,971,985
730,0,1,987,750,841,974,978
740,0,1,1004,752,837,987,989
750,0,1,976,750,835,977,980
760,0,0,950,749,848,974,976
770,0,0,992,741,833,956,982
780,0,0,1030,747,835,994,982
790,0,0,1001,753,839,982,977
800,0,0,990,779,843,966,992
810,0,0,1001,753,853,975,983
820,0,0,990,736,838,971,981
830,0,0,983,756,843,975,973
840,0,0,1015,749,841,951,977
850,0,0,992,746,843,976,967
860,0,0,986,752,832,977,981
870,0,0,990,749,846,982,977
880,0,0,1006,747,847,979,976
890,0,0,1022,755,847,980,976
900,0,0,978,752,842,976,983
910,0,0,994,741,851,975,980
920,0,0,991,743,897,973,981
930,0,0,988,726,820,995,977
940,0,0,1003,748,836,966,989
950,0,0,1008,730,836,954,983
960,0,0,993,745,845,981,980
970,0,0,998,759,848,970,986
980,0,0,1002,750,848,974,977
990,0,0,1002,766,848,971,980
