timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,977,731,805,960,979
10,0,-4,981,732,814,958,976
20,0,-5,996,733,816,947,974
30,0,-6,992,743,834,971,976
40,0,-7,991,723,843,969,978
50,0,-8,979,739,849,912,949
60,0,-9,984,738,867,957,974
70,0,-9,980,730,871,967,986
80,0,-9,976,752,878,975,981
90,0,-9,987,747,905,965,976
100,0,-9,939,741,894,965,983
110,0,-9,991,737,906,969,954
120,0,-10,987,735,895,973,966
130,0,-10,983,736,919,976,976
140,0,-11,980,745,918,960,976
150,0,-12,1018,738,943,961,1022
160,0,-14,994,751,919,971,977
170,0,-16,989,755,912,975,972
180,0,-17,1008,751,899,965,989
190,0,-18,985,753,926,965,975
200,0,-16,1011,761,853,965,977
210,0,-15,1002,778,918,963,983
220,0,-14,1007,775,925,983,990
230,0,-13,995,763,918,987,994
240,0,-11,1007,768,926,964,977
250,0,-9,999,797,943,981,977
260,0,-7,1043,777,927,964,976
270,0,-6,1010,781,929,985,987
280,0,-5,1031,787,944,967,976
290,0,-4,999,767,927,961,974
300,0,-3,1006,773,928,970,978
310,0,-3,1044,773,939,969,979
320,0,-3,1003,773,925,975,973
330,0,-2,1001,770,917,965,978
340,0,-1,1015,770,931,963,978
350,0,0,1003,779,925,963,981
360,0,1,1007,774,924,971,991
370,0,3,1008,759,909,971,990
380,0,6,1008,783,912,976,978
390,0,10,1006,763,922,962,978
400,0,14,1008,707,880,966,976
410,0,17,1007,755,850,974,1002
420,0,19,994,759,787,945,976
430,0,20,1012,767,830,976,976
440,0,21,990,751,853,970,987
450,0,22,978,766,816,990,979
460,0,23,991,739,800,976,975
470,0,23,992,732,801,971,977
480,0,23,1008,733,813,974,978
490,0,23,1003,732,799,963,971
500,0,23,999,735,794,976,982
510,0,22,987,720,791,960,969
520,0,21,975,732,791,970,980
530,0,20,983,711,785,960,979
540,0,18,982,720,784,974,949
550,0,16,987,729,793,975,967
560,0,15,986,735,792,967,987
570,0,13,985,726,810,972,982
580,0,11,989,720,786,973,977
590,0,9,986,730,794,971,976
600,0,7,987,728,801,960,949
610,0,6,992,731,789,970,976
620,0,5,999,723,813,960,978
630,0,4,962,718,800,953,973
640,0,3,982,720,797,973,977
650,0,2,980,720,793,971,976
660,0,2,982,734,811,951,975
670,0,1,990,720,815,972,982
680,0,1,995,723,811,961,973
690,0,1,990,702,811,975,976
700,0,1,1008,722,788,957,959
710,0,0,988,713,798,960,976
720,0,0,989,732,797,955,977
730,0,0,1003,721,806,971,974
740,0,0,989,702,796,960,978
750,0,0,987,728,805,973,975
760,0,0,1006,734,792,971,977
770,0,0,986,728,797,965,976
780,0,0,997,730,802,951,977
790,0,0,1005,734,805,975,978
800,0,0,986,727,801,960,977
810,0,0,999,707,815,976,988
820,0,0,976,715,815,966,989
830,0,0,1004,737,806,972,976
840,0,0,988,737,800,947,946
850,0,0,983,726,813,977,981
860,0,0,987,718,798,973,976
870,0,0,976,762,809,959,976
880,0,0,998,731,816,953,975
890,0,0,983,738,799,958,976
900,0,0,974,731,814,965,976
910,0,0,992,729,809,972,977
920,0,0,978,726,804,965,976
930,0,0,981,727,802,958,970
940,0,0,978,720,799,955,975
950,0,0,1001,719,810,955,983
960,0,0,985,743,814,955,976
970,0,0,978,743,794,963,995
980,0,0,983,689,815,967,974
990,0,0,979,719,809,965,974
