timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,994,738,853,960,975
10,0,-7,994,740,827,973,983
20,0,-11,979,743,845,968,984
30,0,-14,993,737,838,971,986
40,0,-16,989,742,831,958,976
50,0,-17,976,745,839,987,976
60,0,-17,991,753,862,973,975
70,0,-17,982,740,851,967,976
80,0,-17,1008,737,865,963,987
90,0,-16,994,720,877,967,976
100,0,-15,991,758,879,970,986
110,0,-14,980,755,882,971,1003
120,0,-13,993,755,887,979,984
130,0,-12,974,752,892,972,981
140,0,-11,989,747,911,974,951
150,0,-10,994,752,911,971,981
160,0,-9,986,753,907,976,997
170,0,-8,1002,750,901,970,985
180,0,-7,992,748,912,971,977
190,0,-6,998,742,922,995,977
200,0,-6,987,759,911,976,978
210,0,-6,995,747,922,974,983
220,0,-6,991,750,926,976,982
230,0,-7,999,777,919,971,983
240,0,-8,1019,768,925,967,991
250,0,-9,1012,780,914,983,979
260,1,-11,1001,774,916,974,983
270,2,-13,1007,765,917,966,976
280,2,-13,1002,774,925,979,980
290,1,-12,982,767,923,976,976
300,0,-11,1009,774,925,954,979
310,0,-10,1017,785,922,970,982
320,0,-8,1019,768,925,977,997
330,0,-7,1010,762,928,976,985
340,0,-6,1008,773,919,969,976
350,0,-5,1022,784,938,976,992
360,0,-4,1002,791,925,971,991
370,0,-3,1023,784,929,974,976
380,0,-2,1014,797,927,967,976
390,0,-1,1014,800,929,966,980
400,0,-1,1011,798,935,971,975
410,0,-1,1013,782,922,989,975
420,0,-1,995,795,941,976,972
430,0,-1,998,810,931,973,987
440,0,-1,1001,788,931,974,979
450,0,0,1020,788,934,979,988
460,0,1,1007,785,914,941,978
470,0,3,1008,779,917,976,973
480,0,5,994,805,905,970,1001
490,0,7,999,779,894,975,989
500,0,8,989,768,870,976,991
510,0,9,992,759,853,970,979
520,0,10,993,766,834,971,976
530,0,11,997,765,819,973,976
540,0,12,982,768,819,965,976
550,0,13,986,755,826,960,973
560,0,14,1003,742,823,977,981
570,0,16,998,747,822,973,976
580,0,17,981,768,806,1000,997
590,0,17,976,723,809,969,966
600,0,17,973,740,799,974,978
610,0,18,987,705,804,969,954
620,0,18,972,723,814,961,980
630,0,17,979,738,816,965,975
640,0,16,990,767,812,962,976
650,0,15,970,735,809,958,977
660,0,13,991,735,801,981,973
670,0,11,971,731,807,949,976
680,0,10,987,735,816,969,976
690,0,9,990,725,812,963,989
700,0,7,986,734,803,963,977
710,0,6,991,726,806,982,988
720,0,5,983,754,805,960,951
730,0,4,997,733,810,975,988
740,0,3,957,738,816,969,967
750,0,2,983,739,823,976,978
760,0,1,991,727,826,973,977
770,0,0,977,735,815,914,984
780,0,0,982,735,816,961,976
790,0,0,986,745,809,963,982
800,0,0,966,701,817,973,977
810,0,0,983,739,816,967,975
820,0,0,982,742,821,976,985
830,0,0,973,707,816,966,976
840,0,0,989,740,821,976,976
850,0,0,970,736,847,981,973
860,0,0,974,730,816,974,976
870,0,0,989,737,803,982,978
880,0,0,974,727,801,966,983
890,0,0,976,721,832,961,983
900,0,0,988,717,826,977,985
910,0,0,981,736,818,963,983
920,0,0,987,736,816,960,986
930,0,0,970,726,819,976,985
940,0,0,981,754,816,977,976
950,0,0,975,734,832,974,982
960,0,0,975,726,819,964,976
970,0,0,976,736,835,976,985
980,0,0,976,730,830,974,975
990,0,0,993,731,816,961,976
