timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,983,706,844,974,985
10,0,-7,979,722,833,961,989
20,0,-9,963,715,854,960,982
30,0,-11,976,748,868,923,982
40,0,-12,977,720,848,974,978
50,0,-12,982,727,845,969,972
60,0,-12,979,715,847,970,976
70,0,-12,977,722,863,960,980
80,0,-12,967,734,866,959,987
90,0,-11,977,718,862,969,973
100,0,-10,982,723,887,973,976
110,0,-9,987,716,897,973,990
120,0,-8,981,736,896,963,977
130,0,-7,976,734,918,976,977
140,0,-6,987,731,910,977,979
150,0,-5,999,720,912,976,976
160,0,-4,981,747,913,987,971
170,0,-3,998,740,919,966,977
180,0,-2,1014,742,917,974,975
190,0,-2,1001,715,919,975,976
200,0,-2,1010,740,929,976,973
210,0,-2,986,721,926,986,960
220,0,-2,992,734,955,975,983
230,0,-2,978,733,919,973,976
240,1,-2,995,752,912,976,982
250,2,-3,998,737,923,969,986
260,2,-4,1008,731,918,976,976
270,2,-4,1008,729,931,995,985
280,1,-4,1003,743,943,993,981
290,0,-3,993,748,934,988,983
300,0,-2,990,737,935,987,982
310,0,-1,1008,748,923,976,977
320,0,0,999,710,945,992,979
330,0,0,1004,771,930,976,976
340,0,0,978,729,929,977,967
350,0,0,997,752,934,976,987
360,0,0,1005,736,934,970,978
370,0,0,1013,756,939,932,989
380,0,0,1002,759,945,970,980
390,0,0,1008,751,927,975,980
400,0,0,1002,759,929,970,982
410,0,0,1017,752,931,962,978
420,0,0,946,780,923,1001,981
430,0,0,985,793,928,976,998
440,0,0,1022,752,929,977,976
450,0,0,961,760,935,975,978
460,0,0,998,752,924,975,993
470,-1,2,1011,752,929,964,987
480,-1,4,995,745,927,979,969
490,-1,6,982,742,909,968,977
500,0,7,981,747,878,1000,942
510,0,8,991,781,874,961,967
520,0,8,976,752,835,965,983
530,0,8,985,738,833,971,973
540,0,8,987,736,823,965,978
550,0,8,996,726,807,959,988
560,0,8,992,743,809,969,985
570,0,7,989,736,820,969,976
580,0,6,983,734,836,993,980
590,0,5,982,738,809,960,976
600,0,4,1060,736,811,972,976
610,0,3,976,725,797,989,990
620,0,2,987,730,810,970,986
630,0,1,977,720,821,985,1007
640,0,0,976,731,799,961,983
650,0,0,989,732,806,953,976
660,0,0,977,735,806,998,977
670,0,0,979,723,819,973,982
680,0,0,989,738,806,978,986
690,0,0,993,746,821,966,981
700,0,0,973,744,816,961,976
710,0,0,987,747,814,973,980
720,0,0,978,725,815,968,979
730,0,0,978,730,817,953,975
740,0,0,979,755,818,961,986
750,0,0,991,726,817,964,986
760,0,0,982,725,820,963,1040
770,0,0,980,741,811,962,983
780,0,0,977,725,810,970,981
790,0,0,980,729,823,977,977
800,0,0,972,741,825,962,977
810,0,0,988,743,810,966,985
820,0,0,987,736,813,985,944
830,0,0,976,738,811,976,985
840,0,0,990,736,811,972,977
850,0,0,981,720,820,965,987
860,0,0,960,724,831,976,977
870,0,0,986,728,832,959,977
880,0,0,988,735,831,973,981
890,0,0,974,752,810,963,973
900,0,0,991,739,819,971,979
910,0,0,994,730,815,965,983
920,0,0,992,731,807,951,975
930,0,0,983,694,835,976,977
940,0,0,976,730,832,962,977
950,0,0,979,732,836,951,975
960,0,0,987,742,823,970,981
970,0,0,976,750,823,961,976
980,0,0,993,706,832,944,981
990,0,0,990,742,823,966,976
