timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,987,709,810,943,977
10,0,-5,998,717,818,969,976
20,0,-7,983,726,831,944,973
30,0,-9,999,736,829,963,976
40,0,-11,971,752,837,964,978
50,0,-13,995,717,848,951,980
60,0,-15,906,737,849,970,977
70,0,-16,977,737,894,985,971
80,0,-17,988,740,880,961,986
90,0,-18,997,731,881,949,983
100,0,-19,991,732,880,970,976
110,0,-20,983,743,869,959,979
120,0,-20,957,757,907,967,987
130,0,-20,991,720,910,963,976
140,0,-20,987,752,905,964,971
150,0,-19,997,766,902,976,977
160,0,-19,989,742,907,978,979
170,0,-19,971,755,912,976,976
180,1,-19,997,747,950,971,977
190,1,-19,995,752,913,977,976
200,2,-19,993,741,951,978,983
210,3,-19,991,749,919,965,1002
220,3,-20,1022,770,912,974,976
230,3,-20,998,726,941,963,982
240,3,-19,938,768,939,969,976
250,2,-17,1005,798,919,979,955
260,1,-16,979,771,930,976,977
270,0,-15,987,768,944,975,982
280,0,-13,990,784,939,980,991
290,0,-11,977,786,941,976,990
300,0,-9,1023,775,930,976,976
310,0,-7,1040,779,942,983,966
320,0,-5,991,783,929,991,976
330,0,-3,1003,773,928,969,976
340,0,-2,994,754,938,1002,969
350,0,-1,990,782,928,987,976
360,0,-1,983,778,944,970,967
370,0,-1,1008,788,933,980,976
380,0,-1,974,784,998,979,999
390,0,0,996,772,938,981,977
400,0,0,987,773,928,967,985
410,0,0,1014,797,940,979,999
420,0,0,982,780,921,976,992
430,0,1,991,783,940,981,976
440,-1,3,1000,771,940,972,979
450,-2,6,987,769,913,971,978
460,-3,9,1007,759,912,951,1040
470,-3,12,1002,764,896,1001,979
480,-3,15,989,766,880,980,978
490,-2,17,967,751,846,959,977
500,-1,19,976,749,859,965,977
510,0,20,1013,751,817,967,979
520,0,20,986,747,814,976,977
530,0,20,1001,743,808,971,976
540,0,19,989,755,803,955,995
550,0,18,976,727,813,976,978
560,0,17,1008,727,803,973,976
570,0,16,993,734,803,950,997
580,0,15,983,752,804,962,982
590,0,14,973,736,811,961,977
600,0,13,999,724,806,958,974
610,0,12,988,737,804,960,977
620,0,11,989,732,816,975,989
630,0,10,999,733,802,959,976
640,0,9,983,722,802,967,975
650,0,8,978,762,799,972,978
660,0,7,995,731,802,968,976
670,0,6,1009,743,802,976,974
680,0,5,980,757,790,959,969
690,0,4,999,735,800,964,973
700,0,3,977,734,801,963,1003
710,0,2,994,734,801,983,977
720,0,2,1008,746,785,966,945
730,0,2,976,747,796,933,979
740,0,2,999,733,794,974,985
750,0,2,975,722,809,957,971
760,0,2,977,720,790,960,977
770,0,2,997,729,810,960,993
780,0,1,970,725,787,992,973
790,0,1,1006,726,804,962,986
800,0,1,973,737,810,970,985
810,0,1,979,754,809,960,953
820,0,1,988,735,801,969,981
830,0,1,979,720,816,965,976
840,0,1,999,728,809,967,977
850,0,1,998,735,818,960,985
860,0,0,1031,743,800,963,973
870,0,0,988,746,801,986,989
880,0,0,1003,720,790,965,978
890,0,0,987,749,802,976,977
900,0,0,983,739,795,970,983
910,0,0,992,729,831,975,998
920,0,0,976,726,798,961,983
930,0,0,992,763,842,963,975
940,0,0,989,688,801,971,948
950,0,0,977,723,817,967,977
960,0,0,978,725,804,976,977
970,0,0,986,731,803,960,983
980,0,0,983,714,811,957,982
990,0,0,991,748,809,963,981
