timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,2,1002,735,848,967,975
10,0,0,1011,731,855,974,976
20,0,-6,983,729,849,976,982
30,0,-9,979,726,851,961,983
40,0,-10,983,729,857,973,975
50,0,-11,985,734,886,960,976
60,0,-11,993,727,912,955,973
70,0,-10,950,730,871,976,975
80,0,-9,973,727,902,974,978
90,0,-9,978,721,880,967,973
100,0,-9,991,731,901,963,979
110,0,-9,997,732,909,974,976
120,0,-10,990,734,887,982,976
130,0,-11,987,747,912,976,983
140,0,-12,971,741,919,976,978
150,0,-13,985,770,924,962,976
160,0,-13,982,734,912,969,976
170,0,-13,1005,747,943,981,979
180,0,-13,997,749,923,968,975
190,0,-14,1001,748,921,974,977
200,0,-15,1013,754,928,970,977
210,0,-16,1007,752,929,973,983
220,0,-16,1008,749,908,976,994
230,0,-15,998,751,918,971,976
240,0,-15,1003,750,927,976,981
250,0,-14,1007,732,944,982,998
260,0,-13,999,752,934,962,977
270,0,-11,1018,755,938,981,996
280,0,-9,1008,785,922,960,974
290,0,-7,1011,754,917,974,976
300,0,-5,1014,795,955,955,980
310,0,-4,1008,759,922,979,981
320,0,-4,1011,766,930,983,983
330,0,-4,1012,770,935,974,1004
340,0,-5,1006,752,944,976,974
350,0,-6,1010,773,928,976,975
360,0,-6,1009,770,935,993,976
370,0,-6,994,759,934,978,983
380,0,-6,1008,758,918,969,977
390,-1,-5,1012,770,926,973,985
400,-2,-3,991,771,929,979,980
410,-2,-1,1013,771,911,967,971
420,-2,0,1005,770,906,962,975
430,-2,1,971,752,913,976,978
440,-2,2,1004,773,893,976,979
450,-1,3,991,746,878,969,976
460,0,4,994,770,893,943,944
470,0,5,1006,778,849,987,991
480,0,6,995,725,902,960,960
490,0,7,980,748,837,966,978
500,0,8,1004,759,825,969,983
510,0,8,988,705,863,981,986
520,0,8,998,730,829,1011,989
530,0,8,993,726,813,960,974
540,0,8,991,714,831,973,960
550,0,8,991,725,812,959,992
560,0,8,983,723,816,967,981
570,0,8,987,719,819,964,976
580,0,8,986,727,819,960,976
590,0,8,945,736,821,970,976
600,0,8,1009,720,814,975,977
610,0,8,991,719,816,976,977
620,0,8,990,721,786,973,1002
630,0,7,1003,736,816,963,979
640,0,6,975,715,806,977,1031
650,0,5,1005,723,843,966,976
660,0,4,981,717,814,977,977
670,0,3,989,701,818,958,989
680,0,2,981,720,816,944,978
690,0,1,992,725,817,967,975
700,0,0,991,699,827,959,996
710,0,0,993,723,810,959,981
720,0,0,991,727,813,963,962
730,0,0,998,737,814,972,980
740,0,0,984,725,816,970,982
750,0,0,998,731,810,963,976
760,0,0,987,719,833,970,973
770,0,0,979,733,826,949,983
780,0,0,998,691,826,963,960
790,0,0,996,726,817,971,971
800,0,0,984,733,816,918,975
810,0,0,976,723,823,957,977
820,0,0,1017,714,828,955,983
830,0,0,976,711,811,938,976
840,0,0,1006,720,814,961,980
850,0,0,990,721,816,963,976
860,0,0,983,715,811,944,986
870,0,0,990,718,814,973,983
880,0,0,966,723,812,967,963
890,0,0,990,731,816,959,973
900,0,0,984,724,816,959,971
910,0,0,1055,714,814,992,979
920,0,0,978,732,819,957,976
930,0,0,961,707,805,955,985
940,0,0,994,719,817,956,976
950,0,0,982,718,823,963,976
960,0,0,983,721,848,976,978
970,0,0,994,721,833,958,976
980,0,1,994,704,834,961,977
990,0,2,993,719,816,960,976
