timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,970,705,810,965,976
10,0,-8,900,719,799,972,978
20,-1,-13,1000,720,763,973,981
30,-1,-17,979,704,811,951,967
40,-1,-19,991,702,812,962,975
50,0,-22,986,705,815,965,980
60,-1,-22,976,715,801,955,977
70,-2,-21,981,709,811,970,970
80,-1,-20,987,720,817,987,980
90,0,-19,976,713,835,953,974
100,0,-18,986,715,838,976,951
110,0,-17,978,715,825,971,979
120,0,-15,999,710,816,967,993
130,0,-13,970,720,832,970,988
140,0,-11,981,720,830,958,976
150,0,-10,979,714,838,966,975
160,0,-9,977,726,855,959,985
170,0,-8,987,721,848,976,987
180,0,-7,1006,717,870,970,979
190,0,-6,989,766,861,962,974
200,0,-5,939,737,854,944,982
210,0,-4,1010,706,875,944,976
220,0,-4,1002,733,884,963,980
230,0,-4,990,727,885,971,976
240,0,-4,1002,737,906,965,981
250,0,-4,999,746,901,967,990
260,0,-4,995,740,881,960,983
270,0,-5,1002,726,898,964,978
280,0,-6,994,733,922,967,990
290,0,-7,995,732,940,979,978
300,0,-8,992,749,914,967,977
310,0,-9,993,736,946,953,1001
320,0,-9,1005,751,925,977,979
330,0,-9,1003,751,913,961,976
340,0,-9,1008,767,929,972,988
350,0,-9,998,790,919,965,976
360,0,-9,990,747,926,990,993
370,0,-9,1001,754,933,980,987
380,0,-8,1007,758,935,972,981
390,0,-7,987,757,932,1008,985
400,0,-6,1008,753,926,976,986
410,0,-5,1003,757,930,973,990
420,0,-3,1004,784,927,974,1003
430,0,-1,1002,728,931,972,975
440,0,0,981,763,923,974,967
450,0,0,1013,768,938,991,981
460,0,0,1013,764,925,967,979
470,0,0,1008,758,944,971,977
480,0,0,1011,741,921,971,980
490,0,0,1008,756,928,973,1009
500,0,0,1004,765,922,977,977
510,0,0,1037,757,949,967,977
520,0,0,1005,769,934,957,973
530,0,0,1008,767,925,977,979
540,0,0,1006,759,933,976,982
550,0,0,1002,779,925,969,989
560,0,1,1006,767,934,971,977
570,0,2,1008,773,902,970,983
580,0,3,1006,751,909,970,986
590,0,4,1008,770,895,976,976
600,0,5,961,759,899,964,976
610,0,6,1009,722,857,944,975
620,0,8,992,767,848,960,970
630,0,10,996,751,848,969,966
640,0,11,992,747,839,959,976
650,0,12,991,767,827,976,976
660,0,12,988,689,821,947,970
670,0,12,989,742,835,965,971
680,0,12,997,735,823,969,976
690,0,11,983,745,822,953,971
700,0,10,1005,736,816,969,982
710,0,9,990,752,829,911,977
720,0,8,990,736,813,961,975
730,0,8,998,739,823,984,977
740,0,8,1004,737,807,961,976
750,0,8,989,743,821,971,979
760,0,8,985,752,816,976,989
770,0,8,994,726,821,970,976
780,0,7,994,723,823,970,990
790,0,6,986,722,828,943,976
800,0,5,991,725,813,960,985
810,0,4,983,710,816,958,980
820,0,3,983,731,816,962,979
830,0,2,988,726,817,978,976
840,0,1,989,751,810,970,978
850,0,0,989,738,817,972,977
860,0,0,975,722,822,963,981
870,0,0,945,709,829,957,981
880,0,0,977,715,816,966,978
890,0,0,980,720,827,958,990
900,0,0,982,722,818,954,980
910,0,0,995,730,816,961,981
920,0,0,1015,734,832,962,982
930,0,0,990,733,816,969,973
940,0,0,990,727,815,994,979
950,0,0,983,695,819,976,981
960,0,0,985,719,824,968,975
970,0,0,1003,720,833,954,995
980,0,0,976,747,826,964,982
990,0,0,977,710,816,970,986
