timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,-2,981,725,861,961,982
10,1,-3,992,715,864,975,986
20,1,-4,959,720,842,976,999
30,1,-5,981,740,870,973,979
40,2,-5,964,735,878,979,979
50,2,-5,976,750,864,977,985
60,2,-5,962,727,898,976,988
70,2,-5,981,733,897,977,977
80,2,-5,975,726,890,977,979
90,3,-4,985,725,888,972,979
100,3,-4,987,736,905,975,976
110,3,-4,976,727,902,989,978
120,3,-4,982,721,898,972,965
130,3,-4,971,725,902,976,978
140,3,-4,986,740,911,983,977
150,3,-4,1013,723,912,994,987
160,3,-4,978,720,911,976,978
170,3,-4,976,720,902,982,982
180,3,-4,951,731,912,979,944
190,3,-4,976,721,923,978,978
200,3,-4,992,721,922,980,976
210,3,-4,987,732,923,980,972
220,3,-5,990,725,922,991,982
230,3,-6,973,720,937,999,960
240,3,-7,994,727,927,987,982
250,3,-8,976,724,912,973,987
260,3,-9,988,745,915,978,963
270,3,-11,994,737,939,989,976
280,3,-12,979,747,925,976,991
290,3,-12,982,729,932,985,976
300,2,-10,994,741,927,973,976
310,1,-8,1005,737,931,970,976
320,0,-6,976,729,928,977,991
330,0,-5,987,728,922,980,983
340,0,-4,999,726,947,1006,945
350,0,-3,991,734,929,977,977
360,0,-2,987,752,930,990,989
370,0,-1,997,732,944,965,979
380,0,0,1002,735,931,976,979
390,0,0,999,733,937,979,979
400,0,0,999,734,939,974,979
410,0,0,1010,745,946,979,976
420,0,0,999,736,944,999,980
430,0,0,991,726,935,978,977
440,0,0,995,752,950,984,977
450,0,0,983,737,938,991,982
460,0,0,997,733,947,973,976
470,0,0,1018,783,930,961,979
480,0,0,999,738,931,976,977
490,0,0,989,745,934,967,978
500,0,1,997,733,964,986,976
510,0,3,992,737,927,976,977
520,0,5,944,737,923,975,977
530,0,7,987,767,914,960,976
540,0,9,992,733,912,979,975
550,0,11,995,738,925,971,985
560,0,12,973,733,883,967,983
570,0,13,991,721,866,976,974
580,0,13,993,722,854,975,978
590,0,13,999,714,838,980,976
600,0,13,987,723,841,979,977
610,0,13,982,718,843,965,987
620,0,13,968,719,834,979,978
630,0,13,963,751,822,960,977
640,0,12,976,717,833,976,977
650,0,11,982,720,821,971,976
660,0,10,979,685,838,973,979
670,0,9,987,704,827,958,975
680,0,8,986,714,846,977,977
690,0,7,994,721,825,966,977
700,0,6,976,718,821,973,984
710,0,5,991,713,824,986,989
720,0,4,981,717,816,964,986
730,0,3,992,714,897,960,978
740,0,2,988,688,828,976,986
750,0,2,979,703,810,965,978
760,0,2,995,718,822,945,976
770,0,2,981,704,822,970,976
780,0,2,979,679,823,963,986
790,0,2,990,691,832,976,976
800,0,2,986,718,828,968,986
810,0,2,964,723,830,966,982
820,0,2,991,716,830,976,983
830,0,2,1002,706,822,976,989
840,0,2,987,725,859,980,977
850,0,2,978,709,822,975,975
860,0,2,989,707,835,976,981
870,0,2,979,691,839,970,976
880,0,2,979,713,831,980,983
890,0,2,983,711,820,965,976
900,0,2,982,707,845,961,976
910,0,2,977,723,823,967,983
920,0,2,986,730,835,955,980
930,0,2,977,708,834,973,981
940,0,2,981,704,838,960,983
950,0,2,980,694,834,975,977
960,0,2,987,720,834,958,987
970,0,2,978,713,832,929,983
980,0,2,998,709,828,960,979
990,0,3,981,723,818,973,986
