timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,2,-1,971,752,838,976,995
10,2,-4,979,752,848,959,982
20,2,-5,981,766,836,974,975
30,2,-6,975,743,837,954,972
40,2,-7,991,737,817,960,976
50,1,-8,970,750,834,959,979
60,0,-9,974,733,848,967,981
70,0,-10,983,746,803,963,976
80,0,-10,1007,755,851,961,977
90,0,-10,983,747,880,959,975
100,0,-10,997,784,878,954,976
110,0,-9,980,751,890,960,986
120,0,-8,967,751,880,962,976
130,0,-7,995,773,881,955,981
140,1,-6,944,755,902,960,978
150,2,-6,999,752,907,962,938
160,3,-6,978,762,912,967,979
170,4,-6,1023,762,941,967,978
180,5,-7,993,761,926,960,977
190,5,-8,1008,765,925,967,983
200,5,-10,1005,783,879,973,982
210,5,-12,1002,782,922,981,985
220,4,-12,1033,795,917,975,982
230,3,-10,1003,827,915,976,976
240,2,-9,1006,787,939,961,983
250,1,-8,1019,819,926,986,987
260,1,-7,1004,787,945,963,986
270,0,-6,1004,807,939,976,985
280,0,-5,1008,780,949,966,983
290,0,-4,1023,822,885,971,977
300,0,-3,1008,811,932,970,956
310,0,-2,1010,818,945,976,976
320,0,-2,1008,813,928,981,976
330,0,-2,1043,825,941,974,965
340,0,-2,1031,828,929,969,976
350,0,-2,967,823,937,966,979
360,0,-2,1007,830,899,973,976
370,0,-2,1015,825,925,945,978
380,0,-2,992,825,919,955,976
390,0,-2,1057,821,941,976,976
400,0,-2,1007,816,928,976,975
410,0,-1,1008,805,930,967,978
420,0,1,998,819,914,977,986
430,-1,5,992,815,912,973,976
440,-2,9,1008,816,908,981,979
450,-2,13,1008,791,898,978,974
460,-2,16,1007,756,877,958,977
470,-1,18,993,778,865,976,973
480,0,20,1050,802,833,961,976
490,0,21,933,758,837,970,982
500,0,21,978,769,826,951,976
510,0,21,989,752,827,954,976
520,0,20,989,752,844,948,980
530,0,19,988,739,816,959,978
540,0,17,974,752,768,951,976
550,0,15,988,763,802,975,976
560,0,14,993,739,816,949,979
570,0,13,1008,739,788,958,976
580,0,12,989,722,805,953,982
590,0,11,997,750,814,950,978
600,0,10,990,740,783,949,979
610,0,9,991,745,816,950,976
620,0,8,963,723,799,951,978
630,0,8,977,731,821,935,976
640,0,7,977,740,816,946,976
650,0,6,999,771,818,938,976
660,0,5,991,733,810,953,976
670,0,4,999,737,819,959,976
680,0,3,991,739,825,923,976
690,0,3,985,731,830,947,983
700,0,3,987,750,829,940,978
710,0,3,976,726,816,967,976
720,0,3,993,732,805,951,981
730,0,3,996,747,799,965,976
740,0,2,976,730,818,948,983
750,0,2,976,767,826,962,976
760,0,1,982,733,816,965,976
770,0,0,992,730,819,946,976
780,0,0,985,751,821,955,981
790,0,0,986,747,849,942,981
800,0,0,979,723,822,949,976
810,0,0,985,737,816,960,977
820,0,0,994,726,822,974,984
830,0,0,960,742,816,957,978
840,0,0,982,749,834,944,982
850,0,0,997,741,816,957,977
860,0,0,991,752,813,961,977
870,0,0,996,736,831,954,978
880,0,0,982,736,827,956,978
890,0,0,981,762,831,974,973
900,0,0,992,729,823,951,976
910,0,0,961,735,845,959,976
920,0,0,983,729,829,951,979
930,0,0,981,730,816,951,976
940,0,0,990,750,822,951,977
950,0,0,983,731,833,949,973
960,0,0,1002,767,853,943,976
970,0,0,982,748,855,963,976
980,0,0,983,733,827,956,976
990,0,0,982,753,816,976,982
