timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1001,752,832,970,979
10,1,-5,982,767,847,960,978
20,1,-6,998,741,839,974,997
30,1,-7,991,759,841,962,978
40,1,-7,990,753,848,977,983
50,1,-7,983,755,854,977,987
60,1,-7,983,747,838,983,978
70,1,-7,976,752,906,970,999
80,1,-7,983,833,849,975,957
90,1,-6,996,754,866,976,979
100,1,-5,1061,742,859,976,982
110,1,-5,991,769,882,987,981
120,1,-5,989,769,875,976,983
130,1,-5,987,765,859,957,993
140,1,-5,997,752,865,982,993
150,1,-5,1008,753,880,976,978
160,1,-5,999,766,881,976,982
170,1,-5,989,761,891,967,976
180,1,-5,997,763,885,967,976
190,1,-5,1001,767,903,978,979
200,1,-5,997,762,911,978,983
210,1,-5,995,794,911,976,978
220,1,-5,994,775,912,976,972
230,1,-5,1008,749,898,946,976
240,1,-5,1008,797,915,984,979
250,1,-5,1006,779,930,976,986
260,1,-5,1009,755,919,988,977
270,1,-5,998,781,933,976,983
280,1,-5,1008,775,933,986,983
290,1,-5,996,761,910,986,986
300,1,-5,1014,803,924,969,979
310,1,-6,1015,788,934,985,977
320,2,-7,997,777,919,1007,989
330,3,-8,998,790,918,985,977
340,4,-9,1001,781,928,994,977
350,4,-9,1009,791,938,987,987
360,4,-7,1011,802,920,979,988
370,3,-5,1046,797,925,998,967
380,3,-3,1008,816,935,979,977
390,2,-1,1011,805,929,990,981
400,1,0,1010,810,939,993,982
410,0,1,1005,798,944,980,982
420,0,2,1004,826,931,964,983
430,0,3,1011,795,923,991,979
440,0,3,1042,815,924,985,992
450,0,3,1010,828,942,981,976
460,0,2,1019,826,919,989,976
470,0,1,1007,827,939,983,997
480,0,0,1008,820,927,975,976
490,0,0,1019,821,925,986,978
500,0,0,1005,810,927,978,993
510,0,0,996,804,944,974,979
520,0,0,1049,809,926,980,989
530,0,0,1009,805,917,1003,987
540,0,0,1009,785,922,977,979
550,-1,1,1010,806,939,976,976
560,-2,3,1003,795,912,973,976
570,-3,5,1006,796,912,994,965
580,-4,7,1007,786,895,978,986
590,-4,9,993,784,890,966,979
600,-3,11,1006,802,871,974,951
610,-2,12,999,778,825,963,979
620,-1,13,990,771,823,972,976
630,0,14,1003,781,815,959,974
640,0,15,987,782,819,975,987
650,0,15,1023,761,830,974,976
660,0,14,981,752,802,989,979
670,0,13,995,753,802,975,976
680,0,12,990,747,817,971,986
690,0,10,982,757,809,982,992
700,0,8,977,752,808,978,991
710,0,7,995,736,810,963,987
720,0,6,982,751,803,969,976
730,0,5,992,766,783,966,983
740,0,4,982,746,809,960,981
750,0,3,987,760,811,962,991
760,0,2,987,739,764,976,976
770,0,1,973,741,810,967,980
780,0,0,1007,755,797,957,990
790,0,0,978,737,804,973,976
800,0,0,973,750,805,966,977
810,0,0,986,751,815,974,973
820,0,0,987,766,806,987,989
830,0,0,986,746,816,966,979
840,0,0,967,738,803,960,976
850,0,0,976,752,813,966,983
860,0,0,992,746,808,981,983
870,0,0,990,783,807,970,987
880,0,0,977,752,805,963,978
890,0,0,987,734,811,980,976
900,0,0,987,753,816,924,982
910,0,0,987,750,815,960,981
920,0,0,990,749,795,958,978
930,0,0,983,738,803,975,980
940,0,0,979,747,811,981,979
950,0,0,980,735,790,997,987
960,0,0,976,758,823,975,980
970,0,0,985,744,831,967,976
980,0,0,995,717,810,971,966
990,0,0,983,741,816,973,981
