timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,992,741,848,962,980
10,1,-3,981,742,843,966,977
20,1,-4,986,741,845,965,987
30,1,-4,987,740,837,976,976
40,1,-4,994,741,848,967,989
50,1,-4,990,761,846,960,970
60,1,-4,993,738,863,962,979
70,1,-4,991,752,860,973,980
80,1,-4,991,752,847,963,979
90,1,-4,994,752,849,959,989
100,1,-4,981,743,868,962,982
110,1,-4,996,756,877,965,985
120,1,-4,976,752,907,970,985
130,2,-4,990,725,881,970,980
140,3,-4,979,748,899,965,978
150,4,-4,1010,739,915,950,985
160,5,-4,990,756,926,961,976
170,5,-5,997,752,915,974,983
180,5,-6,990,738,912,963,977
190,5,-7,1003,764,915,974,985
200,5,-7,992,765,921,982,978
210,5,-7,1002,791,913,986,982
220,5,-7,988,778,914,968,988
230,5,-6,973,757,939,968,982
240,5,-5,1001,773,923,969,977
250,5,-5,1002,765,939,962,978
260,5,-5,1003,784,922,994,983
270,5,-6,997,774,929,960,976
280,5,-7,1001,767,927,971,972
290,5,-8,992,780,922,971,979
300,5,-9,998,784,956,974,982
310,5,-9,991,791,919,1008,965
320,4,-9,1008,789,928,978,977
330,4,-9,999,798,942,992,981
340,4,-8,994,777,925,963,983
350,3,-7,995,793,929,963,985
360,3,-6,998,784,929,955,976
370,3,-5,1009,781,934,975,980
380,3,-4,1003,793,949,969,989
390,3,-3,976,786,935,971,978
400,3,-1,991,798,935,971,975
410,2,0,1014,790,929,960,971
420,1,1,992,795,929,975,980
430,0,1,1008,784,926,976,979
440,0,0,999,741,929,976,946
450,0,-1,998,789,943,979,978
460,0,-2,1005,769,944,973,977
470,-1,-3,995,797,929,930,991
480,-2,-3,997,786,933,977,982
490,-3,-3,997,794,930,986,977
500,-4,-2,989,782,934,961,978
510,-6,0,996,782,932,976,983
520,-7,3,995,812,927,965,980
530,-8,5,986,775,927,974,983
540,-8,7,983,778,922,991,980
550,-8,8,996,774,916,965,987
560,-8,9,995,766,907,960,976
570,-7,10,994,749,896,986,976
580,-6,11,994,765,883,961,978
590,-6,12,993,757,874,960,977
600,-5,13,974,775,854,971,979
610,-4,13,991,759,849,955,983
620,-3,12,963,755,842,989,975
630,-2,11,990,747,834,987,1000
640,-1,10,985,749,837,970,977
650,0,9,982,763,841,961,978
660,0,8,989,771,830,962,979
670,0,7,990,743,827,960,975
680,0,7,1001,753,820,971,976
690,0,7,992,779,815,958,980
700,0,7,1015,755,823,974,998
710,0,7,1001,738,822,977,999
720,0,7,999,741,829,962,979
730,0,6,992,753,820,946,977
740,0,5,992,749,816,974,976
750,0,5,987,758,818,960,975
760,0,5,997,783,823,971,976
770,0,4,994,746,834,965,974
780,0,3,944,752,816,960,975
790,0,3,997,748,816,960,980
800,0,3,987,742,826,976,979
810,0,3,993,777,837,976,989
820,0,3,1003,753,826,960,979
830,0,3,987,747,827,963,991
840,0,3,976,757,819,990,1006
850,0,2,989,737,821,959,976
860,0,2,997,758,818,960,976
870,0,2,985,745,831,976,979
880,0,2,994,756,831,976,983
890,0,2,993,754,829,960,976
900,0,2,997,743,821,981,979
910,0,2,992,773,832,968,983
920,0,1,987,743,827,963,974
930,0,0,993,752,842,967,978
940,0,0,987,749,822,956,988
950,0,0,985,746,842,967,976
960,0,0,989,739,834,961,976
970,0,0,995,754,831,960,983
980,0,0,1006,747,837,976,981
990,0,0,994,720,839,964,991
